assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,14,0,0,0,3,0,1,9,15.3,0,0,640,0,0,239,1,0,0,3.0,14400,6.2,1,2017-02-04T15:00:00Z,04 Feb 15:00,0,0,36,0,0,18,0,0,0,0,2,0,24,0,2299,1,1,1,1,2,8.0,1,2284,2347,63,55,False,0,0
0,11,0,0,2,25,0,4,4,4.6,0,0,640,0,0,243,0,1,1,5.2,15049,40.2,0,2017-02-12T13:30:00Z,12 Feb 13:30,0,0,64,0,0,4,0,0,0,0,7,0,25,0,2766,3,0,0,1,1,7.0,9,444,653,209,55,True,0,0
1,22,1,0,2,21,0,2,12,30.4,1,0,640,0,0,254,0,1,0,7.0,15576,19.4,2,2017-02-25T15:00:00Z,25 Feb 15:00,0,0,88,0,0,7,0,0,0,0,5,0,26,0,10837,1,0,1,1,1,20.0,7,7707,8142,435,55,False,0,0
1,17,0,0,0,19,0,5,11,8.8,0,0,640,0,0,266,1,1,0,1.1,16288,2.2,0,2017-03-04T15:00:00Z,04 Mar 15:00,0,0,65,0,0,16,0,0,0,0,5,0,27,0,21624,0,1,0,2,3,0.0,5,10571,11389,818,55,False,0,0
0,13,0,0,0,2,0,0,11,1.1,0,0,640,0,0,280,1,0,0,0.4,16549,0.0,0,2017-03-12T16:00:00Z,12 Mar 16:00,0,0,18,0,0,9,0,0,0,0,2,0,28,0,28996,1,1,1,1,2,3.0,1,7065,8023,958,55,False,0,0
0,5,0,0,0,8,0,1,4,32.6,1,0,640,0,0,287,0,0,0,6.9,17196,11.8,2,2017-03-18T15:00:00Z,18 Mar 15:00,0,0,17,0,2,15,0,0,0,0,2,0,29,0,27183,0,0,0,0,0,25.0,1,-1881,1378,3259,55,False,0,0
0,5,0,0,0,4,0,0,4,0.7,1,0,640,0,0,292,0,1,0,0.2,17850,1.6,0,2017-04-01T14:00:00Z,01 Apr 15:00,0,0,17,0,0,17,0,0,0,0,3,0,30,0,23470,1,0,0,2,0,0.0,1,-3759,305,4064,55,True,0,0
0,14,0,0,0,5,0,1,12,1.5,0,0,640,0,0,302,0,0,0,1.2,18507,2.2,0,2017-04-04T18:45:00Z,04 Apr 19:45,0,0,34,0,0,14,0,0,0,0,2,0,31,0,20944,0,1,0,0,1,8.0,1,-2534,137,2671,55,True,0,0
0,22,0,0,0,7,1,3,17,34.4,2,0,640,0,0,315,1,0,0,5.7,19168,10.6,2,2017-04-08T14:00:00Z,08 Apr 15:00,0,0,90,0,1,12,0,0,0,0,10,0,32,0,18006,4,0,3,0,0,12.0,3,-2942,77,3019,55,False,0,0
0,31,0,0,0,9,0,1,19,40.0,1,0,640,0,0,322,1,3,0,6.9,19830,14.2,1,2017-04-15T14:00:00Z,15 Apr 15:00,0,0,90,0,1,6,0,0,0,0,8,0,33,0,15519,7,4,2,1,3,15.0,2,-2498,72,2570,55,False,0,0
0,38,0,0,0,18,0,0,30,55.7,2,0,640,0,0,333,1,2,0,8.9,20562,19.2,4,2017-04-23T13:15:00Z,23 Apr 14:15,0,0,90,0,0,11,0,0,0,0,7,0,34,0,13416,2,3,1,2,0,14.0,2,-2115,61,2176,55,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,640,0,0,341,0,0,0,0.0,21233,0.0,0,2017-04-29T16:30:00Z,29 Apr 17:30,0,0,0,0,0,5,0,0,0,0,0,0,35,0,12384,0,0,0,2,0,0.0,0,-1039,106,1145,55,False,0,0
1,2,1,0,0,16,0,1,2,10.1,0,0,640,0,0,353,0,0,0,2.8,21964,18.2,1,2017-05-06T14:00:00Z,06 May 15:00,0,0,8,0,0,19,0,0,0,0,1,0,36,0,11298,0,0,0,2,2,0.0,4,-1098,89,1187,55,True,0,0
0,10,0,0,0,3,0,1,7,15.1,0,0,640,0,0,361,1,1,0,2.3,22956,5.4,1,2017-05-13T14:00:00Z,13 May 15:00,0,0,36,0,0,2,0,0,0,0,2,0,37,0,10457,1,2,0,1,2,2.0,0,-846,100,946,55,False,0,1
0,16,0,0,0,3,0,0,11,2.7,0,0,640,0,0,372,1,1,0,0.0,23645,0.0,0,2017-05-21T14:00:00Z,21 May 15:00,0,0,66,0,0,20,0,0,0,0,1,0,38,0,9821,0,0,2,2,1,2.0,2,-641,92,733,55,True,0,0
