assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,2,0,0.7,725,0.00,0.03,0.03,0.00,216,0,0,0.5,0.0,2023-02-04T15:00:00Z,8,14,0,0,0,0,22,0,52,0,1,2,6.0,1,40,41,1,45,False,0
0,0,3,0,0.1,725,0.00,0.00,0.00,0.21,223,0,0,0.2,1.4,2023-02-11T15:00:00Z,6,5,0,0,0,0,23,0,148,0,1,1,0.0,1,58,73,15,45,True,0
0,0,1,0,0.4,725,0.00,0.07,0.07,0.38,232,1,0,0.3,0.0,2023-02-18T15:00:00Z,10,4,0,0,0,0,24,0,219,0,1,1,4.0,1,53,76,23,45,False,0
0,0,0,0,0.0,725,0.00,0.00,0.00,0.00,242,0,0,0.0,0.0,2023-02-25T19:45:00Z,0,12,0,0,0,0,25,0,493,0,0,0,0.0,0,77,143,66,45,True,0
0,0,1,0,0.2,725,0.00,0.00,0.00,0.11,252,0,0,0.0,0.2,2023-03-04T15:00:00Z,15,2,0,0,0,0,26,0,352,0,0,1,0.0,0,13,66,53,45,False,1
0,0,6,0,10.3,725,0.01,0.01,0.00,0.98,262,1,0,1.6,5.8,2023-03-11T17:30:00Z,29,13,0,0,0,0,27,0,411,0,1,0,0.0,1,20,80,60,45,True,0
0,0,2,0,1.5,725,0.01,0.06,0.05,0.10,73,0,0,0.4,0.0,2023-03-15T19:30:00Z,10,5,0,0,0,0,27,0,411,0,0,1,4.0,1,20,80,60,45,False,0
0,0,3,0,0.0,725,0.00,0.00,0.00,0.05,271,0,0,0.0,0.0,2023-03-19T14:00:00Z,8,1,0,0,0,0,28,0,556,0,1,4,0.0,1,42,80,38,45,False,0
0,0,0,0,0.0,725,0.00,0.00,0.00,0.00,285,0,0,0.0,0.0,2023-04-01T14:00:00Z,0,10,0,0,0,0,29,0,496,0,1,2,0.0,0,0,69,69,45,True,0
0,0,0,0,0.0,725,0.00,0.00,0.00,0.00,294,0,0,0.0,0.0,2023-04-09T13:00:00Z,0,11,0,0,0,0,30,0,530,0,5,1,0.0,0,17,54,37,45,False,0
