assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,0,0,0,0,0,0.0,0,0,577,0,0,177,0,0,0,0.0,10565,0.0,0,2016-12-26T15:00:00Z,26 Dec 15:00,0,0,0,0,0,11,0,0,0,0,0,0,18,0,403,0,0,0,1,3,0.0,0,-9,4,13,44,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,577,0,0,182,0,0,0,0.0,11183,0.0,0,2016-12-31T15:00:00Z,31 Dec 15:00,0,0,0,0,0,3,0,0,0,0,0,0,19,0,419,0,0,0,1,4,0.0,0,5,17,12,44,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,577,0,0,197,0,0,0,0.0,11805,0.0,0,2017-01-02T15:00:00Z,02 Jan 15:00,0,0,0,0,0,9,0,0,0,0,0,0,20,0,409,0,0,0,2,2,0.0,0,-14,7,21,44,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,577,0,0,206,0,0,0,0.0,12429,0.0,0,2017-01-14T15:00:00Z,14 Jan 15:00,0,0,0,0,0,14,0,0,0,0,0,0,21,0,430,0,0,0,3,1,0.0,0,-1,17,18,44,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,577,0,0,220,0,0,0,0.0,13060,0.0,0,2017-01-21T15:00:00Z,21 Jan 15:00,0,0,0,0,0,19,0,0,0,0,0,0,22,0,438,0,0,0,0,2,0.0,0,-3,8,11,44,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,577,0,0,225,0,0,0,0.0,13694,0.0,0,2017-01-31T19:45:00Z,31 Jan 19:45,0,0,0,0,0,17,0,0,0,0,0,0,23,0,448,0,0,0,0,0,0.0,0,-7,3,10,44,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,577,0,0,232,0,0,0,0.0,14337,0.0,0,2017-02-04T15:00:00Z,04 Feb 15:00,0,0,0,0,0,5,0,0,0,0,0,0,24,0,449,0,0,0,4,0,0.0,0,-3,5,8,44,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,577,0,0,248,0,0,0,0.0,14986,0.0,0,2017-02-11T15:00:00Z,11 Feb 15:00,0,0,0,0,0,13,0,0,0,0,0,0,25,0,451,0,0,0,4,0,0.0,0,-6,6,12,44,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,577,0,0,253,0,0,0,0.0,15525,0.0,0,2017-02-25T15:00:00Z,25 Feb 15:00,0,0,0,0,0,6,0,0,0,0,0,0,26,0,465,0,0,0,0,2,0.0,0,-6,4,10,44,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,577,0,0,265,0,0,0,0.0,16220,0.0,0,2017-03-05T16:00:00Z,05 Mar 16:00,0,0,0,0,0,10,0,0,0,0,0,0,27,0,475,0,0,0,2,0,0.0,0,2,5,3,44,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,577,0,0,287,0,0,0,0.0,17133,0.0,0,2017-03-18T15:00:00Z,18 Mar 15:00,0,0,0,0,0,3,0,0,0,0,0,0,29,0,486,0,0,0,0,0,0.0,0,0,1,1,44,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,577,0,0,300,0,0,0,0.0,17787,0.0,0,2017-04-01T14:00:00Z,01 Apr 15:00,0,0,0,0,0,18,0,0,0,0,0,0,30,0,498,0,0,0,0,1,0.0,0,4,8,4,44,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,577,0,0,304,0,0,0,0.0,18444,0.0,0,2017-04-04T18:45:00Z,04 Apr 19:45,0,0,0,0,0,8,0,0,0,0,0,0,31,0,499,0,0,0,0,2,0.0,0,0,1,1,44,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,577,0,0,317,0,0,0,0.0,19105,0.0,0,2017-04-09T12:30:00Z,09 Apr 13:30,0,0,0,0,0,11,0,0,0,0,0,0,32,0,501,0,0,0,3,0,0.0,0,1,3,2,44,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,577,0,0,327,0,0,0,0.0,19767,0.0,0,2017-04-15T14:00:00Z,15 Apr 15:00,0,0,0,0,0,20,0,0,0,0,0,0,33,0,507,0,0,0,2,2,0.0,0,2,4,2,44,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,577,0,0,278,0,0,0,0.0,20493,0.0,0,2017-04-26T18:45:00Z,26 Apr 19:45,0,0,0,0,0,12,0,0,0,0,0,0,34,0,516,0,0,0,0,1,0.0,0,-1,4,5,44,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,577,0,0,347,0,0,0,0.0,21170,0.0,0,2017-04-29T14:00:00Z,29 Apr 15:00,0,0,0,0,0,2,0,0,0,0,0,0,35,0,517,0,0,0,1,0,0.0,0,-1,3,4,44,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,577,0,0,355,0,0,0,0.0,21892,0.0,0,2017-05-06T14:00:00Z,06 May 15:00,0,0,0,0,0,7,0,0,0,0,0,0,36,0,524,0,0,0,2,0,0.0,0,4,8,4,44,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,577,0,0,367,0,0,0,0.0,22861,0.0,0,2017-05-13T14:00:00Z,13 May 15:00,0,0,0,0,0,16,0,0,0,0,0,0,37,0,527,0,0,0,2,0,0.0,0,2,5,3,44,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,577,0,0,331,0,0,0,0.0,22860,0.0,0,2017-05-16T18:45:00Z,16 May 19:45,0,0,0,0,0,1,0,0,0,0,0,0,37,0,527,0,0,0,0,2,0.0,0,2,5,3,44,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,577,0,0,373,0,0,0,0.0,23582,0.0,0,2017-05-21T14:00:00Z,21 May 15:00,0,0,0,0,0,4,0,0,0,0,0,0,38,0,543,0,0,0,1,5,0.0,0,7,13,6,44,False,0,0
