assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,80,1,0,0,22,1,4,70,56.2,0,0,320,0,0,6,1,0,0,8.9,320,25.2,5,2017-08-12T14:00:00Z,12 Aug 15:00,0,0,90,0,0,16,0,0,0,0,4,0,1,0,214539,1,3,0,0,0,8.0,2,0,0,0,45,True,0,1
0,101,0,0,0,10,0,2,89,7.3,0,0,320,0,0,15,3,2,0,2.9,831,10.4,0,2017-08-19T14:00:00Z,19 Aug 15:00,0,0,90,0,0,20,0,0,0,0,9,0,2,0,212080,2,1,1,2,3,11.0,2,-8886,5608,14494,45,True,0,0
0,67,0,0,0,8,1,5,49,2.1,1,0,320,0,0,24,3,0,0,1.7,1347,15.0,0,2017-08-26T14:00:00Z,26 Aug 15:00,0,0,90,1,0,8,0,0,0,0,9,0,3,0,199593,1,1,0,0,0,0.0,2,-14185,6939,21124,45,False,0,1
0,53,0,0,0,8,0,6,37,22.3,0,0,320,0,0,36,4,2,0,4.7,1878,16.6,1,2017-09-09T14:00:00Z,09 Sep 15:00,0,0,90,0,0,18,0,0,0,0,7,0,4,0,186858,0,0,0,2,0,8.0,2,-14116,6169,20285,45,True,0,0
0,70,0,0,0,17,1,4,59,12.8,0,0,320,0,0,42,3,0,0,3.8,2422,13.2,1,2017-09-16T11:30:00Z,16 Sep 12:30,0,0,90,0,0,6,0,0,0,0,12,0,5,0,177227,0,2,1,1,0,12.0,3,-10205,4599,14804,45,False,0,0
0,73,0,0,0,20,0,4,70,6.7,1,0,320,0,0,55,1,1,0,7.4,2968,20.2,0,2017-09-23T14:00:00Z,23 Sep 15:00,0,0,90,0,0,12,0,0,0,0,5,0,6,0,167934,1,4,2,1,0,47.0,2,-9939,5514,15453,45,True,0,0
0,108,1,0,0,19,0,2,96,24.7,1,0,320,0,0,65,1,2,0,5.1,3518,24.4,2,2017-09-30T14:00:00Z,30 Sep 15:00,0,0,90,0,0,15,0,0,0,0,8,0,7,0,169505,0,2,0,1,2,2.0,1,685,12932,12247,45,False,0,1
0,52,0,0,0,12,0,2,42,2.6,0,0,320,0,0,77,1,2,0,0.7,4072,3.8,0,2017-10-15T15:00:00Z,15 Oct 16:00,0,0,66,0,0,13,0,0,0,0,4,0,8,0,165711,0,1,1,2,2,1.0,2,-4367,8236,12603,45,True,0,0
0,62,0,1,0,16,1,3,54,15.9,0,0,320,0,0,86,2,0,0,4.4,4629,20.8,1,2017-10-21T16:30:00Z,21 Oct 17:30,0,0,68,0,0,19,0,0,0,0,8,0,9,0,159125,0,4,1,0,1,7.0,3,-6749,2076,8825,45,True,0,0
0,50,0,0,0,19,0,2,42,1.4,0,0,320,0,0,93,1,1,0,1.3,5188,11.8,0,2017-10-29T13:30:00Z,29 Oct 13:30,0,0,90,0,0,3,0,0,0,0,10,0,10,0,162736,0,3,0,1,1,0.0,2,2678,15735,13057,44,False,0,0
0,81,0,0,0,23,0,3,68,15.4,0,0,320,0,0,105,1,1,0,4.2,5751,24.6,1,2017-11-04T15:00:00Z,04 Nov 15:00,0,0,90,0,0,4,0,0,0,0,14,0,11,0,165797,0,4,0,1,0,2.0,2,2401,11184,8783,44,True,0,0
0,38,0,0,0,6,0,2,30,2.2,0,0,320,0,0,117,2,3,0,2.4,6317,21.6,0,2017-11-18T15:00:00Z,18 Nov 15:00,0,0,90,0,0,10,0,0,0,0,8,0,12,0,166932,0,0,0,0,3,0.0,1,283,10865,10582,44,False,0,1
0,0,0,0,0,0,0,0,0,0.0,0,0,320,0,0,126,0,0,0,0.0,6886,0.0,0,2017-11-26T13:30:00Z,26 Nov 13:30,0,0,0,0,0,7,0,0,0,0,0,0,13,0,147012,0,0,0,1,4,0.0,0,-19991,1107,21098,44,True,0,0
0,20,0,0,0,27,0,6,15,0.8,0,0,320,0,0,139,0,2,1,6.6,7456,47.8,0,2017-11-29T20:00:00Z,29 Nov 20:00,0,0,90,0,0,11,0,0,0,0,3,0,14,0,140022,1,0,0,1,2,17.0,7,-7112,2092,9204,44,False,0,0
0,69,0,0,0,17,0,9,57,5.7,0,0,320,0,0,142,1,1,0,3.0,8027,23.6,0,2017-12-03T13:30:00Z,03 Dec 13:30,0,0,90,0,0,2,0,0,0,0,16,0,15,0,145086,0,0,1,1,1,1.0,2,4633,9543,4910,44,False,0,0
0,56,0,0,0,13,0,7,48,6.0,2,0,320,0,0,160,1,1,0,2.2,8601,15.0,0,2017-12-10T12:00:00Z,10 Dec 12:00,0,0,90,0,0,1,0,0,0,0,9,0,16,0,145892,0,0,1,1,1,1.0,1,249,6949,6700,44,True,0,1
0,25,0,0,0,3,0,0,22,1.9,0,0,320,0,0,168,1,3,0,0.9,9178,0.0,0,2017-12-13T19:45:00Z,13 Dec 19:45,0,0,45,0,0,9,0,0,0,0,2,0,17,0,145599,0,1,1,4,1,7.0,1,-557,4718,5275,44,True,0,0
0,48,0,0,0,11,0,5,41,4.6,0,0,320,0,0,174,3,1,0,2.8,9756,21.0,0,2017-12-16T15:00:00Z,16 Dec 15:00,0,0,90,0,0,5,0,0,0,0,8,0,18,0,141247,0,0,0,0,1,2.0,2,-4514,1801,6315,44,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,320,0,0,187,0,0,0,0.0,10336,0.0,0,2017-12-23T15:00:00Z,23 Dec 15:00,0,0,0,0,0,8,0,0,0,0,0,0,19,0,136496,0,0,0,1,1,0.0,0,-5001,2549,7550,44,True,0,0
0,36,0,0,0,11,0,7,29,1.3,1,0,320,0,2,198,2,5,0,3.1,10921,18.8,0,2017-12-26T12:30:00Z,26 Dec 12:30,0,0,90,0,0,17,0,0,0,0,8,0,20,0,131467,0,0,1,2,5,11.0,2,-5129,770,5899,44,False,0,0
0,41,0,0,0,17,1,4,34,1.7,0,0,320,0,0,206,1,0,0,2.4,11507,20.2,0,2017-12-30T17:30:00Z,30 Dec 17:30,0,0,90,0,0,12,0,0,0,0,9,0,21,0,126159,1,2,0,0,0,2.0,3,-5487,2122,7609,44,False,0,0
0,62,0,0,0,22,0,5,53,14.3,1,0,320,0,0,217,1,2,0,4.1,12033,22.0,1,2018-01-02T19:45:00Z,02 Jan 19:45,0,0,90,0,0,6,0,0,0,0,9,0,22,0,128981,0,4,2,2,1,5.0,2,2686,9714,7028,43,True,0,0
0,40,0,0,0,11,0,8,29,0.3,2,0,320,0,0,229,3,2,0,1.8,12685,13.8,0,2018-01-13T15:00:00Z,13 Jan 15:00,0,0,90,0,0,18,0,0,0,0,6,0,23,0,126561,0,1,1,2,2,4.0,1,-2782,6741,9523,43,False,0,1
0,46,0,0,0,13,0,3,37,14.8,1,0,320,0,0,237,1,1,0,3.8,13283,22.8,1,2018-01-21T16:00:00Z,21 Jan 16:00,0,0,90,0,0,17,0,0,0,0,10,0,24,0,123650,1,1,0,1,1,0.0,1,-3106,3481,6587,43,True,0,1
0,41,0,0,0,5,0,4,31,3.0,0,0,320,0,0,248,0,1,0,1.5,13886,6.6,0,2018-01-31T19:45:00Z,31 Jan 19:45,0,0,45,0,0,3,0,0,0,0,1,0,25,0,124545,0,0,2,1,1,5.0,1,670,5607,4937,43,True,0,0
0,72,0,0,0,13,0,6,59,5.0,0,0,320,0,0,260,2,2,0,4.5,14499,19.6,0,2018-02-03T15:00:00Z,03 Feb 15:00,0,0,90,0,0,19,0,0,0,0,7,0,26,0,123775,0,0,0,3,2,20.0,2,-863,3063,3926,43,False,0,0
