first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type
Granit,Xhaka,5,5,119,2617,32,608.4,571.6,435.0,11,524,161.6,11,0,4,2.4,48,MID
Mohamed,Elneny,0,0,6,111,2,5.4,4.6,0.0,0,27,1.1,0,0,0,0.6,41,MID
Rob,Holding,1,0,20,557,13,10.3,149.6,54.0,0,117,21.4,0,0,0,0.2,42,DEF
Thomas,Partey,3,0,79,2256,25,404.3,492.0,232.0,6,428,113.0,10,0,4,0.4,47,MID
Martin,Ødegaard,12,8,180,2723,35,1001.5,826.2,806.0,25,697,263.6,11,0,4,27.4,66,MID
Kieran,Tierney,0,1,32,601,7,81.0,121.6,57.0,0,143,26.1,1,0,0,0.7,46,DEF
Nicolas,Pépé,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,53,MID
Benjamin,White,2,5,139,2604,30,435.2,591.0,153.0,12,644,118.0,13,0,5,15.6,50,DEF
Eddie,Nketiah,4,2,60,1018,14,117.0,211.0,590.0,5,160,91.0,2,0,2,1.9,64,FWD
Emile,Smith Rowe,0,1,13,133,3,63.7,36.2,39.0,0,46,13.7,0,0,0,0.4,56,MID
Bukayo,Saka,13,12,187,2785,37,1011.9,924.6,1053.0,19,621,298.9,11,0,6,34.3,83,MID
Takehiro,Tomiyasu,0,1,32,651,11,86.6,137.0,55.0,0,173,27.7,2,0,2,0.5,42,DEF
Aaron,Ramsdale,0,0,120,2970,38,0.0,668.0,0.0,6,574,66.9,12,0,1,10.9,48,GK
Gabriel,dos Santos Magalhães,3,0,129,2965,38,111.1,692.0,380.0,14,644,118.3,12,0,4,15.1,53,DEF
Nuno,Varela Tavares,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,DEF
Gabriel,Martinelli Silva,15,8,190,2660,32,814.0,830.2,1255.0,18,619,289.9,13,0,3,42.1,68,MID
Pablo,Marí Villar,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,DEF
