assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
1,45,1,0,0,25,0,3,34,18.2,1,0,193,0,0,8,2,3,0,6.5,193,30.2,1,2016-08-14T15:00:00Z,14 Aug 16:00,0,0,90,0,1,1,0,0,0,0,3,0,1,0,285676,0,1,0,4,3,17.0,4,0,0,0,55,False,0,0
0,56,0,0,0,7,0,3,44,29.6,0,0,193,1,0,12,0,2,0,5.6,718,8.8,2,2016-08-20T14:00:00Z,20 Aug 15:00,0,0,90,0,0,3,0,0,0,0,3,0,2,0,413279,1,0,1,0,2,18.0,1,39158,47536,8378,55,False,0,0
0,35,0,0,0,11,0,4,24,2.4,0,0,193,0,0,27,1,1,0,3.3,1258,11.6,0,2016-08-27T11:30:00Z,27 Aug 12:30,0,0,90,0,0,17,0,0,0,0,4,0,3,0,408293,2,3,1,1,1,19.0,2,-26181,9160,35341,55,False,0,0
0,49,0,0,0,19,0,5,35,38.8,1,0,193,0,0,34,0,1,0,6.7,1808,22.2,3,2016-09-10T16:30:00Z,10 Sep 17:30,0,0,90,0,1,8,0,0,0,0,3,0,4,0,402590,1,2,0,1,4,6.0,2,-15684,9260,24944,55,True,0,0
0,32,0,0,0,14,0,4,23,26.6,1,0,193,0,0,41,2,1,0,4.1,2389,12.2,3,2016-09-16T19:00:00Z,16 Sep 20:00,0,0,90,0,1,4,0,0,0,0,4,0,5,0,392341,0,0,0,2,1,2.0,2,-14300,3961,18261,55,False,0,0
0,71,0,0,0,15,0,1,67,61.7,0,0,193,0,0,53,1,1,0,8.8,2973,15.8,5,2016-09-24T14:00:00Z,24 Sep 15:00,0,0,90,0,0,7,0,0,0,0,4,0,6,0,398680,1,0,1,1,5,10.0,2,1897,19300,17403,55,True,0,0
0,58,0,0,0,23,0,2,50,20.0,1,0,193,0,0,67,0,1,0,5.4,3559,22.8,1,2016-10-01T11:30:00Z,01 Oct 12:30,0,0,90,0,1,16,0,0,0,0,9,0,7,0,402434,0,3,0,2,1,11.0,2,713,14719,14006,55,False,0,0
0,35,0,0,3,30,1,2,31,2.0,0,0,193,0,0,75,0,0,0,4.4,4148,12.4,0,2016-10-17T19:00:00Z,17 Oct 20:00,0,0,90,0,0,11,0,0,0,0,4,0,8,0,361234,2,4,0,0,0,30.0,9,-42691,2157,44848,55,True,0,0
0,53,0,0,0,10,0,2,46,5.8,0,0,193,0,0,87,0,1,0,1.8,4740,6.6,0,2016-10-22T16:30:00Z,22 Oct 17:30,0,0,90,0,0,19,0,0,0,0,6,0,9,0,393389,2,0,1,1,2,6.0,2,29370,36688,7318,55,True,0,0
0,31,1,0,0,14,0,5,22,12.3,0,0,193,0,0,91,0,2,0,2.6,5334,11.2,1,2016-10-29T16:30:00Z,29 Oct 17:30,0,0,90,1,0,5,0,0,0,0,1,0,10,0,406777,1,1,0,4,2,2.0,1,10431,17884,7453,56,False,0,0
0,57,0,0,0,16,0,2,43,26.8,0,0,193,0,0,107,0,1,0,4.2,5932,13.4,2,2016-11-06T14:15:00Z,06 Nov 14:15,0,0,90,0,0,18,0,0,0,0,9,0,11,0,409389,0,1,0,1,6,2.0,2,30,12364,12334,56,True,0,0
0,57,0,1,3,31,1,4,44,10.9,1,0,193,0,0,115,0,0,0,3.8,6531,21.2,0,2016-11-19T15:00:00Z,19 Nov 15:00,0,0,90,0,1,13,0,0,0,0,7,0,12,0,411257,3,6,1,0,0,6.0,9,-1871,11597,13468,56,False,0,0
0,41,0,0,1,30,1,1,39,25.3,0,0,193,0,0,126,0,0,0,4.2,7132,10.6,2,2016-11-26T15:00:00Z,26 Nov 15:00,0,0,90,0,0,15,0,0,0,0,5,0,13,0,442848,1,3,2,0,2,6.0,7,28652,32054,3402,56,True,0,0
0,61,1,0,0,23,0,3,54,34.9,2,0,193,0,0,131,0,4,0,6.2,7736,23.2,2,2016-12-04T13:30:00Z,04 Dec 13:30,0,0,90,0,2,2,0,0,0,0,8,0,14,0,490142,2,2,1,3,4,4.0,0,41667,45578,3911,57,False,0,0
0,55,0,0,0,11,0,2,46,16.0,0,0,193,0,0,146,0,2,0,3.0,8341,7.8,1,2016-12-11T16:30:00Z,11 Dec 16:30,0,0,90,0,0,20,0,0,0,0,4,0,15,0,498373,1,0,1,2,2,6.0,1,4192,17103,12911,57,True,0,0
1,74,0,0,1,41,1,1,71,30.8,0,0,193,0,0,158,1,0,0,6.7,8951,34.0,2,2016-12-14T19:45:00Z,14 Dec 19:45,0,0,90,0,1,12,0,0,0,0,5,0,16,0,490257,1,3,0,3,0,2.0,10,-9754,5084,14838,57,False,0,0
0,42,0,0,1,29,1,1,36,49.5,0,0,193,0,0,163,0,0,0,9.1,9565,17.6,4,2016-12-19T20:00:00Z,19 Dec 20:00,0,0,90,0,1,6,0,0,0,0,4,0,17,0,498475,1,1,0,1,0,24.0,7,5423,12629,7206,57,False,0,0
0,50,0,0,0,14,0,1,41,5.0,1,0,193,0,0,176,0,1,0,2.0,10181,11.2,0,2016-12-27T17:15:00Z,27 Dec 17:15,0,0,90,0,0,14,0,0,0,0,2,0,18,0,518556,1,2,0,1,4,4.0,2,15477,21907,6430,57,True,0,0
0,48,0,0,0,22,1,2,34,4.1,1,0,193,0,0,186,0,0,0,1.3,10799,3.2,0,2016-12-31T17:30:00Z,31 Dec 17:30,0,0,90,0,0,10,0,0,0,0,4,0,19,0,513376,0,0,1,0,1,6.0,6,-7423,10504,17927,57,True,0,0
0,64,1,0,0,21,0,1,57,35.7,2,0,193,0,0,197,0,2,0,5.8,11421,14.4,2,2017-01-02T15:00:00Z,02 Jan 15:00,0,0,90,0,2,15,0,0,0,0,6,0,20,0,551001,0,0,0,2,2,8.0,1,34994,46979,11985,57,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,193,0,0,205,0,0,0,0.0,12045,0.0,0,2017-01-15T16:00:00Z,15 Jan 16:00,0,0,0,0,0,11,0,0,0,0,0,0,21,0,524245,0,0,0,1,1,0.0,0,-31819,13462,45281,58,False,0,0
0,80,0,0,0,15,0,0,72,22.3,0,0,193,0,0,215,0,3,0,4.1,12676,8.2,1,2017-01-21T12:30:00Z,21 Jan 12:30,0,0,90,0,0,16,0,0,0,0,5,0,22,0,461911,1,1,0,3,2,10.0,1,-63183,3179,66362,58,True,0,0
0,51,0,0,0,13,0,4,40,18.5,0,0,193,0,0,228,0,1,0,3.2,13310,9.4,1,2017-01-31T20:00:00Z,31 Jan 20:00,0,0,90,0,1,4,0,0,0,0,8,0,23,0,416475,1,0,0,1,1,4.0,2,-46221,1259,47480,58,True,0,0
0,52,0,0,0,16,0,1,48,11.3,1,0,193,0,0,234,0,2,0,2.5,13953,9.8,0,2017-02-04T15:00:00Z,04 Feb 15:00,0,0,90,0,1,7,0,0,0,0,1,0,24,0,415005,0,1,0,0,2,4.0,1,-2116,5955,8071,58,False,0,0
