assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,0,0,0,0,0,0.0,0,0,596,0,0,224,0,0,0,0.0,12961,0.0,0,2018-01-13T15:00:00Z,13 Jan 15:00,0,0,0,0,0,8,0,0,0,0,0,0,23,0,0,0,0,0,4,1,0.0,0,0,0,0,40,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,596,0,0,240,0,0,0,0.0,13559,0.0,0,2018-01-20T15:00:00Z,20 Jan 15:00,0,0,0,0,0,2,0,0,0,0,0,0,24,0,1333,0,0,0,1,1,0.0,0,1094,1311,217,40,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,596,0,0,243,0,0,0,0.0,14162,0.0,0,2018-01-30T19:45:00Z,30 Jan 19:45,0,0,0,0,0,6,0,0,0,0,0,0,25,0,2554,0,0,0,1,1,0.0,0,962,1273,311,40,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,596,0,0,253,0,0,0,0.0,14775,0.0,0,2018-02-03T15:00:00Z,03 Feb 15:00,0,0,0,0,0,3,0,0,0,0,0,0,26,0,2391,0,0,0,1,3,0.0,0,-195,226,421,40,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,596,0,0,270,0,0,0,0.0,15400,0.0,0,2018-02-10T15:00:00Z,10 Feb 15:00,0,0,0,0,0,18,0,0,0,0,0,0,27,0,2030,0,0,0,0,2,0.0,0,-368,23,391,40,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,596,0,0,277,0,0,0,0.0,16027,0.0,0,2018-02-24T15:00:00Z,24 Feb 15:00,0,0,0,0,0,10,0,0,0,0,0,0,28,0,1875,0,0,0,1,4,0.0,0,-167,21,188,40,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,596,0,0,288,0,0,0,0.0,16657,0.0,0,2018-03-03T15:00:00Z,03 Mar 15:00,0,0,0,0,0,16,0,0,0,0,0,0,29,0,1799,0,0,0,1,4,0.0,0,-82,14,96,40,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,596,0,0,300,0,0,0,0.0,17290,0.0,0,2018-03-10T15:00:00Z,10 Mar 15:00,0,0,0,0,0,4,0,0,0,0,0,0,30,0,1587,0,0,0,3,0,0.0,0,-63,9,72,40,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,596,0,0,320,0,0,0,0.0,18191,0.0,0,2018-03-31T14:00:00Z,31 Mar 15:00,0,0,0,0,0,14,0,0,0,0,0,0,32,0,1491,0,0,0,0,3,0.0,0,-43,11,54,40,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,596,0,0,324,0,0,0,0.0,18828,0.0,0,2018-04-08T15:30:00Z,08 Apr 16:30,0,0,0,0,0,5,0,0,0,0,0,0,33,0,1479,0,0,0,1,1,0.0,0,-20,8,28,40,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,596,0,0,340,0,0,0,0.0,19691,0.0,0,2018-04-16T19:00:00Z,16 Apr 20:00,0,0,0,0,0,15,0,0,0,0,0,0,34,0,1436,0,0,0,1,1,0.0,0,-42,10,52,40,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,596,0,0,341,0,0,0,0.0,20121,0.0,0,2018-04-22T12:30:00Z,22 Apr 13:30,0,0,0,0,0,1,0,0,0,0,0,0,35,0,1397,0,0,0,1,4,0.0,0,-29,3,32,40,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,596,0,0,360,0,0,0,0.0,20753,0.0,0,2018-04-29T13:15:00Z,29 Apr 14:15,0,0,0,0,0,11,0,0,0,0,0,0,36,0,1392,0,0,0,4,1,0.0,0,-18,4,22,40,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,596,0,0,366,0,0,0,0.0,21746,0.0,0,2018-05-05T14:00:00Z,05 May 15:00,0,0,0,0,0,9,0,0,0,0,0,0,37,0,1367,0,0,0,2,0,0.0,0,-24,11,35,40,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,596,0,0,310,0,0,0,0.0,21745,0.0,0,2018-05-10T18:45:00Z,10 May 19:45,0,0,0,0,0,12,0,0,0,0,0,0,37,0,1367,0,0,0,0,0,0.0,0,-24,11,35,40,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,596,0,0,380,0,0,0,0.0,22417,0.0,0,2018-05-13T14:00:00Z,13 May 15:00,0,0,0,0,0,7,0,0,0,0,0,0,38,0,1347,0,0,0,1,3,0.0,0,-18,8,26,40,True,0,0
