assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,195,6,0,0,0.0,0.0,2021-08-14T11:30:00Z,0,13,0,0,0,0,1,0,5955,1,5,0.0,0,0,0,0,45,False,0
0,0,0,0,0.0,195,14,0,0,0.0,0.0,2021-08-21T14:00:00Z,0,8,0,0,0,0,2,0,6345,2,2,0.0,0,-467,427,894,45,True,0
0,0,0,0,0.0,195,29,0,0,0.0,0.0,2021-08-29T13:00:00Z,0,5,0,0,0,0,3,0,4975,1,1,0.0,0,-1402,124,1526,45,False,0
0,0,0,0,0.0,195,36,0,0,0.0,0.0,2021-09-12T15:30:00Z,0,11,0,0,0,0,4,0,3602,3,0,0.0,0,-1391,0,1391,45,True,0
0,0,0,0,0.0,195,46,0,0,0.0,0.0,2021-09-17T19:00:00Z,0,14,0,0,0,0,5,0,3098,1,1,0.0,0,-552,0,552,45,False,0
0,0,0,0,0.0,195,56,0,0,0.0,0.0,2021-09-25T14:00:00Z,0,19,0,0,0,0,6,0,2770,2,1,0.0,0,-345,0,345,45,True,0
0,0,0,0,0.0,195,65,0,0,0.0,0.0,2021-10-02T14:00:00Z,0,18,0,0,0,0,7,0,2564,0,1,0.0,0,-213,0,213,45,True,0
0,0,0,0,0.0,195,79,0,0,0.0,0.0,2021-10-16T14:00:00Z,0,16,0,0,0,0,8,0,2410,0,1,0.0,0,-157,0,157,45,False,0
0,0,0,0,0.0,195,87,0,0,0.0,0.0,2021-10-23T14:00:00Z,0,20,0,0,0,0,9,0,2301,1,1,0.0,0,-114,0,114,45,True,0
0,0,0,0,0.0,195,97,0,0,0.0,0.0,2021-10-31T14:00:00Z,0,15,0,0,0,0,10,0,2181,2,1,0.0,0,-116,0,116,45,False,0
0,0,0,0,0.0,195,107,0,0,0.0,0.0,2021-11-07T14:00:00Z,0,9,0,0,0,0,11,0,2118,1,1,0.0,0,-65,0,65,45,True,0
0,0,0,0,0.0,195,118,0,0,0.0,0.0,2021-11-21T16:30:00Z,0,17,0,0,0,0,12,0,2080,1,2,0.0,0,-45,0,45,45,False,0
0,0,0,0,0.0,195,123,0,0,0.0,0.0,2021-11-27T17:30:00Z,0,4,0,0,0,0,13,0,2024,0,0,0.0,0,-54,0,54,45,False,0
0,0,0,0,0.0,195,133,0,0,0.0,0.0,2021-11-30T20:15:00Z,0,7,0,0,0,0,14,0,2000,0,1,0.0,0,-26,0,26,45,True,0
0,0,0,0,0.0,195,143,0,0,0.0,0.0,2021-12-05T14:00:00Z,0,3,0,0,0,0,15,0,1963,2,2,0.0,0,-37,0,37,45,True,0
0,0,0,0,0.0,195,155,0,0,0.0,0.0,2021-12-11T15:00:00Z,0,6,0,0,0,0,16,0,1924,2,3,0.0,0,-36,0,36,45,False,0
0,0,0,0,0.0,195,170,0,0,0.0,0.0,2021-12-14T20:00:00Z,0,12,0,0,0,0,17,0,1893,0,7,0.0,0,-34,0,34,45,False,0
0,0,0,0,0.0,195,173,0,0,0.0,0.0,2021-12-18T17:30:00Z,0,1,0,0,0,0,18,0,1864,4,1,0.0,0,-24,0,24,45,True,0
0,0,0,0,0.0,195,206,0,0,0.0,0.0,2022-01-02T14:00:00Z,0,5,0,0,0,0,21,0,1816,1,3,0.0,0,-18,0,18,45,True,0
