assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,-5,0,0.0,275,0.00,0.00,0.00,2.19,4,2,0,1.1,11.0,2024-08-17T11:30:00Z,33,False,12,0,0,0,0,1,0,337620,0,2,0,0.0,0,0,0,0,40,True,0
1,0,2,0,17.8,275,0.20,0.20,0.00,3.34,17,4,0,4.9,31.4,2024-08-24T14:00:00Z,90,False,13,0,0,0,0,2,0,335628,1,1,4,0.0,3,-11308,6756,18064,40,False,0
0,0,0,0,0.0,275,0.00,0.00,0.00,0.00,25,0,0,0.0,0.0,2024-08-31T14:00:00Z,0,False,9,0,0,0,0,3,0,455232,0,1,1,0.0,0,95008,142635,47627,40,True,0
0,0,0,0,0.0,275,0.00,0.00,0.00,0.00,33,0,0,0.0,0.0,2024-09-14T14:00:00Z,0,False,5,0,0,0,0,4,0,416459,0,0,0,0.0,0,-35403,29280,64683,40,False,0
0,0,4,0,0.1,275,0.00,0.00,0.00,0.11,48,0,0,0.1,0.8,2024-09-21T14:00:00Z,8,False,17,0,0,0,0,5,0,393131,0,1,1,0.0,1,-24390,4285,28675,40,False,0
0,0,0,0,0.0,275,0.00,0.00,0.00,0.00,56,0,0,0.0,0.0,2024-09-29T13:00:00Z,0,False,2,0,0,0,0,6,0,327969,0,2,2,0.0,0,-65793,4541,70334,40,True,0
0,0,6,0,2.7,275,0.02,0.02,0.00,3.79,70,4,0,1.9,16.2,2024-10-05T14:00:00Z,90,False,19,0,0,0,0,7,0,305814,1,1,4,0.0,0,-22998,2334,25332,40,False,0
0,0,0,0,0.0,275,0.00,0.00,0.00,0.00,73,0,0,0.0,0.0,2024-10-19T14:15:00Z,0,False,8,0,0,0,0,8,0,291999,0,2,0,0.0,0,-14670,3214,17884,40,True,0
0,0,0,0,0.0,275,0.00,0.00,0.00,0.00,83,0,0,0.0,0.0,2024-10-26T14:00:00Z,0,False,4,0,0,0,0,9,0,259408,0,3,4,0.0,0,-31823,237,32060,40,False,0
0,0,9,0,22.2,275,0.01,0.05,0.04,1.55,93,1,0,6.0,30.4,2024-11-02T15:00:00Z,90,False,11,0,0,0,0,10,0,237210,1,1,1,7.0,2,-22921,382,23303,40,True,0
0,0,-2,0,1.8,275,0.01,0.01,0.00,1.82,108,1,0,1.1,7.0,2024-11-10T14:00:00Z,90,False,18,0,0,0,0,11,0,231296,1,2,1,2.0,1,-6547,1738,8285,40,False,1
0,0,0,0,0.0,275,0.00,0.00,0.00,0.00,116,0,0,0.0,0.0,2024-11-24T16:30:00Z,0,False,14,0,0,0,0,12,0,221607,0,1,1,0.0,0,-10337,3773,14110,40,True,0
0,0,0,0,0.0,275,0.00,0.00,0.00,0.00,127,0,0,0.0,0.0,2024-11-30T15:00:00Z,0,False,16,0,0,0,0,13,0,212123,0,0,1,0.0,0,-9267,891,10158,40,False,0
0,0,0,0,0.0,275,0.00,0.00,0.00,0.00,136,0,0,0.0,0.0,2024-12-03T19:30:00Z,0,False,7,0,0,0,0,14,0,202334,0,1,0,0.0,0,-10106,319,10425,40,True,0
0,0,10,0,0.8,275,0.00,0.00,0.00,3.28,146,2,0,2.2,19.2,2024-12-08T14:00:00Z,90,False,3,0,0,0,0,15,0,196067,1,2,1,2.0,1,-6449,872,7321,40,True,0
0,0,4,0,0.0,275,0.00,0.00,0.00,0.37,160,0,0,0.3,2.6,2024-12-14T15:00:00Z,6,False,20,0,0,0,0,16,0,227925,0,2,1,0.0,1,26646,32443,5797,39,False,0
0,0,2,0,0.2,275,0.00,0.00,0.00,0.00,166,0,0,0.1,0.0,2024-12-21T15:00:00Z,12,False,15,0,0,0,0,17,0,243532,0,4,0,2.0,1,15647,24343,8696,39,True,0
0,0,-1,0,0.7,275,0.00,0.00,0.00,1.94,171,1,0,0.8,7.2,2024-12-27T20:15:00Z,79,False,1,0,0,0,0,18,0,251828,1,0,1,0.0,2,7338,20993,13655,39,False,0
0,0,4,0,0.2,275,0.00,0.00,0.00,0.09,186,0,0,0.3,3.2,2024-12-30T19:45:00Z,4,False,6,0,0,0,0,19,0,254243,0,0,2,0.0,1,2858,14324,11466,39,True,0
0,0,0,0,0.8,275,0.00,0.28,0.28,1.40,195,1,0,2.4,15.0,2025-01-05T14:00:00Z,79,False,9,0,0,0,0,20,0,253371,1,2,2,8.0,1,-1669,13645,15314,39,False,1
0,0,0,0,0.0,275,0.00,0.00,0.00,0.00,204,0,0,0.0,0.0,2025-01-16T19:30:00Z,0,False,5,0,0,0,0,21,0,254542,0,2,0,0.0,0,500,11456,10956,39,True,0
