assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,1,0.00000,0.00000,0.00000,0.00000,1,0,0,0.0,0.0,2022-08-05T19:00:00Z,0,7,0,0,0,0,1,0,23970,0,2,0,0.0,0,0,0,0,45,False,0
0,0,0,0,0.0,1,0.00000,0.00000,0.00000,0.00000,11,0,0,0.0,0.0,2022-08-13T14:00:00Z,0,10,0,0,0,0,2,0,24193,0,2,4,0.0,0,-5169,1361,6530,44,True,0
0,0,0,0,0.0,1,0.00000,0.00000,0.00000,0.00000,21,0,0,0.0,0.0,2022-08-20T16:30:00Z,0,3,0,0,0,0,3,0,20960,0,3,0,0.0,0,-4337,879,5216,44,False,0
0,0,0,0,0.0,1,0.00000,0.00000,0.00000,0.00000,31,0,0,0.0,0.0,2022-08-27T16:30:00Z,0,9,0,0,0,0,4,0,18825,0,1,2,0.0,0,-2988,577,3565,43,True,0
0,0,0,0,0.0,1,0.00000,0.00000,0.00000,0.00000,41,0,0,0.0,0.0,2022-08-31T18:30:00Z,0,2,0,0,0,0,5,0,17790,0,1,2,0.0,0,-1611,405,2016,43,True,0
0,0,0,0,0.0,1,0.00000,0.00000,0.00000,0.00000,56,0,0,0.0,0.0,2022-09-04T15:30:00Z,0,14,0,0,0,0,6,0,17133,0,1,3,0.0,0,-1207,516,1723,42,False,0
0,0,0,0,0.0,1,0.00000,0.00000,0.00000,0.00000,72,0,0,0.0,0.0,2022-09-18T11:00:00Z,0,4,0,0,0,0,8,0,16837,0,3,0,0.0,0,-445,114,559,42,False,0
0,0,0,0,0.0,1,0.00000,0.00000,0.00000,0.00000,81,0,0,0.0,0.0,2022-10-01T11:30:00Z,0,18,0,0,0,0,9,0,15362,0,1,3,0.0,0,-1572,64,1636,42,True,0
0,0,0,0,0.0,1,0.00000,0.00000,0.00000,0.00000,91,0,0,0.0,0.0,2022-10-09T15:30:00Z,0,12,0,0,0,0,10,0,14630,0,2,3,0.0,0,-828,148,976,42,True,0
0,0,0,0,0.0,1,0.00000,0.00000,0.00000,0.00000,104,0,0,0.0,0.0,2022-10-16T13:00:00Z,0,11,0,0,0,0,11,0,14586,0,1,0,0.0,0,-229,227,456,42,False,0
0,0,0,0,0.0,1,0.00000,0.00000,0.00000,0.00000,127,0,0,0.0,0.0,2022-10-23T13:00:00Z,0,17,0,0,0,0,13,0,14516,0,1,1,0.0,0,-94,166,260,42,False,0
0,0,2,0,1.6,1,0.00979,0.00979,0.00000,0.04350,131,0,0,0.4,2.4,2022-10-30T14:00:00Z,27,16,0,0,0,0,14,0,14398,0,0,5,0.0,1,-247,137,384,42,True,0
0,0,0,0,0.0,1,0.00000,0.00000,0.00000,0.00000,142,0,0,0.0,0.0,2022-11-06T12:00:00Z,0,6,0,0,0,0,15,0,14350,0,1,0,0.0,0,-161,156,317,42,False,0
0,0,3,0,0.0,1,0.00000,0.00000,0.00000,0.00000,160,0,0,0.0,0.0,2022-11-12T19:45:00Z,1,20,0,0,0,0,16,0,14299,0,2,0,0.0,1,-168,171,339,42,False,0
0,0,0,0,0.0,1,0.00000,0.00000,0.00000,0.00000,161,0,0,0.0,0.0,2022-12-26T20:00:00Z,0,19,0,0,0,0,17,0,14551,0,1,3,0.0,0,40,663,623,42,True,0
0,0,0,0,0.0,1,0.00000,0.00000,0.00000,0.00000,172,0,0,0.0,0.0,2022-12-31T17:30:00Z,0,5,0,0,0,0,18,0,14533,0,4,2,0.0,0,-107,113,220,42,False,0
0,0,0,0,0.0,1,0.00000,0.00000,0.00000,0.00000,181,0,0,0.0,0.0,2023-01-03T19:45:00Z,0,15,0,0,0,0,19,0,14456,0,0,0,0.0,0,-128,70,198,42,True,0
0,0,0,0,0.0,1,0.00000,0.00000,0.00000,0.00000,199,0,0,0.0,0.0,2023-01-15T16:30:00Z,0,18,0,0,0,0,20,0,14425,0,2,0,0.0,0,-131,108,239,42,False,0
