assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,1,0,1.5,569,0.01,0.08,0.07,1.06,7,0,0,0.5,0.0,2024-08-17T16:30:00Z,16,0,0,0,0,0,0,0,False,19,0,0,0,0,1,0,7043,0,2,1,4.0,0,0,0,0,55,False,1
0,0,0,0,0.0,569,0.00,0.00,0.00,0.00,11,0,0,0.0,0.0,2024-08-24T16:30:00Z,0,0,0,0,0,0,0,0,False,1,0,0,0,0,2,0,7332,0,2,0,0.0,0,-1224,251,1475,55,True,0
0,0,0,0,0.0,569,0.00,0.00,0.00,0.00,26,0,0,0.0,0.0,2024-08-31T14:00:00Z,0,0,0,0,0,0,0,0,False,11,0,0,0,0,3,0,6763,0,2,1,0.0,0,-1097,358,1455,54,False,0
0,0,5,0,0.0,569,0.00,0.00,0.00,0.09,31,0,0,0.1,1.0,2024-09-14T16:30:00Z,1,0,0,0,0,0,0,0,False,8,0,0,0,0,4,0,5257,0,2,3,0.0,1,-1554,77,1631,54,True,0
0,0,0,0,0.0,569,0.00,0.00,0.00,0.00,41,0,0,0.0,0.0,2024-09-21T14:00:00Z,0,0,0,0,0,0,0,0,False,20,0,0,0,0,5,0,5056,0,1,3,0.0,0,-339,123,462,53,True,0
0,0,4,0,0.8,569,0.01,0.01,0.00,0.63,56,1,0,0.3,2.6,2024-09-29T13:00:00Z,26,0,0,0,0,0,0,0,False,10,0,0,0,0,6,0,4354,0,2,2,0.0,1,-700,24,724,53,False,0
0,0,7,1,1.8,569,0.03,0.15,0.12,0.52,62,0,0,1.3,3.6,2024-10-06T13:00:00Z,90,0,0,0,0,0,0,0,False,14,0,0,0,0,7,0,4477,1,0,0,8.0,3,-4,330,334,53,True,0
0,0,-8,0,0.0,569,0.00,0.04,0.04,0.11,72,0,0,0.0,0.0,2024-10-19T14:00:00Z,29,0,0,0,0,0,0,0,False,9,0,0,0,1,8,0,4812,0,3,1,1.0,-2,167,463,296,53,False,0
0,0,0,0,0.0,569,0.00,0.00,0.00,0.00,82,0,0,0.0,0.0,2024-10-26T14:00:00Z,0,0,0,0,0,0,0,0,False,3,0,0,0,0,9,0,4395,0,1,1,0.0,0,-410,29,439,53,True,0
0,0,1,0,0.8,569,0.00,0.00,0.00,0.15,99,1,0,0.1,0.0,2024-11-03T14:00:00Z,9,0,0,0,0,0,0,0,False,18,0,0,0,0,10,0,4505,0,1,4,2.0,1,15,215,200,53,False,0
0,0,-3,0,0.4,569,0.00,0.17,0.17,0.84,105,1,0,0.8,0.0,2024-11-09T20:00:00Z,25,0,0,0,0,0,0,0,False,12,0,0,0,0,11,0,4511,0,0,2,11.0,1,-51,122,173,53,False,0
0,0,2,0,0.3,569,0.00,0.00,0.00,0.02,112,0,0,0.2,0.0,2024-11-23T15:00:00Z,8,0,0,0,0,0,0,0,False,7,0,0,0,0,12,0,4667,0,2,2,2.0,1,68,242,174,53,True,0
0,0,3,0,10.6,569,0.04,0.06,0.02,0.94,123,2,0,2.9,8.4,2024-12-01T13:30:00Z,65,0,0,0,0,0,0,0,False,6,0,0,0,0,13,0,4710,1,0,3,10.0,1,-20,129,149,53,False,1
0,0,3,0,0.6,569,0.00,0.00,0.00,0.27,132,0,0,0.2,1.2,2024-12-04T20:15:00Z,25,0,0,0,0,0,0,0,False,4,0,0,0,0,14,0,4800,0,1,3,0.0,1,24,186,162,53,True,0
0,0,3,0,1.9,569,0.08,0.12,0.04,0.10,141,0,0,1.0,0.6,2024-12-07T15:00:00Z,31,0,0,0,0,0,0,0,False,17,0,0,0,0,15,0,4888,0,0,1,7.0,1,33,215,182,53,True,0
0,0,0,0,0.0,569,0.00,0.00,0.00,0.00,158,0,0,0.0,0.0,2024-12-14T17:30:00Z,0,0,0,0,0,0,0,0,False,16,0,0,0,0,16,0,4920,0,1,2,0.0,0,-57,190,247,53,False,0
