assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,15,0,11.5,431,5,1,0,3.3,17.6,2021-08-14T14:00:00Z,90,9,0,0,0,0,1,0,40940,0,1,4.0,2,0,0,0,50,False,0
0,0,18,0,11.5,431,17,1,0,3.4,14.4,2021-08-22T13:00:00Z,83,17,0,0,0,0,2,0,44275,1,0,8.0,2,-2496,1659,4155,50,True,0
0,0,7,0,0.4,431,30,1,0,8.1,30.2,2021-08-29T15:30:00Z,90,13,0,0,0,0,3,0,42467,1,0,50.0,1,-3454,2309,5763,50,True,1
0,0,24,1,1.7,431,40,0,0,4.0,21.4,2021-09-11T14:00:00Z,90,18,0,0,0,0,4,0,71788,2,0,17.0,6,23137,47869,24732,50,False,0
0,0,3,0,2.2,431,50,2,0,0.9,5.6,2021-09-18T11:30:00Z,45,3,0,0,0,0,5,0,89694,2,0,1.0,-1,14570,25607,11037,50,True,1
0,1,29,1,1.3,431,59,0,0,3.6,30.4,2021-09-26T13:00:00Z,90,16,0,0,0,0,6,0,76976,1,0,4.0,7,-12037,3411,15448,50,False,0
0,0,17,0,1.6,431,70,1,0,2.7,25.8,2021-10-02T14:00:00Z,90,14,0,0,0,0,7,0,84503,1,2,0.0,2,4887,10616,5729,50,True,0
0,0,27,0,0.8,431,72,2,1,9.1,56.8,2021-10-16T14:00:00Z,90,2,0,0,0,0,8,0,79005,3,2,33.0,7,-5140,3603,8743,50,False,0
0,0,9,0,0.6,431,87,1,0,2.3,22.4,2021-10-23T14:00:00Z,90,10,0,0,0,0,9,0,89894,1,1,0.0,1,7889,12280,4391,50,False,1
0,0,12,0,3.0,431,100,1,0,2.3,20.2,2021-11-01T20:00:00Z,90,8,0,0,0,0,10,0,89637,1,2,0.0,2,-742,7036,7778,50,True,0
0,0,11,0,0.6,431,105,2,0,1.8,15.6,2021-11-06T15:00:00Z,90,7,0,0,0,0,11,0,87699,0,2,2.0,1,-2619,3009,5628,50,False,0
0,1,28,1,13.8,431,120,0,0,4.9,26.4,2021-11-20T15:00:00Z,90,19,0,0,0,0,12,0,82291,0,1,9.0,7,-5830,1657,7487,50,True,0
0,0,24,1,1.4,431,130,0,0,2.3,21.8,2021-11-27T15:00:00Z,90,15,0,0,0,0,13,0,94707,0,0,0.0,6,10519,14690,4171,50,False,0
0,0,27,1,1.4,431,137,0,0,2.1,16.4,2021-12-01T19:30:00Z,90,5,0,0,0,0,14,0,95745,0,0,3.0,6,783,6988,6205,50,True,0
0,0,10,0,0.8,431,150,1,0,1.6,13.2,2021-12-04T15:00:00Z,90,11,0,0,0,0,15,0,90446,1,0,2.0,2,-5298,5755,11053,50,True,0
0,0,13,0,0.0,431,159,1,0,1.9,19.2,2021-12-11T12:30:00Z,90,12,0,0,0,0,16,0,93894,0,1,0.0,2,2615,9689,7074,50,False,0
0,3,40,1,0.7,431,163,0,1,8.4,60.0,2021-12-15T19:30:00Z,90,4,0,0,0,0,17,0,107734,1,0,23.0,15,11542,15841,4299,50,False,0
0,1,29,1,0.5,431,180,0,0,2.8,27.4,2021-12-19T14:00:00Z,90,6,0,0,0,0,18,0,171303,0,0,0.0,7,39344,47325,7981,50,True,0
0,0,21,1,1.5,431,208,0,0,1.7,6.4,2022-01-03T17:30:00Z,90,13,0,0,0,0,21,0,257819,1,0,9.0,6,66337,86481,20144,51,False,0
0,0,0,0,0.0,431,220,0,0,0.0,0.0,2022-01-15T15:00:00Z,0,16,0,0,0,0,22,0,152789,1,3,0.0,0,-73259,8980,82239,51,True,0
