assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,24,1,1.5,339,0.01,0.01,0.00,0.45,4,0,0,1.4,8.8,2024-08-17T11:30:00Z,90,0,0,0,0,0,0,0,False,10,0,0,0,0,1,0,1021672,1,2,0,4.0,6,0,0,0,60,False,0
0,1,31,1,1.1,339,0.01,0.03,0.02,0.36,16,0,0,3.8,20.0,2024-08-25T15:30:00Z,90,0,0,0,0,0,0,0,False,4,0,0,0,0,2,0,1229968,1,0,2,17.0,7,14490,61004,46514,60,True,0
0,0,28,1,11.0,339,0.03,0.03,0.00,1.36,27,0,0,4.1,30.4,2024-09-01T15:00:00Z,90,0,0,0,0,0,0,0,False,14,0,0,0,0,3,0,1315401,1,3,0,0.0,5,-1959,86093,88052,60,False,1
0,0,9,0,2.2,339,0.02,0.16,0.14,0.44,36,1,0,4.5,28.6,2024-09-14T14:00:00Z,90,0,0,0,0,0,0,0,False,16,0,0,0,0,4,0,1470260,1,1,0,14.0,2,68174,164704,96530,60,True,0
0,0,28,1,0.7,339,0.00,0.00,0.00,1.08,46,0,0,1.9,18.6,2024-09-21T14:00:00Z,90,0,0,0,0,0,0,0,False,3,0,0,0,0,5,0,1546242,1,0,3,0.0,6,45007,91987,46980,60,True,0
0,0,12,0,1.4,339,0.02,0.02,0.00,0.63,60,1,0,2.2,20.4,2024-09-28T16:30:00Z,90,0,0,0,0,0,0,0,False,20,0,0,0,0,6,0,1551495,1,2,1,0.0,2,-15818,61180,76998,60,False,0
0,2,31,1,11.2,339,0.09,0.12,0.03,0.64,66,0,0,3.5,19.8,2024-10-05T11:30:00Z,90,0,0,0,0,0,0,0,False,7,0,0,0,0,7,0,1531316,1,1,0,4.0,8,-41392,33044,74436,60,False,0
0,0,9,0,0.2,339,0.00,0.02,0.02,0.99,74,1,0,1.5,11.0,2024-10-20T15:30:00Z,90,0,0,0,0,0,0,0,False,6,0,0,0,0,8,0,1562533,1,1,2,4.0,2,2861,52970,50109,60,True,0
0,0,22,0,12.3,339,0.03,0.28,0.25,1.03,81,2,1,10.3,54.0,2024-10-27T16:30:00Z,90,0,0,0,0,0,0,0,False,1,0,0,0,0,9,0,1604835,1,2,2,37.0,7,30961,69648,38687,61,False,0
1,0,14,0,11.3,339,0.01,0.01,0.00,1.01,94,1,0,5.2,38.4,2024-11-02T15:00:00Z,90,0,0,0,0,0,0,0,False,5,0,0,0,0,10,0,1846137,1,1,2,2.0,5,207068,230825,23757,62,True,0
0,0,28,1,12.2,339,0.02,0.02,0.00,1.38,105,0,0,3.4,22.2,2024-11-09T20:00:00Z,90,0,0,0,0,0,0,0,False,2,0,0,0,0,11,0,1965313,1,0,2,0.0,6,103089,135484,32395,62,True,0
0,0,5,0,4.3,339,0.03,0.03,0.00,1.28,120,2,0,2.3,14.6,2024-11-24T14:00:00Z,90,0,0,0,0,0,0,0,False,17,0,0,0,0,12,0,2369323,1,3,2,4.0,1,361619,392858,31239,63,False,0
0,0,25,1,0.5,339,0.02,0.37,0.35,0.82,125,0,0,7.1,26.0,2024-12-01T16:00:00Z,90,0,0,0,0,0,0,0,False,13,0,0,0,0,13,0,2428916,1,0,2,44.0,6,67135,126577,59442,63,True,0
0,0,3,0,1.0,339,0.01,0.01,0.00,2.09,139,3,0,2.1,19.8,2024-12-04T19:30:00Z,90,0,0,0,0,0,0,0,False,15,0,0,0,0,14,0,2665183,1,3,3,0.0,1,212732,243387,30655,64,False,0
0,0,5,0,2.2,339,0.02,0.11,0.09,1.22,155,2,0,1.8,11.2,2024-12-14T15:00:00Z,90,0,0,0,0,0,0,0,False,9,0,0,0,0,16,0,2798143,1,2,2,5.0,1,98589,152863,54274,64,True,0
0,0,4,0,0.8,339,0.00,0.00,0.00,1.25,169,3,0,3.4,29.0,2024-12-22T16:30:00Z,90,0,0,0,0,0,0,0,False,18,0,0,0,0,17,0,2726808,1,6,3,4.0,1,-77288,44252,121540,65,False,0
0,0,13,0,4.1,339,0.03,0.03,0.00,0.34,175,1,0,3.2,26.0,2024-12-26T20:00:00Z,90,0,0,0,0,0,0,0,False,11,0,0,0,0,18,0,2700908,1,1,3,2.0,2,-42608,72825,115433,65,True,0
0,0,32,1,0.8,339,0.01,0.09,0.08,0.36,190,0,0,3.3,21.0,2024-12-29T17:15:00Z,90,0,0,0,0,0,0,0,False,19,0,0,0,0,19,0,2640185,1,5,0,11.0,6,-68558,36837,105395,65,False,0
0,0,8,0,10.8,339,0.01,0.31,0.30,1.05,196,2,0,7.3,23.4,2025-01-05T16:30:00Z,90,0,0,0,0,0,0,0,False,14,0,0,0,0,20,0,2569651,1,2,2,39.0,1,-82563,48759,131322,65,True,0
0,0,13,0,12.9,339,0.03,0.03,0.00,0.31,206,1,0,3.7,22.4,2025-01-14T20:00:00Z,90,0,0,0,0,0,0,0,False,16,0,0,0,0,21,0,2511834,1,1,1,2.0,2,-73738,41663,115401,64,False,0
0,0,30,1,14.3,339,0.14,0.30,0.16,0.72,212,0,0,4.5,15.0,2025-01-18T15:00:00Z,90,0,0,0,0,0,0,0,False,4,0,0,0,0,22,0,2452750,1,2,0,16.0,6,-68848,29756,98604,64,False,0
0,0,14,0,11.1,339,0.10,0.17,0.07,0.48,226,1,0,4.9,27.2,2025-01-25T15:00:00Z,90,0,0,0,0,0,0,0,False,10,0,0,0,0,23,0,2561166,1,1,4,11.0,2,89993,159423,69430,64,True,0
0,0,24,1,1.0,339,0.01,0.01,0.00,1.58,232,0,0,1.6,10.8,2025-02-01T15:00:00Z,90,0,0,0,0,0,0,0,False,3,0,0,0,0,24,0,2553024,1,2,0,4.0,5,-16071,100172,116243,64,False,1
0,0,12,0,2.0,339,0.02,0.02,0.00,0.98,144,2,0,3.7,34.6,2025-02-12T19:30:00Z,90,0,0,0,0,0,0,0,False,8,0,0,0,0,24,0,2553024,1,2,2,0.0,1,-16071,100172,116243,64,False,0
0,0,11,0,11.7,339,0.02,0.02,0.00,1.50,246,1,0,4.5,33.2,2025-02-16T14:00:00Z,90,0,0,0,0,0,0,0,False,20,0,0,0,0,25,0,2637459,1,1,2,0.0,1,54445,107641,53196,64,True,1
0,0,2,0,4.6,339,0.01,0.03,0.02,0.73,282,2,0,3.0,19.8,2025-02-19T19:30:00Z,90,0,0,0,0,0,0,0,False,2,0,0,0,0,25,0,2637459,1,2,2,6.0,1,54445,107641,53196,64,False,0
0,0,24,1,0.2,339,0.00,0.00,0.00,0.63,258,0,0,4.2,39.8,2025-02-23T16:30:00Z,90,0,0,0,0,0,0,0,False,13,0,0,0,0,26,0,2541564,1,2,0,2.0,6,-90052,16238,106290,64,False,0
0,1,28,1,3.9,339,0.02,0.02,0.00,0.23,269,0,0,2.8,24.2,2025-02-26T20:15:00Z,90,0,0,0,0,0,0,0,False,15,0,0,0,0,27,0,2531178,1,0,2,0.0,7,-18398,30342,48740,64,True,0
0,0,9,0,15.8,339,0.03,0.03,0.00,0.36,275,1,0,2.9,13.0,2025-03-08T15:00:00Z,90,0,0,0,0,0,0,0,False,17,0,0,0,0,28,0,2585549,1,1,3,0.0,2,41852,79082,37230,64,True,0
0,2,30,1,2.5,339,0.03,0.03,0.00,0.67,297,0,0,3.1,28.2,2025-04-02T19:00:00Z,90,0,0,0,0,0,0,0,False,8,0,0,0,0,30,0,2529947,1,0,1,0.0,8,85647,147935,62288,64,True,0
0,0,3,0,1.2,339,0.01,0.01,0.00,0.74,305,3,0,2.9,27.8,2025-04-06T13:00:00Z,90,0,0,0,0,0,0,0,False,9,0,0,0,0,31,0,2739118,1,2,3,0.0,1,202901,239854,36953,65,False,0
0,1,25,0,1.9,339,0.01,0.19,0.18,1.50,315,1,1,7.1,46.2,2025-04-13T13:00:00Z,90,0,0,0,0,0,0,0,False,19,0,0,0,0,32,0,2778431,1,1,2,23.0,9,40055,90122,50067,65,True,0
0,1,28,1,13.3,339,0.04,0.25,0.21,0.27,327,0,0,4.6,17.0,2025-04-20T15:30:00Z,90,0,0,0,0,0,0,0,False,11,0,0,0,0,33,0,2868913,1,1,0,16.0,7,85118,133953,48835,66,False,0
0,0,15,0,11.7,339,0.06,0.08,0.02,0.46,335,1,0,4.1,27.8,2025-04-27T15:30:00Z,90,0,0,0,0,0,0,0,False,18,0,0,0,0,34,0,3202363,1,1,5,1.0,2,148769,177244,28475,66,True,0
0,0,11,0,2.5,339,0.01,0.29,0.28,3.13,345,3,1,7.8,48.8,2025-05-04T15:30:00Z,90,0,0,0,0,0,0,0,False,6,0,0,0,0,35,0,2985576,1,1,3,27.0,6,-33137,24578,57715,67,False,1
0,0,5,0,0.6,339,0.03,0.03,0.00,2.31,354,2,0,2.3,22.0,2025-05-11T15:30:00Z,90,0,0,0,0,0,0,0,False,1,0,0,0,0,36,0,2941345,1,2,2,0.0,1,-43720,33336,77056,67,True,0
0,0,0,0,0.0,339,0.00,0.00,0.00,0.00,364,0,0,0.0,0.0,2025-05-19T19:00:00Z,0,0,0,0,0,0,0,0,False,5,0,0,0,0,37,0,2946817,0,2,3,0.0,0,-1563,35868,37431,67,False,0
0,0,16,0,5.8,339,0.04,0.04,0.00,1.75,374,1,0,3.7,31.6,2025-05-25T15:00:00Z,90,0,0,0,0,0,0,0,False,7,0,0,0,0,38,0,2938447,1,1,1,0.0,1,-7704,66117,73821,67,True,1
