assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,311,3,0,0,0.0,0.0,2019-08-10T14:00:00Z,0,5,0,0,0,0,1,0,66650,0,3,0.0,0,0,0,0,40,False,0
0,0,0,0,0.0,311,19,0,0,0.0,0.0,2019-08-17T14:00:00Z,0,10,0,0,0,0,2,0,75158,2,1,0.0,0,-3437,2749,6186,40,True,0
0,0,0,0,0.0,311,23,0,0,0.0,0.0,2019-08-24T14:00:00Z,0,4,0,0,0,0,3,0,75506,2,0,0.0,0,-3556,2789,6345,40,False,0
0,0,0,0,0.0,311,39,0,0,0.0,0.0,2019-08-31T11:30:00Z,0,12,0,0,0,0,4,0,79151,1,1,0.0,0,-835,4148,4983,40,True,0
0,0,0,0,0.0,311,47,0,0,0.0,0.0,2019-09-14T14:00:00Z,0,15,0,0,0,0,5,0,85654,1,0,0.0,0,1917,7121,5204,40,False,0
0,0,0,0,0.0,311,59,0,0,0.0,0.0,2019-09-20T19:00:00Z,0,3,0,0,0,0,6,0,87128,3,1,0.0,0,22,3359,3337,40,True,0
0,0,0,0,0.0,311,69,0,0,0.0,0.0,2019-09-28T14:00:00Z,0,17,0,0,0,0,7,0,87594,1,2,0.0,0,-1371,2984,4355,40,False,0
0,0,0,0,0.0,311,78,0,0,0.0,0.0,2019-10-06T13:00:00Z,0,6,0,0,0,0,8,0,86861,4,1,0.0,0,-1617,1573,3190,40,True,0
0,0,0,0,0.0,311,90,0,0,0.0,0.0,2019-10-19T14:00:00Z,0,20,0,0,0,0,9,0,86757,1,1,0.0,0,-1203,1620,2823,40,False,0
0,0,0,0,0.0,311,98,0,0,0.0,0.0,2019-10-25T19:00:00Z,0,9,0,0,0,0,10,0,86331,9,0,0.0,0,-975,937,1912,40,True,0
0,0,0,0,0.0,311,107,0,0,0.0,0.0,2019-11-02T15:00:00Z,0,11,0,0,0,0,11,0,85540,1,2,0.0,0,-1566,1066,2632,40,False,0
0,0,0,0,0.0,311,118,0,0,0.0,0.0,2019-11-09T15:00:00Z,0,8,0,0,0,0,12,0,84524,2,1,0.0,0,-1562,768,2330,40,True,0
0,0,0,0,0.0,311,121,0,0,0.0,0.0,2019-11-23T15:00:00Z,0,1,0,0,0,0,13,0,89596,2,2,0.0,0,1888,4616,2728,39,False,0
0,0,0,0,0.0,311,138,0,0,0.0,0.0,2019-11-30T17:30:00Z,0,18,0,0,0,0,14,0,94964,1,2,0.0,0,4457,7602,3145,39,True,0
0,0,0,0,0.0,311,150,0,0,0.0,0.0,2019-12-04T19:30:00Z,0,14,0,0,0,0,15,0,97049,1,2,0.0,0,2381,4535,2154,39,True,0
0,0,0,0,0.0,311,156,0,0,0.0,0.0,2019-12-08T14:00:00Z,0,13,0,0,0,0,16,0,101075,1,2,0.0,0,3119,5894,2775,39,False,0
0,0,0,0,0.0,311,169,0,0,0.0,0.0,2019-12-14T17:30:00Z,0,19,0,0,0,0,17,0,109374,1,0,0.0,0,5799,9468,3669,39,True,0
0,0,0,0,0.0,311,171,0,0,0.0,0.0,2019-12-21T15:00:00Z,0,2,0,0,0,0,18,0,118213,3,1,0.0,0,3221,7342,4121,39,False,0
0,0,0,0,0.0,311,183,0,0,0.0,0.0,2019-12-26T15:00:00Z,0,6,0,0,0,0,19,0,115617,2,0,0.0,0,1527,4720,3193,39,False,0
0,0,0,0,0.0,311,198,0,0,0.0,0.0,2019-12-28T15:00:00Z,0,7,0,0,0,0,20,0,116666,1,1,0.0,0,747,3517,2770,39,True,0
0,0,0,0,0.0,311,208,0,0,0.0,0.0,2020-01-01T15:00:00Z,0,17,0,0,0,0,21,0,117897,0,1,0.0,0,741,5834,5093,39,True,0
0,0,0,0,0.0,311,216,0,0,0.0,0.0,2020-01-11T15:00:00Z,0,9,0,0,0,0,22,0,117931,2,1,0.0,0,-671,4201,4872,39,False,0
0,0,0,0,0.0,311,228,0,0,0.0,0.0,2020-01-18T15:00:00Z,0,20,0,0,0,0,23,0,124811,3,2,0.0,0,4890,9369,4479,39,True,0
0,0,0,0,0.0,311,239,0,0,0.0,0.0,2020-01-21T19:30:00Z,0,7,0,0,0,0,24,0,138644,2,0,0.0,0,5463,9271,3808,39,False,0
0,0,0,0,0.0,311,245,0,0,0.0,0.0,2020-02-01T15:00:00Z,0,10,0,0,0,0,25,0,132301,0,4,0.0,0,823,9029,8206,39,False,0
0,0,0,0,0.0,311,259,0,0,0.0,0.0,2020-02-15T12:30:00Z,0,5,0,0,0,0,26,0,125305,2,1,0.0,0,-6407,1134,7541,39,True,0
0,0,0,0,0.0,311,269,0,0,0.0,0.0,2020-02-22T15:00:00Z,0,2,0,0,0,0,27,0,121434,0,2,0.0,0,-4119,1430,5549,39,True,0
