assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,19,2,0,0,0.0,0.0,2020-09-12T11:30:00Z,0,8,0,0,0,0,1,0,15039,3,0,0.0,0,0,0,0,50,False,0
0,0,0,0,0.0,19,9,0,0,0.0,0.0,2020-09-19T19:00:00Z,0,19,0,0,0,0,2,0,14793,1,2,0.0,0,-3347,811,4158,49,True,0
0,0,0,0,0.0,19,23,0,0,0.0,0.0,2020-09-28T19:00:00Z,0,11,0,0,0,0,3,0,13789,1,3,0.0,0,-2285,1248,3533,49,False,0
0,0,0,0,0.0,19,29,0,0,0.0,0.0,2020-10-04T13:00:00Z,0,15,0,0,0,0,4,0,13254,1,2,0.0,0,-1210,751,1961,48,True,0
0,0,0,0,0.0,19,44,0,0,0.0,0.0,2020-10-17T16:30:00Z,0,12,0,0,0,0,5,0,10324,0,1,0.0,0,-3038,318,3356,48,False,0
0,0,0,0,0.0,19,49,0,0,0.0,0.0,2020-10-25T19:15:00Z,0,9,0,0,0,0,6,0,8988,1,0,0.0,0,-1479,93,1572,48,True,0
0,0,0,0,0.0,19,64,0,0,0.0,0.0,2020-11-01T16:30:00Z,0,13,0,0,0,0,7,0,8217,1,0,0.0,0,-827,15,842,47,False,0
0,0,0,0,0.0,19,69,0,0,0.0,0.0,2020-11-08T19:15:00Z,0,2,0,0,0,0,8,0,7786,3,0,0.0,0,-470,25,495,47,True,0
0,0,0,0,0.0,19,82,0,0,0.0,0.0,2020-11-22T16:30:00Z,0,10,0,0,0,0,9,0,7396,0,0,0.0,0,-390,12,402,47,False,0
0,0,0,0,0.0,19,89,0,0,0.0,0.0,2020-11-29T19:15:00Z,0,20,0,0,0,0,10,0,7268,2,1,0.0,0,-150,17,167,47,True,0
0,0,0,0,0.0,19,106,0,0,0.0,0.0,2020-12-06T16:30:00Z,0,17,0,0,0,0,11,0,7204,0,2,0.0,0,-91,104,195,47,False,0
0,0,0,0,0.0,19,109,0,0,0.0,0.0,2020-12-13T19:15:00Z,0,4,0,0,0,0,12,0,6999,1,0,0.0,0,-198,26,224,47,True,0
0,0,0,0,0.0,19,119,0,0,0.0,0.0,2020-12-16T18:00:00Z,0,16,0,0,0,0,13,0,6959,1,1,0.0,0,-50,14,64,47,True,0
0,0,0,0,0.0,19,133,0,0,0.0,0.0,2020-12-19T17:30:00Z,0,7,0,0,0,0,14,0,6913,1,2,0.0,0,-48,8,56,47,False,0
0,0,0,0,0.0,19,139,0,0,0.0,0.0,2020-12-26T17:30:00Z,0,5,0,0,0,0,15,0,6806,1,3,0.0,0,-108,6,114,47,True,0
0,0,0,0,0.0,19,149,0,0,0.0,0.0,2020-12-29T18:00:00Z,0,3,0,0,0,0,16,0,6772,1,0,0.0,0,-44,0,44,47,False,0
0,0,0,0,0.0,19,168,0,0,0.0,0.0,2021-01-02T20:00:00Z,0,18,0,0,0,0,17,0,6733,4,0,0.0,0,-45,5,50,47,False,0
0,0,0,0,0.0,19,169,0,0,0.0,0.0,2021-01-14T20:00:00Z,0,6,0,0,0,0,18,0,6629,0,0,0.0,0,-91,5,96,47,True,0
0,0,0,0,0.0,19,179,0,0,0.0,0.0,2021-01-18T20:00:00Z,0,14,0,0,0,0,19,0,6618,0,3,0.0,0,-27,1,28,47,True,0
0,0,0,0,0.0,19,197,0,0,0.0,0.0,2021-01-26T20:15:00Z,0,16,0,0,0,0,20,0,6576,3,1,0.0,0,-45,0,45,47,False,0
0,0,0,0,0.0,19,199,0,0,0.0,0.0,2021-01-30T17:30:00Z,0,13,0,0,0,0,21,0,6536,0,0,0.0,0,-39,0,39,47,True,0
0,0,0,0,0.0,19,215,0,0,0.0,0.0,2021-02-02T18:00:00Z,0,20,0,0,0,0,22,0,6509,1,2,0.0,0,-27,0,27,47,False,0
0,0,0,0,0.0,19,219,0,0,0.0,0.0,2021-02-06T12:30:00Z,0,2,0,0,0,0,23,0,6476,0,1,0.0,0,-31,0,31,47,False,0
0,0,0,0,0.0,19,229,0,0,0.0,0.0,2021-02-14T16:30:00Z,0,10,0,0,0,0,24,0,6444,2,4,0.0,0,-32,0,32,47,True,0
0,0,0,0,0.0,19,239,0,0,0.0,0.0,2021-02-21T16:30:00Z,0,12,0,0,0,0,25,0,6407,1,0,0.0,0,-36,0,36,47,True,0
0,0,0,0,0.0,19,253,0,0,0.0,0.0,2021-02-28T12:00:00Z,0,9,0,0,0,0,26,0,6388,3,1,0.0,0,-21,0,21,47,False,0
0,0,0,0,0.0,19,261,0,0,0.0,0.0,2021-03-06T12:30:00Z,0,4,0,0,0,0,27,0,6363,1,1,0.0,0,-24,0,24,47,False,0
0,0,0,0,0.0,19,269,0,0,0.0,0.0,2021-03-14T16:30:00Z,0,17,0,0,0,0,28,0,6345,1,2,0.0,0,-21,0,21,47,True,0
0,0,0,0,0.0,19,288,0,0,0.0,0.0,2021-03-21T15:00:00Z,0,19,0,0,0,0,29,0,6331,3,3,0.0,0,-14,0,14,47,False,0
0,0,0,0,0.0,19,289,0,0,0.0,0.0,2021-04-03T19:00:00Z,0,11,0,0,0,0,30,0,6320,3,0,0.0,0,-12,0,12,47,True,0
