assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,0,0,0,0,0,0.0,0,0,260,0,0,9,0,0,0,0.0,260,0.0,0,2016-08-14T12:30:00Z,14 Aug 13:30,0,0,0,0,0,2,0,0,0,0,0,0,1,0,3019,0,0,0,3,1,0.0,0,0,0,0,55,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,260,0,0,11,0,0,0,0.0,785,0.0,0,2016-08-19T19:00:00Z,19 Aug 20:00,0,0,0,0,0,13,0,0,0,0,0,0,2,0,3083,0,0,0,0,2,0.0,0,-497,103,600,55,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,260,0,0,24,0,0,0,0.0,1325,0.0,0,2016-08-27T16:30:00Z,27 Aug 17:30,0,0,0,0,0,7,0,0,0,0,0,0,3,0,2723,0,0,0,1,0,0.0,0,-540,67,607,54,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,260,0,0,35,0,0,0,0.0,1875,0.0,0,2016-09-10T11:30:00Z,10 Sep 12:30,0,0,0,0,0,10,0,0,0,0,0,0,4,0,2545,0,0,0,2,1,0.0,0,-334,43,377,53,True,0,0
0,17,0,0,0,6,0,4,13,3.7,0,0,260,0,0,50,0,2,0,2.8,2456,6.4,0,2016-09-18T11:00:00Z,18 Sep 12:00,0,0,53,0,0,18,0,0,0,0,6,0,5,0,2448,1,0,0,1,3,18.0,1,-173,31,204,53,False,0,0
0,8,0,0,0,4,0,0,7,1.3,1,0,260,0,0,54,0,0,0,0.3,3040,1.2,0,2016-09-24T11:30:00Z,24 Sep 12:30,0,0,4,0,0,8,0,0,0,0,1,0,6,0,2495,0,0,0,1,4,0.0,1,-70,89,159,53,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,260,0,0,65,0,0,0,0.0,3626,0.0,0,2016-10-02T11:00:00Z,02 Oct 12:00,0,0,0,0,0,14,0,0,0,0,0,0,7,0,2496,0,0,0,1,1,0.0,0,-79,64,143,52,True,0,0
0,26,0,0,0,5,1,4,20,4.5,0,0,260,0,0,75,1,0,0,1.7,4215,12.4,0,2016-10-17T19:00:00Z,17 Oct 20:00,0,0,90,1,0,9,0,0,0,0,6,0,8,0,2536,4,2,0,0,0,0.0,2,-73,50,123,52,False,0,1
0,0,0,0,0,0,0,0,0,0.0,0,0,260,0,0,84,0,0,0,0.0,4807,0.0,0,2016-10-23T15:00:00Z,23 Oct 16:00,0,0,0,0,0,4,0,0,0,0,0,0,9,0,2641,0,0,0,0,4,0.0,0,28,103,75,52,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,260,0,0,93,0,0,0,0.0,5401,0.0,0,2016-10-29T14:00:00Z,29 Oct 15:00,0,0,0,0,0,3,0,0,0,0,0,0,10,0,2672,0,0,0,0,0,0.0,0,-27,79,106,52,True,0,0
0,73,0,0,0,26,0,9,67,7.3,0,0,260,0,0,109,0,1,0,3.0,5999,22.6,0,2016-11-06T15:00:00Z,06 Nov 15:00,0,0,90,0,0,16,0,0,0,0,7,0,11,0,2681,0,4,0,3,1,0.0,2,-60,70,130,52,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,260,0,0,113,0,0,0,0.0,6598,0.0,0,2016-11-19T12:30:00Z,19 Nov 12:30,0,0,0,0,0,1,0,0,0,0,0,0,12,0,2847,0,0,0,1,1,0.0,0,51,155,104,52,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,260,0,0,127,0,0,0,0.0,7199,0.0,0,2016-11-27T16:30:00Z,27 Nov 16:30,0,0,0,0,0,20,0,0,0,0,0,0,13,0,2835,0,0,0,1,1,0.0,0,-58,47,105,52,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,260,0,0,133,0,0,0,0.0,7803,0.0,0,2016-12-04T16:00:00Z,04 Dec 16:00,0,0,0,0,0,6,0,0,0,0,0,0,14,0,2835,0,0,0,1,1,0.0,0,-50,36,86,52,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,260,0,0,149,0,0,0,0.0,8408,0.0,0,2016-12-11T14:15:00Z,11 Dec 14:15,0,0,0,0,0,17,0,0,0,0,0,0,15,0,2835,0,0,0,0,1,0.0,0,-45,48,93,52,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,260,0,0,155,0,0,0,0.0,9018,0.0,0,2016-12-14T20:00:00Z,14 Dec 20:00,0,0,0,0,0,5,0,0,0,0,0,0,16,0,2825,0,0,0,2,1,0.0,0,-31,30,61,52,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,260,0,0,169,0,0,0,0.0,9632,0.0,0,2016-12-17T17:30:00Z,17 Dec 17:30,0,0,0,0,0,19,0,0,0,0,0,0,17,0,2820,0,0,0,2,0,0.0,0,-28,29,57,51,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,260,0,0,177,0,0,0,0.0,10248,0.0,0,2016-12-26T15:00:00Z,26 Dec 15:00,0,0,0,0,0,15,0,0,0,0,0,0,18,0,2824,0,0,0,1,3,0.0,0,-33,40,73,51,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,260,0,0,187,0,0,0,0.0,10866,0.0,0,2016-12-31T15:00:00Z,31 Dec 15:00,0,0,0,0,0,12,0,0,0,0,0,0,19,0,2817,0,0,0,1,2,0.0,0,-34,25,59,51,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,260,0,0,200,0,0,0,0.0,11488,0.0,0,2017-01-02T17:15:00Z,02 Jan 17:15,0,0,0,0,0,20,0,0,0,0,0,0,20,0,2816,0,0,0,2,0,0.0,0,-23,25,48,51,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,260,0,0,205,0,0,0,0.0,12112,0.0,0,2017-01-15T16:00:00Z,15 Jan 16:00,0,0,0,0,0,9,0,0,0,0,0,0,21,0,2822,0,0,0,1,1,0.0,0,-38,40,78,51,True,0,0
