assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,0,0,0,0,0,0.0,0,0,542,0,0,29,0,0,0,0.0,1607,0.0,0,2016-08-28T15:00:00Z,28 Aug 16:00,0,0,0,0,0,10,0,0,0,0,0,0,3,0,49,0,0,0,1,3,0.0,0,28,42,14,50,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,542,0,0,38,0,0,0,0.0,2157,0.0,0,2016-09-10T14:00:00Z,10 Sep 15:00,0,0,0,0,0,18,0,0,0,0,0,0,4,0,243,0,0,0,4,2,0.0,0,58,112,54,50,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,542,0,0,46,0,0,0,0.0,2738,0.0,0,2016-09-17T14:00:00Z,17 Sep 15:00,0,0,0,0,0,19,0,0,0,0,0,0,5,0,280,0,0,0,2,4,0.0,0,-7,34,41,50,False,0,0
0,11,0,0,0,3,0,1,10,0.7,0,0,542,0,0,59,0,1,0,0.3,3322,1.8,0,2016-09-25T15:00:00Z,25 Sep 16:00,0,0,9,0,0,13,0,0,0,0,2,0,6,0,337,0,0,0,3,0,0.0,1,-7,42,49,50,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,542,0,0,70,0,0,0,0.0,3908,0.0,0,2016-10-01T14:00:00Z,01 Oct 15:00,0,0,0,0,0,12,0,0,0,0,0,0,7,0,368,0,0,0,1,1,0.0,0,-6,23,29,50,True,0,0
0,3,0,0,0,4,0,1,3,0.2,0,0,542,0,0,74,0,0,0,0.4,4497,4.2,0,2016-10-15T16:30:00Z,15 Oct 17:30,0,0,13,0,0,5,0,0,0,0,0,0,8,0,393,1,1,0,1,0,0.0,1,-14,15,29,50,False,0,0
0,45,0,0,0,11,1,4,43,15.3,3,0,542,0,0,90,3,0,0,6.4,5089,7.6,1,2016-10-22T14:00:00Z,22 Oct 15:00,0,0,90,0,0,15,0,0,0,0,3,0,9,0,400,1,0,1,0,1,41.0,2,-12,13,25,50,True,0,1
0,23,0,0,0,5,0,1,21,2.3,0,0,542,0,0,92,0,1,0,1.2,5683,1.4,0,2016-10-30T13:30:00Z,30 Oct 13:30,0,0,70,0,0,6,0,0,0,0,1,0,10,0,516,1,0,0,0,2,8.0,2,87,107,20,49,False,0,0
0,12,0,0,0,-3,0,0,9,1.2,0,0,542,0,0,110,1,1,0,0.0,6281,0.0,0,2016-11-05T15:00:00Z,05 Nov 15:00,0,0,29,0,0,14,0,0,0,0,2,0,11,0,621,2,0,0,1,1,0.0,0,67,96,29,49,True,0,1
0,11,0,0,0,3,0,2,9,11.6,0,0,542,0,0,118,1,2,0,1.7,6880,5.4,1,2016-11-19T17:30:00Z,19 Nov 17:30,0,0,30,0,0,17,0,0,0,0,1,0,12,0,620,1,0,0,2,3,0.0,1,-33,35,68,49,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,542,0,0,127,0,0,0,0.0,7481,0.0,0,2016-11-27T16:30:00Z,27 Nov 16:30,0,0,0,0,0,11,0,0,0,0,0,0,13,0,614,0,0,0,1,1,0.0,0,-30,15,45,49,False,0,0
0,27,0,0,0,7,0,3,23,13.6,0,0,542,0,0,140,1,1,0,1.7,8085,3.0,1,2016-12-03T17:30:00Z,03 Dec 17:30,0,0,62,0,0,1,0,0,0,0,5,0,14,0,611,1,0,0,5,1,0.0,2,-23,10,33,49,True,0,0
0,4,0,0,0,4,0,0,4,0.6,0,0,542,0,0,146,1,0,0,0.2,8690,1.4,0,2016-12-11T16:30:00Z,11 Dec 16:30,0,0,13,0,0,9,0,0,0,0,1,0,15,0,625,0,1,0,2,2,0.0,1,-7,30,37,49,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,542,0,0,154,0,0,0,0.0,9300,0.0,0,2016-12-14T19:45:00Z,14 Dec 19:45,0,0,0,0,0,3,0,0,0,0,0,0,16,0,629,0,0,0,0,1,0.0,0,-7,12,19,49,True,0,0
0,24,0,0,0,6,0,3,24,12.3,1,0,542,0,0,170,0,0,0,3.9,9914,10.2,1,2016-12-17T15:00:00Z,17 Dec 15:00,0,0,45,0,0,7,0,0,0,0,4,0,17,0,624,1,0,0,0,1,16.0,1,-11,15,26,49,True,0,0
0,13,0,0,0,5,0,0,13,2.8,2,0,542,0,0,179,0,1,0,2.7,10530,5.4,0,2016-12-26T15:00:00Z,26 Dec 15:00,0,0,16,0,0,16,0,0,0,0,0,0,18,0,640,0,0,0,4,1,19.0,1,0,25,25,49,False,0,0
0,5,0,0,0,1,0,0,5,0.5,0,0,542,0,0,185,1,0,0,0.6,11148,0.0,0,2016-12-31T15:00:00Z,31 Dec 15:00,0,0,13,0,0,8,0,0,0,0,1,0,19,0,651,1,0,0,0,1,8.0,1,-3,24,27,49,False,0,0
0,3,0,0,0,3,0,0,3,0.3,0,0,542,0,0,200,0,0,0,0.2,11770,2.0,0,2017-01-02T17:15:00Z,02 Jan 17:15,0,0,9,0,0,11,0,0,0,0,0,0,20,0,649,0,0,0,2,0,0.0,1,-10,13,23,49,True,0,0
