assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,225,0.00,0.00,0.00,0.00,151,0,0,0.0,0.0,2024-12-14T15:00:00Z,0,0,0,0,0,0,0,0,False,1,0,0,0,0,16,0,20869,0,0,0,0.0,0,-599,0,599,40,False,0
0,0,0,0,0.0,225,0.00,0.00,0.00,0.00,164,0,0,0.0,0.0,2024-12-22T14:00:00Z,0,0,0,0,0,0,0,0,False,6,0,0,0,0,17,0,20374,0,0,0,0.0,0,-515,0,515,40,True,0
0,0,0,0,0.0,225,0.00,0.00,0.00,0.00,176,0,0,0.0,0.0,2024-12-26T12:30:00Z,0,0,0,0,0,0,0,0,False,13,0,0,0,0,18,0,19667,0,1,1,0.0,0,-690,0,690,40,False,0
0,0,0,0,0.0,225,0.00,0.00,0.00,0.00,184,0,0,0.0,0.0,2024-12-29T15:00:00Z,0,0,0,0,0,0,0,0,False,16,0,0,0,0,19,0,19038,0,2,0,0.0,0,-653,0,653,40,True,0
0,0,0,0,0.0,225,0.00,0.00,0.00,0.00,192,0,0,0.0,0.0,2025-01-04T15:00:00Z,0,0,0,0,0,0,0,0,False,3,0,0,0,0,20,0,18513,0,0,1,0.0,0,-518,0,518,40,False,0
0,0,0,0,0.0,225,0.00,0.00,0.00,0.00,203,0,0,0.0,0.0,2025-01-15T19:30:00Z,0,0,0,0,0,0,0,0,False,2,0,0,0,0,21,0,18135,0,1,0,0.0,0,-386,0,386,40,True,0
0,0,0,0,0.0,225,0.00,0.00,0.00,0.00,214,0,0,0.0,0.0,2025-01-19T14:00:00Z,0,0,0,0,0,0,0,0,False,18,0,0,0,0,22,0,17919,0,2,3,0.0,0,-230,0,230,40,True,0
0,0,0,0,0.0,225,0.00,0.00,0.00,0.00,223,0,0,0.0,0.0,2025-01-25T15:00:00Z,0,0,0,0,0,0,0,0,False,5,0,0,0,0,23,0,17612,0,1,0,0.0,0,-303,0,303,40,False,0
0,0,0,0,0.0,225,0.00,0.00,0.00,0.00,235,0,0,0.0,0.0,2025-02-01T15:00:00Z,0,0,0,0,0,0,0,0,False,11,0,0,0,0,24,0,17320,0,0,4,0.0,0,-279,0,279,40,True,0
0,0,0,0,0.0,225,0.00,0.00,0.00,0.00,144,0,0,0.0,0.0,2025-02-12T19:30:00Z,0,0,0,0,0,0,0,0,False,12,0,0,0,0,24,0,17320,0,2,2,0.0,0,-279,0,279,40,True,0
0,0,0,0,0.0,225,0.00,0.00,0.00,0.00,243,0,0,0.0,0.0,2025-02-15T17:30:00Z,0,0,0,0,0,0,0,0,False,7,0,0,0,0,25,0,17115,0,2,1,0.0,0,-222,0,222,40,False,0
0,0,0,0,0.0,225,0.00,0.00,0.00,0.00,254,0,0,0.0,0.0,2025-02-22T12:30:00Z,0,0,0,0,0,0,0,0,False,14,0,0,0,0,26,0,16931,0,2,2,0.0,0,-186,0,186,40,True,0
0,0,0,0,0.0,225,0.00,0.00,0.00,0.00,261,0,0,0.0,0.0,2025-02-26T19:30:00Z,0,0,0,0,0,0,0,0,False,4,0,0,0,0,27,0,16788,0,1,1,0.0,0,-147,0,147,40,False,0
0,0,0,0,0.0,225,0.00,0.00,0.00,0.00,280,0,0,0.0,0.0,2025-03-08T20:00:00Z,0,0,0,0,0,0,0,0,False,20,0,0,0,0,28,0,16626,0,1,1,0.0,0,-159,0,159,40,False,0
0,0,0,0,0.0,225,0.00,0.00,0.00,0.00,284,0,0,0.0,0.0,2025-03-15T15:00:00Z,0,0,0,0,0,0,0,0,False,19,0,0,0,0,29,0,16372,0,1,1,0.0,0,-176,0,176,40,True,0
0,0,0,0,0.0,225,0.00,0.00,0.00,0.00,297,0,0,0.0,0.0,2025-04-02T19:00:00Z,0,0,0,0,0,0,0,0,False,12,0,0,0,0,30,0,16320,0,0,1,0.0,0,-137,0,137,40,False,0
0,0,0,0,0.0,225,0.00,0.00,0.00,0.00,304,0,0,0.0,0.0,2025-04-05T11:30:00Z,0,0,0,0,0,0,0,0,False,1,0,0,0,0,31,0,16229,0,1,1,0.0,0,-94,0,94,40,True,0
0,0,0,0,0.0,225,0.00,0.00,0.00,0.00,318,0,0,0.0,0.0,2025-04-12T14:00:00Z,0,0,0,0,0,0,0,0,False,16,0,0,0,0,32,0,16114,0,1,0,0.0,0,-111,0,111,40,False,0
0,0,0,0,0.0,225,0.00,0.00,0.00,0.00,324,0,0,0.0,0.0,2025-04-19T14:00:00Z,0,0,0,0,0,0,0,0,False,13,0,0,0,0,33,0,16013,0,2,0,0.0,0,-96,0,96,40,True,0
0,0,0,0,0.0,225,0.00,0.00,0.00,0.00,334,0,0,0.0,0.0,2025-04-26T11:30:00Z,0,0,0,0,0,0,0,0,False,6,0,0,0,0,34,0,15913,0,0,1,0.0,0,-97,0,97,40,False,0
0,0,0,0,0.0,225,0.00,0.00,0.00,0.00,347,0,0,0.0,0.0,2025-05-03T14:00:00Z,0,0,0,0,0,0,0,0,False,10,0,0,0,0,35,0,15867,0,2,2,0.0,0,-61,0,61,40,True,0
0,0,0,0,0.0,225,0.00,0.00,0.00,0.00,352,0,0,0.0,0.0,2025-05-10T14:00:00Z,0,0,0,0,0,0,0,0,False,9,0,0,0,0,36,0,15797,0,3,1,0.0,0,-73,0,73,40,False,0
0,0,0,0,0.0,225,0.00,0.00,0.00,0.00,367,0,0,0.0,0.0,2025-05-18T11:00:00Z,0,0,0,0,0,0,0,0,False,17,0,0,0,0,37,0,15735,0,0,2,0.0,0,-63,0,63,40,True,0
0,0,0,0,0.0,225,0.00,0.00,0.00,0.00,376,0,0,0.0,0.0,2025-05-25T15:00:00Z,0,0,0,0,0,0,0,0,False,15,0,0,0,0,38,0,15629,0,1,0,0.0,0,-95,0,95,40,False,0
