assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,170,0.00,0.00,0.00,0.00,1,0,0,0.0,0.0,2023-08-11T19:00:00Z,0,13,0,0,0,0,1,0,3995,0,3,0,0.0,0,0,0,0,50,True,0
1,0,15,0,41.4,170,0.11,0.11,0.00,0.78,25,1,0,6.7,23.4,2023-08-27T13:00:00Z,45,2,0,0,0,0,3,0,3183,0,3,1,2.0,4,-546,36,582,49,True,0
0,0,2,0,14.9,170,0.09,0.09,0.00,1.06,34,2,0,2.6,7.0,2023-09-02T14:00:00Z,45,18,0,0,0,0,4,0,3785,1,5,2,4.0,0,322,724,402,49,True,1
0,0,9,0,4.8,170,0.03,0.03,0.00,0.52,47,1,0,0.9,3.8,2023-09-18T18:45:00Z,62,16,0,0,0,0,5,0,3306,1,1,1,0.0,2,-560,92,652,49,False,0
0,0,3,0,2.2,170,0.01,0.01,0.00,0.16,54,0,0,0.2,0.0,2023-09-23T19:00:00Z,19,14,0,0,0,0,6,0,3248,1,1,0,0.0,1,-137,126,263,49,True,0
0,0,0,0,0.0,170,0.00,0.00,0.00,0.00,66,0,0,0.0,0.0,2023-09-30T14:00:00Z,0,15,0,0,0,0,7,0,2960,0,0,2,0.0,0,-290,128,418,49,False,0
0,0,0,0,0.0,170,0.00,0.00,0.00,0.00,15,0,0,0.0,0.0,2023-10-03T18:30:00Z,0,12,0,0,0,0,7,0,2960,0,2,1,0.0,0,-290,128,418,49,False,0
0,0,0,0,0.0,170,0.00,0.00,0.00,0.00,73,0,0,0.0,0.0,2023-10-07T14:00:00Z,0,7,0,0,0,0,8,0,2640,0,4,1,0.0,0,-314,31,345,49,True,0
0,0,0,0,0.0,170,0.00,0.00,0.00,0.00,83,0,0,0.0,0.0,2023-10-21T14:00:00Z,0,4,0,0,0,0,9,0,2411,0,0,3,0.0,0,-247,34,281,48,False,0
0,0,12,0,17.2,170,0.38,0.38,0.00,1.07,93,2,0,3.1,11.4,2023-10-28T14:00:00Z,80,3,0,0,0,0,10,0,2275,1,1,2,2.0,2,-136,13,149,48,False,0
0,0,21,0,77.8,170,0.48,0.70,0.22,0.97,102,1,0,10.1,10.4,2023-11-04T15:00:00Z,90,8,0,0,0,0,11,0,2420,1,2,0,13.0,2,82,163,81,48,True,0
0,0,3,0,30.8,170,0.11,0.17,0.06,2.03,111,3,0,6.5,13.6,2023-11-11T15:00:00Z,90,1,0,0,0,0,12,0,2426,1,1,3,21.0,1,-12,129,141,48,False,1
0,0,18,1,53.6,170,0.15,0.18,0.03,0.61,122,0,0,8.1,18.2,2023-11-25T15:00:00Z,84,19,0,0,0,0,13,0,2551,1,2,1,9.0,3,80,247,167,48,True,0
0,0,7,0,57.0,170,0.12,0.18,0.06,0.24,134,0,0,7.8,12.0,2023-12-02T15:00:00Z,25,17,0,0,0,0,14,0,3427,0,0,5,9.0,1,794,1003,209,48,True,0
0,0,5,0,17.5,170,0.14,0.14,0.00,0.66,149,1,0,2.3,3.2,2023-12-05T19:30:00Z,54,20,0,0,0,0,15,0,2945,0,0,1,2.0,1,-455,54,509,48,False,0
0,0,3,0,11.7,170,0.07,0.14,0.07,0.69,152,0,0,2.0,4.0,2023-12-09T15:00:00Z,57,5,0,0,0,0,16,0,2896,1,1,1,4.0,1,-85,161,246,48,False,0
0,0,0,0,0.0,170,0.00,0.00,0.00,0.00,164,0,0,0.0,0.0,2023-12-16T17:30:00Z,0,9,0,0,0,0,17,0,2809,0,2,0,0.0,0,-117,173,290,48,True,0
0,0,0,0,0.0,170,0.00,0.00,0.00,0.00,173,0,0,0.0,0.0,2023-12-23T15:00:00Z,0,10,0,0,0,0,18,0,2581,0,2,0,0.0,0,-235,18,253,48,False,0
0,0,0,0,8.3,170,0.09,0.23,0.14,0.37,185,1,0,2.1,3.2,2023-12-26T17:30:00Z,29,11,0,0,0,0,19,0,2506,0,2,0,9.0,1,-87,30,117,48,True,0
