assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,610,0.00,0.00,0.00,0.00,5,0,0,0.0,0.0,2023-08-12T14:00:00Z,0,9,0,0,0,0,1,0,29050,0,1,0,0.0,0,0,0,0,45,False,0
0,0,4,0,0.5,610,0.00,0.00,0.00,1.87,13,1,0,0.4,3.4,2023-08-19T14:00:00Z,23,4,0,0,0,0,2,0,29878,0,3,0,0.0,1,-2695,1579,4274,45,True,0
0,0,0,0,0.3,610,0.00,0.00,0.00,3.92,21,2,0,0.7,7.0,2023-08-26T14:00:00Z,82,1,0,0,0,1,3,0,27642,1,2,2,0.0,-2,-3067,682,3749,45,False,0
0,0,0,0,0.0,610,0.00,0.00,0.00,0.00,39,0,0,0.0,0.0,2023-09-02T14:00:00Z,0,13,0,0,0,0,4,0,24826,0,1,5,0.0,0,-3461,574,4035,45,False,0
0,0,3,0,0.1,610,0.00,0.00,0.00,0.28,44,0,0,0.0,0.2,2023-09-16T14:00:00Z,1,12,0,0,0,0,5,0,24943,0,0,1,0.0,1,-974,1423,2397,45,True,0
0,0,0,0,0.0,610,0.00,0.00,0.00,0.00,56,0,0,0.0,0.0,2023-09-23T14:00:00Z,0,8,0,0,0,0,6,0,23908,0,0,0,0.0,0,-1269,498,1767,45,False,0
0,0,0,0,0.0,610,0.00,0.00,0.00,0.00,64,0,0,0.0,0.0,2023-10-02T19:00:00Z,0,7,0,0,0,0,7,0,21362,0,2,0,0.0,0,-2554,170,2724,45,True,0
0,0,7,0,0.7,610,0.00,0.00,0.00,0.02,76,0,0,0.8,5.2,2023-10-07T14:00:00Z,19,17,0,0,0,0,8,0,20188,0,1,3,2.0,1,-1365,383,1748,44,True,0
0,0,13,0,0.5,610,0.01,0.01,0.00,1.51,90,2,0,1.8,15.8,2023-10-23T19:00:00Z,90,18,0,0,0,0,9,0,19833,1,0,2,2.0,1,-541,462,1003,44,False,0
0,0,14,0,0.7,610,0.00,0.00,0.00,1.32,94,1,0,2.6,25.0,2023-10-29T14:00:00Z,90,5,0,0,0,0,10,0,19535,1,1,1,0.0,2,-373,489,862,44,False,0
