assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,9,0,1.5,423,2,1,0,1.3,9.6,2019-08-10T14:00:00Z,81,3,0,0,0,0,1,0,8809,1,1,2.0,2,0,0,0,45,False,0
0,0,25,1,10.8,423,18,0,0,4.4,27.6,2019-08-18T13:00:00Z,90,7,0,0,0,0,2,0,9695,0,1,6.0,6,-340,325,665,45,True,0
0,0,7,0,1.7,423,27,2,0,1.4,8.0,2019-08-24T14:00:00Z,77,9,0,0,0,0,3,0,13712,2,1,4.0,1,2263,3376,1113,45,True,0
0,0,17,0,11.3,423,33,2,0,3.2,17.6,2019-08-31T14:00:00Z,83,6,0,0,0,0,4,0,13207,2,2,3.0,1,-703,491,1194,45,False,0
0,0,5,0,1.1,423,47,1,0,2.8,18.8,2019-09-14T14:00:00Z,83,16,0,0,0,0,5,0,13300,1,0,8.0,2,-344,620,964,45,True,0
0,0,20,1,1.0,423,55,0,0,2.4,18.8,2019-09-21T14:00:00Z,90,8,0,0,0,0,6,0,13114,2,0,4.0,6,-354,205,559,45,False,0
0,0,11,0,1.2,423,68,1,0,1.4,12.8,2019-09-28T11:30:00Z,90,10,0,0,0,0,7,0,13116,1,0,0.0,2,-242,351,593,45,True,0
0,0,20,1,3.2,423,79,0,0,2.3,13.4,2019-10-05T14:00:00Z,90,18,0,0,0,0,8,0,13731,0,0,6.0,6,277,718,441,45,False,0
0,1,25,1,0.7,423,88,0,0,2.8,26.8,2019-10-21T19:00:00Z,90,1,0,0,0,0,9,0,14210,0,1,0.0,7,297,764,467,45,True,0
0,0,15,0,0.6,423,100,1,0,2.4,23.0,2019-10-26T14:00:00Z,90,19,0,0,0,0,10,0,15996,1,1,0.0,2,1462,1840,378,45,False,0
0,0,17,1,1.3,423,108,0,0,0.7,3.4,2019-11-02T15:00:00Z,90,5,0,0,0,0,11,0,18287,0,3,2.0,5,1927,2530,603,45,True,1
0,0,11,0,1.7,423,119,1,0,1.7,15.2,2019-11-09T15:00:00Z,90,17,0,0,0,0,12,0,19761,1,1,0.0,1,1176,1919,743,45,False,1
