assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,0,0,0,0,0,37605,None,,0,0,-3,3,0.0,703,288,None,,0,3,0.0,0.0,0,Mesut,0.0,0,0,0.0,703,288,1,False,0.0,703,288,0,Not included in Arsenal's 25-man Premier League squad,2020-10-20T22:30:18.118477Z,67,0,0,None,0,,37605.jpg,0.0,0,0,Özil,0.5,False,None,u,1,3,0.0,703,288,0,3441,0,54907,7,0.0,0.0,Özil,0
0,0,0,0,0,0,39476,None,,0,0,-2,2,0.0,664,239,None,,0,2,0.0,0.0,0,Sokratis,0.0,0,0,0.0,675,238,2,False,0.0,672,238,0,Left the club by mutual consent on 20/1,2020-10-21T10:30:18.546407Z,48,0,0,None,0,,39476.jpg,0.0,0,0,Papastathopoulos,0.1,False,None,u,1,3,0.0,657,236,0,10266,0,19139,2,0.0,0.0,Sokratis,0
0,0,230,75,75,3,41270,None,,0,0,-1,1,46.7,342,116,4,,0,2,0.5,0.0,0,David,0.2,20,1,43.9,303,103,3,False,250.6,257,97,1396,Hamstring injury - 75% chance of playing,2021-05-02T16:00:26.134258Z,54,0,0,None,0,,41270.jpg,2.0,1,0,Luiz Moreira Marinho,0.8,False,None,d,1,3,144.0,227,62,41,77140,21,130445,143,0.0,7.6,David Luiz,1
3,11,350,100,100,9,54694,None,,0,0,-7,7,323.0,114,77,None,,3,3,4.1,0.0,0,Pierre-Emerick,3.6,25,10,159.5,52,30,4,False,489.8,113,41,2162,,2021-04-12T08:30:26.681398Z,113,1,0,1,0,,54694.jpg,4.7,0,0,Aubameyang,6.7,False,None,a,1,3,785.0,35,19,126,1189775,3413,3859175,2044,0.3,11.2,Aubameyang,2
1,3,125,100,100,2,58822,None,,0,0,-4,4,114.8,241,63,5,,0,2,0.5,0.0,0,Cédric,0.0,11,0,29.2,348,123,5,False,110.8,356,136,744,,2020-09-23T09:00:14.881983Z,46,0,0,None,0,,58822.jpg,2.8,0,0,Soares,0.3,False,None,a,1,3,66.0,322,106,28,41341,35,65913,144,0.0,6.1,Cédric,1
3,21,451,100,100,7,59966,None,,0,0,-1,1,306.6,120,15,3,,4,4,1.3,0.0,0,Alexandre,0.8,21,13,170.3,46,15,6,False,601.8,64,8,1905,,2021-04-18T15:30:22.440237Z,84,0,0,2,0,,59966.jpg,4.3,0,0,Lacazette,4.3,False,None,a,1,3,797.0,34,16,128,1904246,3457,1939612,2720,0.1,15.2,Lacazette,3
0,0,16,0,0,0,69140,None,,0,0,0,0,1.0,456,175,None,,0,2,0.0,0.0,0,Shkodran,0.0,1,0,1.3,483,179,7,False,11.6,466,175,45,Joined Schalke on a permanent deal on 1/2,2021-02-01T22:30:23.082979Z,50,0,0,None,0,,69140.jpg,1.0,0,0,Mustafi,0.0,False,None,u,1,3,0.0,680,243,3,13464,0,14504,2,0.0,0.6,Mustafi,0
0,10,578,100,100,10,80201,None,,0,0,0,0,0.0,685,74,None,,2,1,2.7,0.0,0,Bernd,2.2,36,0,65.9,235,15,8,False,658.0,52,15,2951,,2021-02-02T20:30:22.406559Z,50,1,0,None,1,,80201.jpg,3.7,1,80,Leno,6.8,False,None,a,1,3,2.0,441,5,121,962902,3635,1103699,1441,0.4,24.2,Leno,0
2,1,375,75,75,9,84450,None,,0,0,-3,3,290.3,131,87,1,,0,3,1.3,0.0,0,Granit,1.2,27,1,85.5,176,96,9,False,430.4,161,61,2417,Muscle injury - 75% chance of playing,2021-05-07T00:30:25.120342Z,52,0,0,None,0,,84450.jpg,2.3,1,0,Xhaka,0.4,False,None,d,1,3,132.0,246,124,66,46456,11,85235,202,0.2,12.7,Xhaka,7
0,1,182,100,100,4,92371,None,,0,0,-1,1,26.4,372,133,None,,0,2,2.1,0.0,0,Pablo,1.6,8,0,20.6,375,130,10,False,163.2,313,120,900,,2021-01-14T22:00:26.195009Z,44,0,0,None,0,,92371.jpg,3.4,0,0,Marí,0.1,False,None,a,1,3,16.0,395,150,34,39125,118,34582,72,0.4,7.7,Marí,2
