assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,0,0,0,0,0,37605,None,,0,0,-3,3,0.0,713,295,None,,0,3,0.0,0.0,0,Mesut,0.0,0,0,0.0,713,295,1,False,0.0,713,295,0,Not included in Arsenal's 25-man Premier League squad,2020-10-20T22:30:18.118477Z,67,0,0,None,0,,37605.jpg,0.0,0,0,Özil,0.5,False,None,u,1,3,0.0,713,295,0,3441,0,54937,0,0.0,0.0,Özil,0
0,0,0,0,0,0,39476,None,,0,0,-2,2,0.0,674,241,None,,0,2,0.0,0.0,0,Sokratis,0.0,0,0,0.0,685,240,2,False,0.0,682,240,0,Left the club by mutual consent on 20/1,2020-10-21T10:30:18.546407Z,48,0,0,None,0,,39476.jpg,0.0,0,0,Papastathopoulos,0.1,False,None,u,1,3,0.0,667,238,0,10266,0,19142,0,0.0,0.0,Sokratis,0
0,0,230,50,50,3,41270,None,,0,0,-1,1,46.7,346,119,4,,0,2,0.3,0.3,0,David,0.2,20,1,43.9,309,105,3,False,250.6,263,101,1396,Hamstring injury - 50% chance of playing,2021-05-02T16:00:26.134258Z,54,0,0,None,0,,41270.jpg,2.0,1,0,Luiz Moreira Marinho,0.8,False,None,d,1,3,144.0,241,69,41,77302,0,131045,0,0.0,7.6,David Luiz,1
3,11,358,100,100,10,54694,None,,0,0,-7,7,325.2,115,78,None,,3,3,4.5,5.1,3,Pierre-Emerick,4.6,26,10,161.3,55,31,4,False,489.8,132,50,2330,,2021-04-12T08:30:26.681398Z,113,1,0,1,0,,54694.jpg,4.5,0,0,Aubameyang,7.2,False,None,a,1,3,802.0,36,20,131,1240132,0,3870817,0,0.4,11.6,Aubameyang,2
1,3,125,100,100,2,58822,None,,0,0,-4,4,114.8,248,65,5,,0,2,0.5,0.5,0,Cédric,0.0,11,0,29.2,356,125,5,False,110.8,363,139,744,,2020-09-23T09:00:14.881983Z,46,0,0,None,0,,58822.jpg,2.8,0,0,Soares,0.3,False,None,a,1,3,66.0,328,109,28,41602,0,66906,0,0.0,6.1,Cédric,1
3,21,452,100,100,7,59966,None,,0,0,-1,1,306.6,126,16,3,,4,4,0.9,1.1,1,Alexandre,0.6,21,13,170.3,50,17,6,False,601.8,66,8,1916,,2021-04-18T15:30:22.440237Z,84,0,0,2,0,,59966.jpg,4.2,0,0,Lacazette,4.3,False,None,a,1,3,797.0,37,17,129,1923218,0,1961260,0,0.1,15.4,Lacazette,3
0,0,16,0,0,0,69140,None,,0,0,0,0,1.0,461,176,None,,0,2,0.0,0.0,0,Shkodran,0.0,1,0,1.3,488,180,7,False,11.6,472,177,45,Joined Schalke on a permanent deal on 1/2,2021-02-01T22:30:23.082979Z,50,0,0,None,0,,69140.jpg,1.0,0,0,Mustafi,0.0,False,None,u,1,3,0.0,691,245,3,13464,0,14517,0,0.0,0.6,Mustafi,0
0,11,625,100,100,11,80201,None,,0,0,0,0,0.0,695,74,None,,2,1,3.3,4.7,7,Bernd,4.2,37,0,69.4,232,14,8,False,693.4,47,14,3131,,2021-02-02T20:30:22.406559Z,50,1,0,None,1,,80201.jpg,3.7,1,86,Leno,7.3,False,None,a,1,3,2.0,448,5,131,1013379,0,1112822,0,0.8,26.2,Leno,0
2,1,396,100,100,10,84450,None,,0,0,-3,3,291.6,137,91,1,,0,3,1.5,1.7,3,Granit,1.2,27,1,86.0,187,100,9,False,433.8,169,64,2519,,2021-05-07T00:30:25.120342Z,52,0,0,None,0,,84450.jpg,2.3,1,0,Xhaka,0.4,False,None,a,1,3,132.0,254,128,70,46739,0,85752,0,0.2,13.5,Xhaka,7
0,1,182,100,100,4,92371,None,,0,0,-1,1,26.4,378,136,None,,0,2,2.1,1.7,0,Pablo,1.2,8,0,20.6,381,133,10,False,163.2,323,124,900,,2021-01-14T22:00:26.195009Z,44,0,0,None,0,,92371.jpg,3.4,0,0,Marí,0.1,False,None,a,1,3,16.0,400,153,34,39642,0,35159,0,0.3,7.7,Marí,2
3,17,421,0,0,7,98745,None,,0,0,0,0,351.8,105,22,None,,3,2,0.0,0.0,0,Héctor,1.8,24,1,94.7,156,38,11,False,362.8,199,79,2089,Leg injury - Unknown return date,2021-05-19T12:30:20.668794Z,50,0,0,None,0,,98745.jpg,3.8,0,0,Bellerín,3.5,False,None,i,1,3,232.0,168,30,94,1050959,0,1190364,0,0.4,18.8,Bellerín,8
3,3,168,100,100,2,101184,None,,0,0,0,0,139.1,226,56,None,,1,2,2.7,4.5,11,Calum,4.0,10,0,34.9,337,120,13,False,140.4,338,131,751,,2020-08-15T10:00:11.386295Z,45,0,0,None,0,,101184.jpg,3.6,0,0,Chambers,0.2,False,None,a,1,3,69.0,324,108,36,27587,0,16500,0,0.9,8.0,Chambers,0
