assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,15,0,17.4,370,1,1,0,2.8,6.6,2020-09-12T14:00:00Z,90,6,0,0,0,0,1,0,280881,0,1,4.0,2,0,0,0,60,False,0
0,0,10,0,23.3,370,17,5,0,7.1,16.8,2020-09-20T11:00:00Z,90,17,0,0,0,0,2,0,247080,5,2,31.0,2,-43431,8000,51431,60,True,0
0,0,16,1,5.1,370,20,0,0,1.7,11.4,2020-09-26T19:00:00Z,90,4,0,0,0,0,3,0,195769,1,0,0.0,3,-54820,6038,60858,59,False,0
0,0,13,1,44.2,370,37,0,0,5.6,12.2,2020-10-04T11:00:00Z,90,18,0,0,0,0,4,0,182780,0,2,0.0,3,-16855,9227,26082,59,True,0
0,0,14,0,8.9,370,39,3,0,1.9,7.6,2020-10-17T14:00:00Z,90,5,0,0,0,0,5,0,148113,3,3,2.0,2,-34625,2300,36925,58,False,0
0,3,44,1,39.2,370,56,0,1,11.0,52.0,2020-10-25T14:00:00Z,90,7,0,0,0,0,6,0,131902,0,2,19.0,11,-17855,1943,19798,58,True,0
1,3,56,0,30.3,370,59,3,2,13.9,93.4,2020-11-01T12:00:00Z,90,2,0,0,0,0,7,0,151924,4,3,15.0,17,15915,22669,6754,58,False,1
0,0,13,1,36.3,370,76,0,0,5.6,19.8,2020-11-06T20:00:00Z,90,14,0,0,0,0,8,0,534013,0,2,0.0,3,348885,362119,13234,59,True,0
0,0,14,0,7.8,370,88,1,0,2.0,12.6,2020-11-23T20:00:00Z,90,20,0,0,0,0,9,0,497927,1,1,0.0,2,-9036,111067,120103,60,False,0
1,2,41,0,27.4,370,96,3,1,10.4,70.0,2020-11-29T14:00:00Z,90,13,0,0,0,0,10,0,540026,3,2,7.0,11,27878,80121,52243,60,True,1
