assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,0,0,0,0,0,0.0,0,0,566,0,0,289,0,0,0,0.0,16627,0.0,0,2018-03-03T15:00:00Z,03 Mar 15:00,0,0,0,0,0,8,0,0,0,0,0,0,29,0,5412,0,0,0,0,2,0.0,0,-4,91,95,40,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,566,0,0,292,0,0,0,0.0,17260,0.0,0,2018-03-11T16:00:00Z,11 Mar 16:00,0,0,0,0,0,2,0,0,0,0,0,0,30,0,4854,0,0,0,4,1,0.0,0,-4,108,112,40,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,566,0,0,313,0,0,0,0.0,18161,0.0,0,2018-04-01T15:00:00Z,01 Apr 16:00,0,0,0,0,0,5,0,0,0,0,0,0,32,0,4975,0,0,0,3,1,0.0,0,32,99,67,40,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,566,0,0,328,0,0,0,0.0,18798,0.0,0,2018-04-07T14:00:00Z,07 Apr 15:00,0,0,0,0,0,15,0,0,0,0,0,0,33,0,4974,0,0,0,2,1,0.0,0,-33,49,82,40,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,566,0,0,339,0,0,0,0.0,19651,0.0,0,2018-04-14T18:45:00Z,14 Apr 19:45,0,0,0,0,0,11,0,0,0,0,0,0,34,0,5016,0,0,0,3,1,0.0,0,-13,68,81,40,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,566,0,0,343,0,0,0,0.0,19652,0.0,0,2018-04-17T18:45:00Z,17 Apr 19:45,0,0,0,0,0,3,0,0,0,0,0,0,34,0,5016,0,0,0,1,1,0.0,0,-13,68,81,40,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,566,0,0,359,0,0,0,0.0,20723,0.0,0,2018-04-30T19:00:00Z,30 Apr 20:00,0,0,0,0,0,18,0,0,0,0,0,0,36,0,4969,0,0,0,0,2,0.0,0,-23,38,61,40,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,566,0,0,370,0,0,0,0.0,21701,0.0,0,2018-05-05T14:00:00Z,05 May 15:00,0,0,0,0,0,19,0,0,0,0,0,0,37,0,4962,0,0,0,0,1,0.0,0,-29,48,77,40,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,566,0,0,309,0,0,0,0.0,21700,0.0,0,2018-05-09T19:00:00Z,09 May 20:00,0,0,0,0,0,13,0,0,0,0,0,0,37,0,4962,0,0,0,0,1,0.0,0,-29,48,77,40,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,566,0,0,379,0,0,0,0.0,22387,0.0,0,2018-05-13T14:00:00Z,13 May 15:00,0,0,0,0,0,9,0,0,0,0,0,0,38,0,4965,0,0,0,4,5,0.0,0,-12,39,51,40,True,0,0
