assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,25,161,0,0,0.0,0.0,2021-12-15T20:00:00Z,0,19,0,0,0,0,17,0,101,0,2,0.0,0,0,0,0,45,True,0
0,0,0,0,0.0,25,173,0,0,0.0,0.0,2021-12-18T17:30:00Z,0,10,0,0,0,0,18,0,101,4,1,0.0,0,0,0,0,45,False,0
0,0,0,0,0.0,25,187,0,0,0.0,0.0,2021-12-26T15:00:00Z,0,15,0,0,0,0,19,0,100,5,0,0.0,0,-1,0,1,45,False,0
0,0,0,0,0.0,25,201,0,0,0.0,0.0,2022-01-01T12:30:00Z,0,12,0,0,0,0,21,0,100,2,1,0.0,0,0,0,0,45,True,0
0,0,0,0,0.0,25,221,0,0,0.0,0.0,2022-01-23T14:00:00Z,0,5,0,0,0,0,23,0,100,0,0,0.0,0,0,0,0,45,True,0
0,0,0,0,0.0,25,236,0,0,0.0,0.0,2022-02-10T19:45:00Z,0,20,0,0,0,0,24,0,99,1,0,0.0,0,-1,0,1,45,False,0
0,0,0,0,0.0,25,251,0,0,0.0,0.0,2022-02-19T15:00:00Z,0,3,0,0,0,0,26,0,96,1,2,0.0,0,-1,0,1,45,True,0
0,0,0,0,0.0,25,191,0,0,0.0,0.0,2022-02-24T19:45:00Z,0,20,0,0,0,0,26,0,96,1,2,0.0,0,-1,0,1,45,True,0
0,0,0,0,0.0,25,279,0,0,0.0,0.0,2022-03-06T14:00:00Z,0,18,0,0,0,0,28,0,96,3,2,0.0,0,0,0,0,45,False,0
0,0,0,0,0.0,25,281,0,0,0.0,0.0,2022-03-13T16:30:00Z,0,9,0,0,0,0,29,0,95,0,2,0.0,0,-1,0,1,45,True,0
0,0,0,0,0.0,25,261,0,0,0.0,0.0,2022-03-16T20:15:00Z,0,11,0,0,0,0,29,0,95,2,0,0.0,0,-1,0,1,45,True,0
0,0,0,0,0.0,25,291,0,0,0.0,0.0,2022-03-19T12:30:00Z,0,2,0,0,0,0,30,0,95,1,0,0.0,0,0,0,0,45,False,0
0,0,0,0,0.0,25,304,0,0,0.0,0.0,2022-04-04T19:00:00Z,0,7,0,0,0,0,31,0,95,0,3,0.0,0,0,0,0,45,False,0
0,0,0,0,0.0,25,311,0,0,0.0,0.0,2022-04-09T14:00:00Z,0,4,0,0,0,0,32,0,95,2,1,0.0,0,0,0,0,45,True,0
0,0,0,0,0.0,25,326,0,0,0.0,0.0,2022-04-16T14:00:00Z,0,16,0,0,0,0,33,0,95,0,1,0.0,0,0,0,0,45,False,0
0,0,0,0,0.0,25,243,0,0,0.0,0.0,2022-04-20T18:45:00Z,0,6,0,0,0,0,33,0,95,4,2,0.0,0,0,0,0,45,False,0
0,0,0,0,0.0,25,331,0,0,0.0,0.0,2022-04-23T11:30:00Z,0,13,0,0,0,0,34,0,95,1,3,0.0,0,0,0,0,45,True,0
0,0,0,0,0.0,25,349,0,0,0.0,0.0,2022-05-01T15:30:00Z,0,19,0,0,0,0,35,0,95,2,1,0.0,0,0,0,0,45,False,0
0,0,0,0,0.0,25,351,0,0,0.0,0.0,2022-05-08T13:00:00Z,0,10,0,0,0,0,36,0,94,1,2,0.0,0,-1,0,1,45,True,0
0,0,0,0,0.0,25,218,0,0,0.0,0.0,2022-05-12T18:45:00Z,0,17,0,0,0,0,36,0,94,0,3,0.0,0,-1,0,1,45,False,0
0,0,0,0,0.0,25,365,0,0,0.0,0.0,2022-05-16T19:00:00Z,0,14,0,0,0,0,37,0,94,0,2,0.0,0,0,0,0,45,False,0
0,0,0,0,0.0,25,371,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,8,0,0,0,0,38,0,94,1,5,0.0,0,0,0,0,45,True,0
