assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,4,0,0,0,4,0,2,4,0.0,0,0,485,0,0,6,0,0,0,0.7,485,7.0,0,2017-08-12T14:00:00Z,12 Aug 15:00,0,0,9,0,0,14,0,0,0,0,0,0,1,0,5524,0,0,0,0,0,0.0,1,0,0,0,45,False,0,0
0,13,0,0,0,14,0,14,11,0.3,0,0,485,0,0,17,0,1,0,3.2,996,25.6,0,2017-08-19T11:30:00Z,19 Aug 12:30,0,0,66,0,0,12,0,0,0,0,1,0,2,0,6404,0,1,1,4,0,6.0,2,-365,158,523,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,485,0,0,23,0,0,0,0.0,1512,0.0,0,2017-08-26T14:00:00Z,26 Aug 15:00,0,0,0,0,0,6,0,0,0,0,0,0,3,0,5886,0,0,0,2,0,0.0,0,-819,380,1199,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,485,0,0,39,0,0,0,0.0,2043,0.0,0,2017-09-10T15:00:00Z,10 Sep 16:00,0,0,0,0,0,13,0,0,0,0,0,0,4,0,4703,0,0,0,1,0,0.0,0,-1212,31,1243,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,485,0,0,46,0,0,0,0.0,2587,0.0,0,2017-09-16T16:30:00Z,16 Sep 17:30,0,0,0,0,0,17,0,0,0,0,0,0,5,0,4233,0,0,0,0,0,0.0,0,-480,19,499,44,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,485,0,0,57,0,0,0,0.0,3133,0.0,0,2017-09-23T14:00:00Z,23 Sep 15:00,0,0,0,0,0,18,0,0,0,0,0,0,6,0,3808,0,0,0,2,1,0.0,0,-434,29,463,44,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,485,0,0,67,0,0,0,0.0,3683,0.0,0,2017-09-30T14:00:00Z,30 Sep 15:00,0,0,0,0,0,20,0,0,0,0,0,0,7,0,3496,0,0,0,0,1,0.0,0,-320,18,338,44,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,485,0,0,78,0,0,0,0.0,4237,0.0,0,2017-10-14T14:00:00Z,14 Oct 15:00,0,0,0,0,0,8,0,0,0,0,0,0,8,0,3320,0,0,0,0,2,0.0,0,-182,12,194,44,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,485,0,0,88,0,0,0,0.0,4794,0.0,0,2017-10-21T14:00:00Z,21 Oct 15:00,0,0,0,0,0,9,0,0,0,0,0,0,9,0,3241,0,0,0,2,1,0.0,0,-80,11,91,44,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,485,0,0,91,0,0,0,0.0,5353,0.0,0,2017-10-28T14:00:00Z,28 Oct 15:00,0,0,0,0,0,1,0,0,0,0,0,0,10,0,3104,0,0,0,1,2,0.0,0,-141,10,151,44,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,485,0,0,107,0,0,0,0.0,5916,0.0,0,2017-11-04T15:00:00Z,04 Nov 15:00,0,0,0,0,0,3,0,0,0,0,0,0,11,0,3021,0,0,0,1,0,0.0,0,-84,6,90,44,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,485,0,0,114,0,0,0,0.0,6482,0.0,0,2017-11-18T15:00:00Z,18 Nov 15:00,0,0,0,0,0,4,0,0,0,0,0,0,12,0,2941,0,0,0,0,2,0.0,0,-85,6,91,44,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,485,0,0,127,0,0,0,0.0,7051,0.0,0,2017-11-25T15:00:00Z,25 Nov 15:00,0,0,0,0,0,2,0,0,0,0,0,0,13,0,2893,0,0,0,0,0,0.0,0,-48,9,57,44,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,485,0,0,137,0,0,0,0.0,7621,0.0,0,2017-11-29T19:45:00Z,29 Nov 19:45,0,0,0,0,0,5,0,0,0,0,0,0,14,0,2857,0,0,0,0,1,0.0,0,-39,4,43,43,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,485,0,0,148,0,0,0,0.0,8192,0.0,0,2017-12-02T15:00:00Z,02 Dec 15:00,0,0,0,0,0,15,0,0,0,0,0,0,15,0,2802,0,0,0,1,2,0.0,0,-59,8,67,43,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,485,0,0,157,0,0,0,0.0,8766,0.0,0,2017-12-09T15:00:00Z,09 Dec 15:00,0,0,0,0,0,19,0,0,0,0,0,0,16,0,2772,0,0,0,0,1,0.0,0,-36,8,44,43,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,485,0,0,165,0,0,0,0.0,9343,0.0,0,2017-12-13T19:45:00Z,13 Dec 19:45,0,0,0,0,0,11,0,0,0,0,0,0,17,0,2751,0,0,0,4,0,0.0,0,-25,6,31,43,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,485,0,0,175,0,0,0,0.0,9921,0.0,0,2017-12-18T20:00:00Z,18 Dec 20:00,0,0,0,0,0,7,0,0,0,0,0,0,18,0,2713,0,0,0,1,3,0.0,0,-39,5,44,43,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,485,0,0,189,0,0,0,0.0,10501,0.0,0,2017-12-23T15:00:00Z,23 Dec 15:00,0,0,0,0,0,6,0,0,0,0,0,0,19,0,2690,0,0,0,1,1,0.0,0,-27,8,35,43,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,485,0,0,195,0,0,0,0.0,11086,0.0,0,2017-12-26T17:30:00Z,26 Dec 17:30,0,0,0,0,0,10,0,0,0,0,0,0,20,0,2671,0,0,0,0,5,0.0,0,-21,6,27,43,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,485,0,0,209,0,0,0,0.0,11627,0.0,0,2017-12-30T15:00:00Z,30 Dec 15:00,0,0,0,0,0,18,0,0,0,0,0,0,21,0,2647,0,0,0,2,1,0.0,0,-26,17,43,43,False,0,0
