assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,653,163,0,0,0.0,0.0,2021-12-15T19:30:00Z,0,20,0,0,0,0,17,0,0,1,0,0.0,0,0,0,0,40,True,0
0,0,0,0,0.0,653,182,0,0,0.0,0.0,2021-12-26T20:00:00Z,0,3,0,0,0,0,19,0,470,0,2,0.0,0,73,100,27,40,True,0
0,0,0,0,0.0,653,193,0,0,0.0,0.0,2021-12-29T19:30:00Z,0,6,0,0,0,0,20,0,401,1,1,0.0,0,26,58,32,40,False,0
0,0,0,0,0.0,653,205,0,0,0.0,0.0,2022-01-02T14:00:00Z,0,8,0,0,0,0,21,0,576,3,2,0.0,0,126,190,64,40,False,0
0,0,0,0,0.0,653,212,0,0,0.0,0.0,2022-01-14T20:00:00Z,0,7,0,0,0,0,22,0,915,1,1,0.0,0,78,4129,4051,40,True,0
0,0,0,0,0.0,653,232,0,0,0.0,0.0,2022-01-18T20:00:00Z,0,6,0,0,0,0,22,0,915,1,1,0.0,0,78,4129,4051,40,True,0
0,0,0,0,0.0,653,227,0,0,0.0,0.0,2022-01-23T14:00:00Z,0,9,0,0,0,0,23,0,3607,1,1,0.0,0,2821,126463,123642,40,False,0
0,0,0,0,0.0,653,250,0,0,0.0,0.0,2022-02-12T15:00:00Z,0,18,0,0,0,0,25,0,3235,2,0,0.0,0,27,118,91,40,False,0
0,0,0,0,0.0,653,174,0,0,0.0,0.0,2022-02-15T20:15:00Z,0,13,0,0,0,0,25,0,3235,0,2,0.0,0,27,118,91,40,False,0
0,0,0,0,0.0,653,253,0,0,0.0,0.0,2022-02-19T15:00:00Z,0,5,0,0,0,0,26,0,3366,3,0,0.0,0,-9,109,118,40,True,0
0,0,0,0,0.0,653,263,0,0,0.0,0.0,2022-02-26T15:30:00Z,0,2,0,0,0,0,27,0,3569,2,0,0.0,0,22,119,97,40,True,0
0,0,0,0,0.0,653,276,0,0,0.0,0.0,2022-03-05T15:00:00Z,0,14,0,0,0,0,28,0,3452,1,2,0.0,0,-13,86,99,40,False,0
