assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,5,0,0,0,-6,0,1,4,1.1,0,0,418,0,0,7,2,0,0,0.0,418,0.0,0,2016-08-13T14:00:00Z,13 Aug 15:00,0,0,12,0,0,13,0,0,0,0,1,1,1,0,69737,0,1,0,1,1,0.0,-2,0,0,0,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,418,0,0,17,0,0,0,0.0,943,0.0,0,2016-08-20T14:00:00Z,20 Aug 15:00,0,0,0,0,0,4,0,0,0,0,0,0,2,0,55335,0,0,0,2,1,0.0,0,-14737,144,14881,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,418,0,0,28,0,0,0,0.0,1483,0.0,0,2016-08-27T14:00:00Z,27 Aug 15:00,0,0,0,0,0,1,0,0,0,0,0,0,3,0,49308,0,0,0,3,1,0.0,0,-6391,435,6826,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,418,0,0,38,0,0,0,0.0,2033,0.0,0,2016-09-10T14:00:00Z,10 Sep 15:00,0,0,0,0,0,20,0,0,0,0,0,0,4,0,42028,0,0,0,4,2,0.0,0,-7602,308,7910,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,418,0,0,50,0,0,0,0.0,2614,0.0,0,2016-09-18T11:00:00Z,18 Sep 12:00,0,0,0,0,0,11,0,0,0,0,0,0,5,0,37850,0,0,0,1,3,0.0,0,-4331,219,4550,44,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,418,0,0,60,0,0,0,0.0,3198,0.0,0,2016-09-26T19:00:00Z,26 Sep 20:00,0,0,0,0,0,3,0,0,0,0,0,0,6,0,33271,0,0,0,0,2,0.0,0,-4775,466,5241,44,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,418,0,0,69,0,0,0,0.0,3784,0.0,0,2016-10-01T14:00:00Z,01 Oct 15:00,0,0,0,0,0,2,0,0,0,0,0,0,7,0,31434,0,0,0,2,2,0.0,0,-1963,351,2314,44,True,0,0
0,2,0,0,0,3,0,0,1,0.0,0,0,418,0,0,77,0,0,0,0.0,4373,0.0,0,2016-10-16T12:30:00Z,16 Oct 13:30,0,0,2,0,0,12,0,0,0,0,0,0,8,0,31620,0,0,0,1,0,0.0,1,-455,1721,2176,43,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,418,0,0,89,0,0,0,0.0,4965,0.0,0,2016-10-22T14:00:00Z,22 Oct 15:00,0,0,0,0,0,16,0,0,0,0,0,0,9,0,31005,0,0,0,0,0,0.0,0,-878,796,1674,43,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,418,0,0,99,0,0,0,0.0,5559,0.0,0,2016-10-29T14:00:00Z,29 Oct 15:00,0,0,0,0,0,7,0,0,0,0,0,0,10,0,30313,0,0,0,0,1,0.0,0,-858,445,1303,43,True,0,0
0,16,0,0,0,5,0,1,12,0.2,1,0,418,0,0,107,0,1,0,0.4,6157,3.6,0,2016-11-06T14:15:00Z,06 Nov 14:15,0,0,30,0,0,9,0,0,0,0,3,0,11,0,29755,0,0,0,1,6,0.0,1,-767,781,1548,43,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,418,0,0,119,0,0,0,0.0,6756,0.0,0,2016-11-19T15:00:00Z,19 Nov 15:00,0,0,0,0,0,8,0,0,0,0,0,0,12,0,29471,0,0,0,1,2,0.0,0,-538,776,1314,43,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,418,0,0,130,0,0,0,0.0,7357,0.0,0,2016-11-27T12:00:00Z,27 Nov 12:00,0,0,0,0,0,14,0,0,0,0,0,0,13,0,28938,0,0,0,1,0,0.0,0,-618,266,884,43,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,418,0,0,139,0,0,0,0.0,7961,0.0,0,2016-12-03T15:00:00Z,03 Dec 15:00,0,0,0,0,0,19,0,0,0,0,0,0,14,0,31251,0,0,0,1,3,0.0,0,1686,2911,1225,42,False,0,0
0,2,0,0,0,4,0,2,2,0.0,0,0,418,0,0,148,0,1,0,0.2,8566,2.0,0,2016-12-10T12:30:00Z,10 Dec 12:30,0,0,10,0,0,6,0,0,0,0,2,0,15,0,33195,0,0,0,2,3,0.0,1,1318,3175,1857,42,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,418,0,0,157,0,0,0,0.0,9176,0.0,0,2016-12-14T20:00:00Z,14 Dec 20:00,0,0,0,0,0,10,0,0,0,0,0,0,16,0,34138,0,0,0,0,2,0.0,0,665,1685,1020,42,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,418,0,0,167,0,0,0,0.0,9790,0.0,0,2016-12-17T15:00:00Z,17 Dec 15:00,0,0,0,0,0,15,0,0,0,0,0,0,17,0,34189,0,0,0,0,1,0.0,0,-97,1070,1167,42,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,418,0,0,180,0,0,0,0.0,10406,0.0,0,2016-12-26T12:30:00Z,26 Dec 12:30,0,0,0,0,0,5,0,0,0,0,0,0,18,0,33606,0,0,0,1,1,0.0,0,-766,822,1588,42,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,418,0,0,190,0,0,0,0.0,11024,0.0,0,2017-01-01T13:30:00Z,01 Jan 13:30,0,0,0,0,0,17,0,0,0,0,0,0,19,0,33428,0,0,0,4,1,0.0,0,-279,819,1098,42,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,418,0,0,196,0,0,0,0.0,11646,0.0,0,2017-01-03T20:00:00Z,03 Jan 20:00,0,0,0,0,0,14,0,0,0,0,0,0,20,0,32475,0,0,0,0,2,0.0,0,-1006,467,1473,42,False,0,0
