assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,18,0,0.2,160,0.00,0.00,0.00,1.01,1,2,0,1.9,18.8,2023-08-11T19:00:00Z,73,13,0,0,0,0,1,0,404404,1,3,0,0.0,1,0,0,0,40,True,0
0,0,0,0,0.0,160,0.00,0.00,0.00,0.00,25,0,0,0.0,0.0,2023-08-27T13:00:00Z,0,2,0,0,0,0,3,0,402789,0,3,1,0.0,0,-12726,17412,30138,40,True,0
0,0,11,0,0.4,160,0.00,0.00,0.00,2.14,34,5,0,2.3,22.2,2023-09-02T14:00:00Z,73,18,0,0,0,0,4,0,335461,1,5,2,0.0,-1,-65950,1834,67784,40,True,1
0,1,17,0,1.3,160,0.01,0.01,0.00,0.64,47,1,0,2.3,21.4,2023-09-18T18:45:00Z,87,16,0,0,0,0,5,0,310593,1,1,1,0.0,3,-27915,3727,31642,40,False,0
0,0,12,0,1.5,160,0.01,0.01,0.00,0.91,54,1,0,2.5,23.2,2023-09-23T19:00:00Z,90,14,0,0,0,0,6,0,294665,1,1,0,0.0,1,-16733,4230,20963,40,True,1
0,0,16,0,0.8,160,0.00,0.00,0.00,3.19,66,2,0,2.6,25.6,2023-09-30T14:00:00Z,90,15,0,0,0,0,7,0,285996,1,0,2,0.0,0,-9477,8748,18225,40,False,1
0,0,14,0,1.2,160,0.01,0.01,0.00,1.31,15,1,0,2.6,25.0,2023-10-03T18:30:00Z,90,12,0,0,0,0,7,0,285996,1,2,1,0.0,2,-9477,8748,18225,40,False,0
0,0,0,0,0.0,160,0.00,0.00,0.00,0.00,73,0,0,0.0,0.0,2023-10-07T14:00:00Z,0,7,0,0,0,0,8,0,252027,0,4,1,0.0,0,-33294,10542,43836,40,True,0
0,0,0,0,0.0,160,0.00,0.00,0.00,0.00,83,0,0,0.0,0.0,2023-10-21T14:00:00Z,0,4,0,0,0,0,9,0,211111,0,0,3,0.0,0,-41099,655,41754,40,False,0
0,0,0,0,0.0,160,0.00,0.00,0.00,0.00,93,0,0,0.0,0.0,2023-10-28T14:00:00Z,0,3,0,0,0,0,10,0,178372,0,1,2,0.0,0,-33151,178,33329,40,False,0
0,0,10,0,0.5,160,0.01,0.07,0.06,0.97,102,1,0,1.5,10.2,2023-11-04T15:00:00Z,85,8,0,0,0,0,11,0,164186,1,2,0,4.0,2,-14445,137,14582,40,True,0
0,0,18,0,21.3,160,0.01,0.01,0.00,2.03,111,3,0,5.1,29.4,2023-11-11T15:00:00Z,90,1,0,0,0,0,12,0,159683,1,1,3,0.0,1,-4781,741,5522,40,False,0
0,0,9,0,0.6,160,0.00,0.08,0.08,1.03,122,2,0,1.6,11.2,2023-11-25T15:00:00Z,90,19,0,0,0,0,13,0,156246,1,2,1,4.0,0,-3753,1097,4850,40,True,1
1,3,41,1,11.5,160,0.01,0.13,0.12,0.39,134,0,0,4.6,26.4,2023-12-02T15:00:00Z,90,17,0,0,0,0,14,0,154914,1,0,5,8.0,11,-1823,2023,3846,40,True,1
0,0,0,0,0.0,160,0.00,0.00,0.00,0.00,149,0,0,0.0,0.0,2023-12-05T19:30:00Z,0,20,0,0,0,0,15,0,150996,0,0,1,0.0,0,-3832,745,4577,40,False,0
0,0,16,0,0.1,160,0.00,0.00,0.00,2.72,152,1,0,3.4,33.6,2023-12-09T15:00:00Z,90,5,0,0,0,0,16,0,152482,1,1,1,0.0,2,967,3464,2497,40,False,0
0,0,14,0,5.1,160,0.10,0.17,0.07,1.34,164,2,0,2.8,15.6,2023-12-16T17:30:00Z,90,9,0,0,0,0,17,0,165359,1,2,0,7.0,1,10448,15547,5099,40,True,0
0,0,26,1,0.6,160,0.01,0.01,0.00,1.38,173,0,0,3.4,31.8,2023-12-23T15:00:00Z,90,10,0,0,0,0,18,0,161679,1,2,0,2.0,5,-1562,3420,4982,40,False,1
0,0,11,0,1.0,160,0.02,0.25,0.23,1.69,185,2,0,4.7,36.4,2023-12-26T17:30:00Z,90,11,0,0,0,0,19,0,164286,1,2,0,10.0,1,1776,5256,3480,40,True,0
0,0,3,0,0.0,160,0.00,0.00,0.00,0.12,191,0,0,0.0,0.0,2023-12-30T15:00:00Z,16,2,0,0,0,0,20,0,162127,1,2,3,0.0,1,-2253,5209,7462,40,False,0
