assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,11.0,672,0.10,0.31,0.21,0.45,25,0,0,1.6,0.0,2023-08-27T13:00:00Z,17,6,0,0,0,0,3,0,1317,0,3,1,6.0,1,880,1006,126,55,False,0
0,0,4,0,10.7,672,0.01,0.01,0.00,0.19,37,0,0,2.3,9.8,2023-09-03T13:00:00Z,25,11,0,0,0,0,4,0,2716,0,0,3,2.0,1,774,1168,394,55,False,0
0,0,-3,0,33.1,672,0.27,0.30,0.03,0.37,41,1,0,6.6,5.8,2023-09-16T14:00:00Z,56,8,0,0,0,0,5,0,3886,1,1,3,27.0,0,418,1030,612,55,True,1
0,0,4,1,0.9,672,0.02,0.22,0.20,0.99,55,0,0,4.2,8.8,2023-09-24T13:00:00Z,74,7,0,0,0,0,6,0,4031,1,1,0,32.0,3,-156,507,663,55,False,0
0,0,-6,0,0.3,672,0.00,0.05,0.05,1.33,61,1,0,2.5,0.2,2023-09-30T11:30:00Z,56,5,0,0,0,0,7,0,5553,1,1,6,24.0,1,1123,1753,630,55,True,0
0,0,0,0,0.2,672,0.00,0.14,0.14,0.77,80,0,0,0.6,0.0,2023-10-08T13:00:00Z,28,20,0,0,0,0,8,0,7880,0,1,1,9.0,1,1843,3241,1398,55,False,0
0,0,6,0,2.9,672,0.04,0.06,0.02,0.91,81,1,0,1.1,5.4,2023-10-22T15:30:00Z,75,19,0,0,0,0,9,0,7134,1,1,4,3.0,2,-907,665,1572,55,True,0
0,0,-9,0,11.0,672,0.08,0.68,0.60,0.00,92,0,0,7.7,0.4,2023-10-29T14:00:00Z,45,12,0,0,0,0,10,0,6804,1,1,3,66.0,0,-515,662,1177,55,True,1
0,0,-6,0,0.9,672,0.01,0.23,0.22,0.30,108,1,0,2.8,0.0,2023-11-05T14:00:00Z,45,16,0,0,0,0,11,0,6421,1,0,2,27.0,1,-548,509,1057,55,False,0
0,0,0,0,0.0,672,0.00,0.00,0.00,0.00,112,0,0,0.0,0.0,2023-11-12T14:00:00Z,0,10,0,0,0,0,12,0,6209,0,1,3,0.0,0,-351,281,632,55,True,0
