assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,32,0,1,0,9,1,1,20,55.8,1,0,369,0,0,1,2,0,0,8.1,369,17.0,4,2016-08-13T14:00:00Z,13 Aug 15:00,0,0,86,0,2,3,0,0,0,0,5,0,1,0,20421,3,2,1,1,0,8.0,3,0,0,0,50,False,0,0
0,25,1,0,0,11,0,2,20,63.9,0,0,369,0,0,15,0,0,0,10.0,894,10.2,5,2016-08-20T14:00:00Z,20 Aug 15:00,0,0,54,0,1,7,0,0,0,0,2,0,2,0,24590,1,0,1,2,0,26.0,1,1900,3322,1422,50,True,0,0
0,10,0,0,0,0,0,0,5,11.3,0,0,369,0,0,25,1,2,0,1.7,1434,0.0,1,2016-08-27T14:00:00Z,27 Aug 15:00,0,0,58,1,0,8,0,0,0,0,1,0,3,0,22391,2,0,0,1,2,6.0,1,-2780,1314,4094,50,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,369,0,0,39,0,0,0,0.0,1984,0.0,0,2016-09-11T15:00:00Z,11 Sep 16:00,0,0,0,0,0,4,0,0,0,0,0,0,4,0,17118,0,0,0,2,2,0.0,0,-5455,564,6019,50,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,369,0,0,48,0,0,0,0.0,2565,0.0,0,2016-09-18T13:15:00Z,18 Sep 14:15,0,0,0,0,0,13,0,0,0,0,0,0,5,0,14279,0,0,0,0,1,0.0,0,-2896,108,3004,49,False,0,0
0,21,0,0,0,9,0,3,11,40.6,2,0,369,0,0,58,3,2,0,6.7,3149,10.0,2,2016-09-24T14:00:00Z,24 Sep 15:00,0,0,72,0,5,10,0,0,0,0,3,0,6,0,11738,4,0,1,3,1,16.0,2,-2579,88,2667,48,True,0,0
0,23,1,0,0,11,0,0,10,16.4,1,0,369,0,0,67,1,1,0,2.2,3735,4.0,1,2016-10-01T11:30:00Z,01 Oct 12:30,0,0,61,0,1,9,0,0,0,0,3,0,7,0,11074,1,0,0,2,1,2.0,2,-713,177,890,48,True,0,0
0,29,1,0,0,13,0,1,17,14.9,0,0,369,0,0,71,1,3,0,2.3,4324,6.0,1,2016-10-15T14:00:00Z,15 Oct 15:00,0,0,90,0,0,1,0,0,0,0,4,0,8,0,10586,1,2,0,2,3,2.0,2,-537,220,757,48,False,0,0
0,22,0,0,0,7,1,2,13,7.8,0,0,369,0,0,89,2,0,0,1.1,4916,3.0,0,2016-10-22T14:00:00Z,22 Oct 15:00,0,0,67,0,1,18,0,0,0,0,3,0,9,0,10284,2,1,0,0,0,0.0,3,-329,254,583,47,True,0,0
0,18,0,0,1,27,0,1,12,11.9,2,0,369,0,0,96,2,3,1,10.2,5510,42.2,1,2016-10-31T20:00:00Z,31 Oct 20:00,0,0,90,0,0,14,0,0,0,0,7,0,10,0,10261,2,1,0,1,3,48.0,8,-58,344,402,47,False,0,0
