date,deep,deep_allowed,draws,h_a,loses,missed,npxG,npxGA,npxGD,ppda,ppda_allowed,pts,result,scored,wins,xG,xGA,xpts
2019-08-10 15:00:00,5,5,1,a,0,0,1.2246,0.87159,0.35300999999999993,"{'att': 110, 'def': 27}","{'att': 294, 'def': 26}",1,d,0,0,1.2246,0.87159,1.6257
2019-08-17 15:00:00,4,3,0,h,0,0,0.832913,1.17279,-0.339877,"{'att': 195, 'def': 22}","{'att': 157, 'def': 40}",3,w,1,1,0.832913,1.17279,1.0150000000000001
2019-08-23 20:00:00,12,6,0,a,1,2,1.25668,0.855926,0.40075400000000005,"{'att': 146, 'def': 27}","{'att': 265, 'def': 20}",0,l,0,0,1.25668,0.855926,1.7245
2019-09-01 14:00:00,4,5,0,h,0,2,1.48842,2.00172,-0.5133000000000001,"{'att': 160, 'def': 30}","{'att': 242, 'def': 12}",3,w,3,1,1.48842,2.00172,0.9823999999999999
2019-09-15 13:00:00,9,3,0,a,1,3,1.50641,1.41542,0.09099000000000013,"{'att': 171, 'def': 31}","{'att': 266, 'def': 22}",0,l,1,0,1.50641,1.41542,1.4259
2019-09-21 14:00:00,9,2,0,h,1,2,1.26041,0.508011,0.752399,"{'att': 96, 'def': 17}","{'att': 263, 'def': 20}",0,l,0,0,1.26041,0.508011,1.9885999999999997
2019-09-28 16:30:00,6,13,0,h,1,3,2.35854,3.1082,-0.74966,"{'att': 392, 'def': 12}","{'att': 204, 'def': 21}",0,l,1,0,2.35854,3.1082,0.9393
2019-10-05 15:00:00,4,6,0,a,1,1,1.30723,0.558912,0.7483179999999999,"{'att': 156, 'def': 20}","{'att': 273, 'def': 14}",0,l,0,0,1.30723,0.558912,2.0524
2019-10-19 12:30:00,11,3,0,h,0,0,2.23324,0.459112,1.774128,"{'att': 183, 'def': 32}","{'att': 191, 'def': 19}",3,w,2,1,2.23324,0.459112,2.6186
2019-10-26 15:00:00,7,4,0,a,1,3,1.04723,0.391623,0.655607,"{'att': 327, 'def': 28}","{'att': 237, 'def': 28}",0,l,2,0,1.04723,1.15279,1.1805
2019-11-03 16:30:00,8,1,1,h,0,1,1.15532,0.243393,0.9119269999999999,"{'att': 281, 'def': 25}","{'att': 184, 'def': 18}",1,d,1,0,1.15532,0.243393,2.2648
2019-11-09 15:00:00,6,1,0,a,0,1,2.08883,0.742281,1.3465490000000002,"{'att': 202, 'def': 31}","{'att': 169, 'def': 17}",3,w,2,1,2.08883,0.742281,2.3575
2019-11-23 15:00:00,15,4,0,h,1,2,0.812693,1.80849,-0.9957969999999999,"{'att': 137, 'def': 23}","{'att': 189, 'def': 23}",0,l,0,0,0.812693,1.80849,0.638
2019-12-01 16:30:00,1,9,0,a,1,2,1.24986,2.24348,-0.99362,"{'att': 367, 'def': 20}","{'att': 129, 'def': 23}",0,l,1,0,1.24986,2.24348,0.7024999999999999
2019-12-04 20:15:00,6,10,0,a,1,5,1.76453,2.41397,-0.64944,"{'att': 315, 'def': 35}","{'att': 184, 'def': 19}",0,l,2,0,1.76453,2.41397,0.9361
2019-12-07 12:30:00,5,17,0,h,0,1,2.03892,1.25734,0.7815800000000002,"{'att': 350, 'def': 39}","{'att': 83, 'def': 18}",3,w,3,1,2.03892,1.25734,1.9575000000000002
2019-12-15 14:00:00,2,4,1,a,0,1,0.276759,1.48327,-1.2065110000000001,"{'att': 270, 'def': 24}","{'att': 98, 'def': 11}",1,d,1,0,0.276759,1.48327,0.39990000000000003
2019-12-21 12:30:00,8,1,1,h,0,0,0.486523,0.881818,-0.395295,"{'att': 323, 'def': 26}","{'att': 185, 'def': 23}",1,d,0,0,0.486523,0.881818,0.8431
2019-12-26 15:00:00,2,1,0,h,0,0,1.47521,0.565252,0.9099579999999999,"{'att': 105, 'def': 19}","{'att': 314, 'def': 24}",3,w,1,1,1.47521,0.565252,2.1380000000000003
2019-12-28 15:00:00,6,6,0,a,0,1,2.82576,1.63211,1.1936499999999999,"{'att': 153, 'def': 18}","{'att': 250, 'def': 17}",3,w,2,1,2.82576,1.63211,2.1729
2020-01-01 17:30:00,2,9,0,a,1,2,0.83946,1.7838,-0.9443400000000001,"{'att': 515, 'def': 23}","{'att': 254, 'def': 25}",0,l,1,0,0.83946,1.7838,0.6567000000000001
2020-01-11 15:00:00,10,6,0,h,0,0,1.53381,1.53975,-0.005940000000000056,"{'att': 249, 'def': 30}","{'att': 263, 'def': 14}",3,w,1,1,1.53381,1.53975,1.3393
2020-01-18 15:00:00,4,2,1,a,0,1,1.33679,1.61437,-0.27758000000000016,"{'att': 218, 'def': 25}","{'att': 242, 'def': 27}",1,d,1,0,1.33679,1.61437,1.1606
2020-01-21 19:30:00,5,2,1,h,0,2,2.05191,0.598322,1.4535879999999999,"{'att': 283, 'def': 26}","{'att': 348, 'def': 23}",1,d,2,0,2.05191,0.598322,2.4407
2020-02-01 15:00:00,5,2,0,a,0,2,2.7014,0.884063,1.817337,"{'att': 172, 'def': 21}","{'att': 231, 'def': 24}",3,w,3,1,2.7014,0.884063,2.6413999999999995
