first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost
Shkodran,Mustafi,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,53
Héctor,Bellerín,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,55
Sead,Kolasinac,0,0,2,109,2,34.4,19.2,13.0,0,17,6.7,0,0,0,0.8,54
Ainsley,Maitland-Niles,0,1,16,360,6,83.4,106.6,19.0,3,81,20.9,1,0,0,6.1,51
Sokratis,Papastathopoulos,0,0,11,360,6,12.3,85.6,2.0,2,73,10.0,1,0,1,2.0,50
Nacho,Monreal,0,0,10,270,4,40.8,47.2,12.0,1,54,10.0,1,0,0,0.9,50
Laurent,Koscielny,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,50
Konstantinos,Mavropanos,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44
Carl,Jenkinson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45
Rob,Holding,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45
Pierre-Emerick,Aubameyang,3,1,26,360,6,77.3,134.4,215.0,4,102,42.6,1,0,1,22.5,110
Alexandre,Lacazette,2,0,14,145,3,24.4,78.8,129.0,2,49,23.3,0,0,1,3.0,94
Edward,Nketiah,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.0,44
Bernd,Leno,0,0,14,360,6,0.0,93.0,0.0,1,76,9.3,1,0,0,6.2,50
Mesut,Özil,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.6,73
Henrikh,Mkhitaryan,0,0,4,110,0,33.9,5.4,46.0,0,3,8.6,1,0,1,1.5,69
Granit,Xhaka,0,0,5,270,5,63.5,55.2,14.0,0,30,13.3,1,0,2,0.9,54
Lucas,Torreira,1,0,9,98,2,42.4,58.0,41.0,0,44,14.2,0,0,0,1.8,49
Mohamed,Elneny,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.6,44
Matteo,Guendouzi,0,1,14,355,6,37.8,97.6,42.0,2,69,17.8,1,0,0,7.3,45
David,Luiz Moreira Marinho,0,0,2,270,6,5.8,72.0,3.0,0,36,8.1,0,0,2,6.5,59
