assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
1,0,24,100,100,0,69140,0,0,-3,3,0.8,0,2,1.3,0.3,0,Shkodran,0.8,2,0,7.5,1,False,19.8,90,,2019-11-28T23:00:21.541666Z,52,0,0,0,69140.jpg,4.0,0,0,Mustafi,0.3,False,None,a,1,3,54.0,4,7815,100,32059,247,0.2,0.8,Mustafi,0
0,0,26,0,75,0,98745,0,0,-1,1,22.7,0,2,0.0,-0.2,0,Héctor,0.2,6,0,6.9,2,False,30.8,262,Hamstring injury - Expected back 21 Dec,2019-12-09T20:00:21.228098Z,54,0,0,0,98745.jpg,0.3,0,0,Bellerín,0.3,False,None,i,1,3,15.0,1,34606,31,33447,1376,0.0,0.2,Bellerín,2
2,1,196,75,100,1,111457,0,0,-3,3,149.6,0,2,1.6,1.1,0,Sead,1.6,17,0,37.8,3,False,174.4,928,Ankle injury - 75% chance of playing,2019-12-15T19:30:19.136195Z,52,0,0,0,111457.jpg,1.9,0,0,Kolasinac,0.6,False,None,d,1,3,55.0,27,46912,321,108948,1539,0.3,5.2,Kolasinac,2
2,3,124,100,100,1,154043,0,0,-4,4,127.9,1,2,1.1,0.1,1,Ainsley,0.6,14,0,32.9,4,False,173.0,670,,2019-09-22T18:00:10.824841Z,46,0,0,0,154043.jpg,2.5,1,0,Maitland-Niles,2.6,False,None,a,1,3,33.0,20,546322,768,566671,2426,0.1,4.3,Maitland-Niles,0
0,2,224,0,None,2,39476,0,0,-1,1,30.7,0,2,0.0,-0.1,0,Sokratis,0.4,23,1,44.3,5,False,340.2,1350,Suspended until 26 Dec,2019-12-15T19:30:19.149412Z,49,0,0,0,39476.jpg,2.2,0,0,Papastathopoulos,1.5,False,None,s,1,3,71.0,33,107353,285,143040,5098,0.1,6.7,Sokratis,5
0,1,54,0,0,1,38411,0,0,0,0,40.8,0,2,0.0,0.0,0,Nacho,0.0,4,0,10.0,6,False,47.2,270,Joined Real Sociedad on a permanent deal on 31/8,2019-08-31T11:30:14.661839Z,50,0,0,0,38411.jpg,3.3,0,0,Monreal,0.3,False,None,u,1,3,12.0,10,28034,7,87830,108,0.0,2.0,Monreal,0
0,0,0,0,0,0,51507,0,0,0,0,0.0,0,2,0.0,0.0,0,Laurent,0.0,0,0,0.0,7,False,0.0,0,Joined Bordeaux on a permanent deal on 6/8.,2019-08-08T11:00:09.045030Z,50,0,0,0,51507.jpg,0.0,0,0,Koscielny,0.1,False,None,u,1,3,0.0,0,480,8,12434,22,0.0,0.0,Koscielny,0
0,0,0,100,100,0,233963,0,0,-1,1,0.0,0,2,0.5,-0.5,0,Konstantinos,0.0,0,0,0.0,8,False,0.0,0,,2019-08-09T09:30:11.868345Z,44,0,0,0,233963.jpg,0.0,0,0,Mavropanos,0.0,False,None,a,1,3,0.0,0,762,25,4158,55,0.0,0.0,Mavropanos,0
0,0,0,0,0,0,80254,0,0,0,0,0.0,0,2,0.0,0.0,0,Carl,0.0,0,0,0.0,9,False,0.0,0,Joined Nottingham Forest on a permanent deal on 7/8.,2019-08-07T17:00:10.875251Z,45,0,0,0,80254.jpg,0.0,0,0,Jenkinson,0.0,False,None,u,1,3,0.0,0,329,6,2447,12,0.0,0.0,Jenkinson,0
0,0,9,0,0,0,156074,0,0,0,0,0.4,0,2,0.0,0.0,0,Rob,0.0,2,0,1.1,10,False,8.4,76,Knee injury - Expected back 29 Dec,2019-12-09T10:00:19.335279Z,45,0,0,0,156074.jpg,1.0,0,0,Holding,0.1,False,None,i,1,3,2.0,1,10324,8,12036,379,0.0,0.2,Holding,0
3,18,390,None,None,2,54694,0,0,-2,2,258.7,2,4,7.3,6.3,2,Pierre-Emerick,6.8,27,11,136.8,11,True,487.2,1530,,None,108,0,0,0,54694.jpg,6.1,0,0,Aubameyang,19.2,False,None,a,1,3,624.0,103,1458157,15808,1974869,35883,0.6,9.5,Aubameyang,2
2,6,160,100,100,0,59966,0,0,-2,2,156.2,1,4,4.7,3.7,0,Alexandre,4.2,12,5,80.6,12,False,237.8,661,,2019-09-01T18:30:14.246208Z,93,0,0,0,59966.jpg,4.7,0,0,Lacazette,1.7,False,None,a,1,3,411.0,47,187764,1113,323744,6368,0.5,5.1,Lacazette,2
0,0,0,0,0,0,205533,0,0,-2,2,0.0,0,4,0.0,0.0,0,Edward,0.0,0,0,0.0,13,False,0.0,0,Joined Leeds United on loan until the end of the season on 8/8. - Expected back 01 Jul,2019-08-08T15:30:15.638344Z,43,0,0,0,205533.jpg,0.0,0,0,Nketiah,0.6,False,None,n,1,3,0.0,0,46185,328,110907,1141,0.0,0.0,Nketiah,0
0,3,336,None,None,2,80201,0,0,0,0,0.0,0,1,4.5,3.5,2,Bernd,4.0,27,0,52.1,14,False,522.6,1530,,None,50,0,0,1,80201.jpg,3.3,0,73,Leno,5.4,False,None,a,1,3,0.0,56,349368,2260,382189,7893,0.8,11.2,Leno,2
2,1,116,100,100,0,37605,0,0,-3,3,304.6,0,3,3.7,2.7,1,Mesut,3.2,14,0,49.9,15,False,95.2,666,,2019-08-09T17:00:13.419733Z,72,0,0,0,37605.jpg,2.8,0,0,Özil,0.9,False,None,a,1,3,99.0,22,52578,2796,114075,2918,0.4,3.1,Özil,0
0,0,3,0,0,1,57249,0,0,-2,2,33.9,0,3,0.0,0.0,0,Henrikh,0.0,0,0,8.6,16,False,5.4,110,Joined Roma on loan until the end of the season on 2/9. - Expected back 01 Jul,2019-09-02T23:30:14.832021Z,68,0,0,0,57249.jpg,1.3,0,0,Mkhitaryan,0.8,False,None,n,1,3,46.0,4,22737,11,114435,207,0.0,0.6,Mkhitaryan,1
1,0,146,75,0,2,84450,0,0,-4,4,140.4,0,3,1.3,0.0,0,Granit,1.2,18,0,38.3,18,False,187.6,1004,Head injury - 75% chance of playing,2019-12-09T22:00:20.814913Z,51,0,0,0,84450.jpg,2.1,0,0,Xhaka,0.6,False,None,d,1,3,54.0,25,31730,15,98229,917,0.2,4.9,Xhaka,4
