assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
1,0,35,100,100,0,69140,0,0,-3,3,1.2,0,2,0.8,0.8,0,Shkodran,0.3,4,0,8.8,1,False,32.2,170,,2019-11-28T23:00:21.541666Z,52,0,0,0,69140.jpg,2.0,0,0,Mustafi,0.3,False,None,a,1,3,54.0,6,8596,49,33467,148,0.1,1.2,Mustafi,0
0,0,26,25,25,0,98745,0,0,-1,1,22.7,0,2,0.1,0.1,0,Héctor,0.0,6,0,6.9,2,False,30.8,262,Hamstring injury - 25% chance of playing,2019-12-09T20:00:21.228098Z,54,0,0,0,98745.jpg,0.3,0,0,Bellerín,0.2,False,None,d,1,3,15.0,1,35055,25,37542,225,0.0,0.2,Bellerín,2
2,1,219,100,100,2,111457,0,0,-3,3,156.3,0,2,1.7,1.7,2,Sead,1.2,18,0,41.2,3,False,190.0,1086,,2019-12-15T19:30:19.136195Z,52,0,0,0,111457.jpg,2.1,0,0,Kolasinac,0.6,False,None,a,1,3,67.0,34,54065,1166,118055,409,0.2,6.5,Kolasinac,3
2,3,206,100,100,3,154043,0,0,-4,4,151.6,1,2,3.0,3.0,1,Ainsley,2.5,18,0,42.6,4,False,243.0,1120,,2019-09-22T18:00:10.824841Z,46,0,0,0,154043.jpg,2.6,1,0,Maitland-Niles,2.7,False,None,a,1,3,37.0,34,576334,2560,586772,1951,0.5,7.4,Maitland-Niles,3
0,5,286,100,100,3,39476,0,0,-1,1,31.8,1,2,3.7,3.7,2,Sokratis,3.2,25,2,57.1,5,False,431.6,1606,,2019-12-26T17:00:15.332949Z,49,0,0,0,39476.jpg,2.9,0,0,Papastathopoulos,1.5,False,None,a,1,3,106.0,52,131768,2487,162539,1745,0.7,10.6,Sokratis,5
0,1,54,0,0,1,38411,0,0,0,0,40.8,0,2,0.0,0.0,0,Nacho,0.0,4,0,10.0,6,False,47.2,270,Joined Real Sociedad on a permanent deal on 31/8,2019-08-31T11:30:14.661839Z,50,0,0,0,38411.jpg,3.3,0,0,Monreal,0.3,False,None,u,1,3,12.0,10,28090,5,88441,49,0.0,2.0,Monreal,0
0,0,0,0,0,0,51507,0,0,0,0,0.0,0,2,0.0,0.0,0,Laurent,0.0,0,0,0.0,7,False,0.0,0,Joined Bordeaux on a permanent deal on 6/8.,2019-08-08T11:00:09.045030Z,50,0,0,0,51507.jpg,0.0,0,0,Koscielny,0.1,False,None,u,1,3,0.0,0,545,4,12593,11,0.0,0.0,Koscielny,0
0,0,0,100,100,0,233963,0,0,-1,1,0.0,0,2,0.5,0.5,0,Konstantinos,0.0,0,0,0.0,8,False,0.0,0,,2019-08-09T09:30:11.868345Z,44,0,0,0,233963.jpg,0.0,0,0,Mavropanos,0.0,False,None,a,1,3,0.0,0,1049,18,4459,30,0.0,0.0,Mavropanos,0
0,0,0,0,0,0,80254,0,0,0,0,0.0,0,2,0.0,0.0,0,Carl,0.0,0,0,0.0,9,False,0.0,0,Joined Nottingham Forest on a permanent deal on 7/8.,2019-08-07T17:00:10.875251Z,45,0,0,0,80254.jpg,0.0,0,0,Jenkinson,0.0,False,None,u,1,3,0.0,0,383,3,2525,7,0.0,0.0,Jenkinson,0
0,0,9,100,100,0,156074,0,0,0,0,0.4,0,2,0.5,0.5,0,Rob,0.0,2,0,1.1,10,False,8.4,76,,2019-12-09T10:00:19.335279Z,45,0,0,0,156074.jpg,1.0,0,0,Holding,0.1,False,None,a,1,3,2.0,1,10875,83,13319,85,0.0,0.2,Holding,0
3,24,484,0,75,4,54694,0,0,-2,2,304.1,2,4,0.0,3.6,4,Pierre-Emerick,4.3,31,14,176.3,11,True,606.0,1943,Suspended until 02 Feb,2020-01-08T14:00:18.333339Z,108,0,0,0,54694.jpg,5.8,1,0,Aubameyang,16.6,False,None,s,1,3,854.0,127,1718390,4313,2409442,169426,0.4,11.8,Aubameyang,3
3,6,183,100,100,1,59966,0,0,-2,2,233.4,1,4,2.0,2.0,4,Alexandre,1.5,16,5,110.6,12,False,279.6,1024,,2019-09-01T18:30:14.246208Z,93,0,0,0,59966.jpg,3.7,0,0,Lacazette,1.9,False,None,a,1,3,591.0,56,223939,12261,351663,2188,0.2,6.0,Lacazette,5
0,0,0,100,100,0,205533,0,0,-2,2,0.0,0,4,0.5,0.5,0,Edward,0.0,0,0,0.0,13,False,0.0,0,,2019-08-08T15:30:15.638344Z,43,0,0,0,205533.jpg,0.0,0,0,Nketiah,0.6,False,None,a,1,3,0.0,0,49297,561,118330,504,0.0,0.0,Nketiah,0
0,5,428,None,None,4,80201,0,0,0,0,0.0,1,1,4.3,4.3,2,Bernd,3.8,31,0,61.8,14,False,620.0,1980,,None,50,0,0,1,80201.jpg,3.5,0,83,Leno,5.3,False,None,a,1,3,0.0,77,392985,3561,434351,4091,0.8,15.4,Leno,2
2,1,151,100,100,2,37605,0,0,-3,3,414.9,0,3,2.3,2.3,2,Mesut,1.8,16,0,66.5,15,False,124.8,974,,2019-12-20T10:30:11.550604Z,72,0,0,0,37605.jpg,2.7,0,0,Özil,1.2,False,None,a,1,3,125.0,32,97589,2398,139432,3880,0.2,4.4,Özil,0
0,0,3,0,0,1,57249,0,0,-2,2,33.9,0,3,0.0,0.0,0,Henrikh,0.0,0,0,8.6,16,False,5.4,110,Joined Roma on loan until the end of the season on 2/9. - Expected back 01 Jul,2019-09-02T23:30:14.832021Z,68,0,0,0,57249.jpg,1.3,0,0,Mkhitaryan,0.8,False,None,n,1,3,46.0,4,22853,7,115507,86,0.0,0.6,Mkhitaryan,1
1,0,202,100,100,4,84450,0,0,-4,4,195.1,0,3,2.2,2.2,2,Granit,1.7,20,0,51.2,18,False,239.0,1364,,2019-12-29T14:30:26.292159Z,51,0,0,0,84450.jpg,2.2,0,0,Xhaka,0.6,False,None,a,1,3,76.0,35,35664,672,101935,290,0.3,6.9,Xhaka,4
0,0,189,75,100,3,198849,0,0,-3,3,149.3,0,3,1.7,2.3,1,Lucas,1.8,17,1,54.7,19,False,213.0,1118,Muscle injury - 75% chance of playing,2020-01-11T15:00:20.592287Z,47,0,0,0,198849.jpg,1.8,0,0,Torreira,1.3,False,None,d,1,3,183.0,35,79882,688,144707,2412,0.4,7.4,Torreira,3
0,0,0,0,0,0,153256,0,0,-2,2,0.0,0,3,0.0,0.0,0,Mohamed,0.0,0,0,0.0,20,False,0.0,0,Joined Besiktas on loan until the end of the season on 31/8. - Expected back 01 Jul,2019-08-31T11:30:14.714406Z,43,0,0,0,153256.jpg,0.0,0,0,Elneny,0.7,False,None,n,1,3,0.0,0,121641,154,109783,830,0.0,0.0,Elneny,0
