assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
2,1,169,100,100,2,69140,0,0,-4,4,41.1,327,110,0,2,1.5,2.5,2,Shkodran,1.0,14,0,37.4,316,113,1,False,207.4,268,107,800,,2020-02-27T23:00:18.104137Z,51,0,0,0,69140.jpg,2.8,0,0,Mustafi,0.4,False,None,a,1,3,124.0,232,60,28,19415,360,41210,568,0.2,5.5,Mustafi,0
0,3,132,100,100,2,98745,0,0,0,0,40.9,328,111,0,2,1.5,2.5,2,Héctor,1.0,15,1,22.5,363,131,2,False,142.0,317,124,803,,2019-12-09T20:00:21.228098Z,55,0,0,0,98745.jpg,2.7,0,0,Bellerín,1.3,False,None,a,1,3,40.0,337,118,27,185811,1449,116350,8428,0.2,4.9,Bellerín,2
2,1,240,100,100,2,111457,0,0,-3,3,159.8,198,49,0,2,1.0,1.5,1,Sead,0.5,21,0,42.9,288,97,3,False,204.6,271,108,1193,,2020-02-23T18:30:13.672943Z,52,0,0,0,111457.jpg,2.0,0,0,Kolasinac,0.5,False,None,a,1,3,67.0,299,96,36,60391,149,130386,521,0.1,6.9,Kolasinac,3
2,3,218,100,100,3,154043,0,0,-5,5,157.0,201,50,1,2,1.0,1.5,1,Ainsley,0.5,20,0,45.2,276,93,4,False,263.4,230,92,1233,,2019-09-22T18:00:10.824841Z,45,0,0,0,154043.jpg,2.5,1,0,Maitland-Niles,2.3,False,None,a,1,3,37.0,340,120,37,605824,499,641450,1716,0.1,8.2,Maitland-Niles,3
0,5,305,0,100,4,39476,0,0,-2,2,36.8,337,114,1,2,0.0,0.5,0,Sokratis,0.0,25,2,58.5,224,66,5,False,436.2,116,44,1696,Thigh injury - Expected back 04 Jul,2020-06-18T18:00:15.974146Z,48,0,0,0,39476.jpg,3.0,0,0,Papastathopoulos,1.5,False,None,i,1,3,110.0,247,68,57,179582,102,213621,6651,0.0,11.9,Sokratis,6
0,1,54,0,0,1,38411,0,0,0,0,40.8,329,112,0,2,0.0,0.0,0,Nacho,0.0,4,0,10.0,398,146,6,False,47.2,395,148,270,Joined Real Sociedad on a permanent deal on 31/8,2019-08-31T11:30:14.661839Z,50,0,0,0,38411.jpg,3.3,0,0,Monreal,0.2,False,None,u,1,3,12.0,393,146,10,28212,7,89147,31,0.0,2.0,Monreal,0
0,0,0,0,0,0,51507,0,0,0,0,0.0,612,212,0,2,0.0,0.0,0,Laurent,0.0,0,0,0.0,620,212,7,False,0.0,618,212,0,Joined Bordeaux on a permanent deal on 6/8.,2019-08-08T11:00:09.045030Z,50,0,0,0,51507.jpg,0.0,0,0,Koscielny,0.1,False,None,u,1,3,0.0,608,211,0,704,8,12822,15,0.0,0.0,Koscielny,0
0,0,0,0,0,0,233963,0,0,-2,2,0.0,553,207,0,2,0.0,0.0,0,Konstantinos,0.0,0,0,0.0,568,207,8,False,0.0,565,207,0,Joined Nuremberg on loan until the end of the season on 13/1. - Expected back 01 Aug,2020-01-13T14:30:21.309535Z,43,0,0,0,233963.jpg,0.0,0,0,Mavropanos,0.0,False,None,n,1,3,0.0,532,200,0,1137,4,4983,20,0.0,0.0,Mavropanos,0
0,0,0,0,0,0,80254,0,0,0,0,0.0,569,209,0,2,0.0,0.0,0,Carl,0.0,0,0,0.0,583,209,9,False,0.0,580,209,0,Joined Nottingham Forest on a permanent deal on 7/8.,2019-08-07T17:00:10.875251Z,45,0,0,0,80254.jpg,0.0,0,0,Jenkinson,0.0,False,None,u,1,3,0.0,552,203,0,475,9,2660,9,0.0,0.0,Jenkinson,0
0,0,30,100,100,0,156074,0,0,-1,1,1.3,438,162,0,2,1.0,1.5,1,Rob,0.5,5,0,4.0,439,158,10,False,34.8,413,155,175,,2019-12-09T10:00:19.335279Z,44,0,0,0,156074.jpg,1.0,0,0,Holding,0.1,False,None,a,1,3,4.0,417,156,3,13992,817,15926,309,0.1,0.7,Holding,0
