assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
2,2,220,100,100,4,69140,0,0,-4,4,44.2,335,114,0,2,3.5,3.0,7,Shkodran,3.0,14,0,40.1,320,112,1,False,231.2,264,106,1025,,2020-07-01T22:00:25.971699Z,51,0,0,0,69140.jpg,3.2,0,0,Mustafi,0.4,False,None,a,1,3,124.0,240,61,41,22211,898,43464,221,0.6,8.0,Mustafi,1
0,4,187,100,100,4,98745,0,0,-1,1,49.3,328,109,0,2,3.7,3.2,1,Héctor,3.2,15,1,29.2,347,123,2,False,170.8,311,121,983,,2019-12-09T20:00:21.228098Z,54,0,0,0,98745.jpg,3.2,0,0,Bellerín,1.1,False,None,a,1,3,70.0,306,99,41,195284,985,139469,3803,0.6,7.6,Bellerín,2
2,1,292,100,100,4,111457,0,0,-3,3,164.8,206,52,0,2,3.3,2.8,6,Sead,2.8,21,0,46.8,294,100,3,False,239.0,258,104,1393,,2020-02-23T18:30:13.672943Z,52,0,0,0,111457.jpg,2.3,0,0,Kolasinac,0.5,False,None,a,1,3,67.0,307,100,49,61851,601,132203,185,0.5,9.4,Kolasinac,3
2,3,223,100,100,3,154043,0,0,-5,5,159.0,215,54,1,2,0.9,0.4,0,Ainsley,0.4,20,0,46.9,292,98,4,False,278.8,235,91,1277,,2019-09-22T18:00:10.824841Z,45,0,0,0,154043.jpg,2.2,1,0,Maitland-Niles,2.2,False,None,a,1,3,37.0,349,126,38,607876,461,648150,1055,0.1,8.4,Maitland-Niles,4
0,5,305,100,100,4,39476,0,0,-2,2,36.8,350,119,1,2,0.5,0.0,0,Sokratis,0.0,25,2,58.5,240,72,5,False,436.2,135,51,1696,,2020-06-18T18:00:15.974146Z,48,0,0,0,39476.jpg,3.0,0,0,Papastathopoulos,1.3,False,None,a,1,3,110.0,257,72,57,180726,187,226093,1103,0.0,11.9,Sokratis,6
0,1,54,0,0,1,38411,0,0,0,0,40.8,341,117,0,2,0.0,0.0,0,Nacho,0.0,4,0,10.0,407,148,6,False,47.2,409,152,270,Joined Real Sociedad on a permanent deal on 31/8,2019-08-31T11:30:14.661839Z,50,0,0,0,38411.jpg,3.3,0,0,Monreal,0.2,False,None,u,1,3,12.0,401,147,10,28225,2,89205,11,0.0,2.0,Monreal,0
0,0,0,0,0,0,51507,0,0,0,0,0.0,629,217,0,2,0.0,0.0,0,Laurent,0.0,0,0,0.0,635,217,7,False,0.0,633,217,0,Joined Bordeaux on a permanent deal on 6/8.,2019-08-08T11:00:09.045030Z,50,0,0,0,51507.jpg,0.0,0,0,Koscielny,0.1,False,None,u,1,3,0.0,624,216,0,726,8,12847,8,0.0,0.0,Koscielny,0
0,0,0,0,0,0,233963,0,0,-2,2,0.0,565,213,0,2,0.0,0.0,0,Konstantinos,0.0,0,0,0.0,579,213,8,False,0.0,576,213,0,Joined Nuremberg on loan until the end of the season on 13/1. - Expected back 01 Aug,2020-01-13T14:30:21.309535Z,43,0,0,0,233963.jpg,0.0,0,0,Mavropanos,0.0,False,None,n,1,3,0.0,542,206,0,1154,2,5019,7,0.0,0.0,Mavropanos,0
0,0,0,0,0,0,80254,0,0,0,0,0.0,580,214,0,2,0.0,0.0,0,Carl,0.0,0,0,0.0,592,214,9,False,0.0,589,214,0,Joined Nottingham Forest on a permanent deal on 7/8.,2019-08-07T17:00:10.875251Z,45,0,0,0,80254.jpg,0.0,0,0,Jenkinson,0.0,False,None,u,1,3,0.0,560,208,0,484,2,2672,1,0.0,0.0,Jenkinson,0
0,2,60,100,100,1,156074,0,0,-1,1,2.4,441,163,0,2,2.5,2.0,0,Rob,2.0,5,0,7.7,420,153,10,False,68.2,389,148,310,,2019-12-09T10:00:19.335279Z,44,0,0,0,156074.jpg,2.4,0,0,Holding,0.2,False,None,a,1,3,6.0,418,153,12,21955,330,18703,865,0.5,2.7,Holding,0
