assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
1,0,49,100,100,0,69140,-1,1,-4,4,2.4,0,2,0.7,1.2,2,Shkodran,0.7,5,0,13.3,1,False,56.8,260,,2019-11-28T23:00:21.541666Z,51,0,0,0,69140.jpg,2.0,0,0,Mustafi,0.3,False,None,a,1,3,73.0,8,8771,68,33732,67,0.1,1.6,Mustafi,0
0,0,26,100,50,0,98745,0,0,-1,1,22.7,0,2,0.0,0.2,0,Héctor,0.0,6,0,6.9,2,False,30.8,262,,2019-12-09T20:00:21.228098Z,54,0,0,0,98745.jpg,0.3,0,0,Bellerín,0.2,False,None,a,1,3,15.0,1,35236,150,38013,82,0.0,0.2,Bellerín,2
2,1,219,50,50,2,111457,0,0,-3,3,156.3,0,2,0.6,0.8,0,Sead,1.2,18,0,41.2,3,False,190.0,1086,Thigh injury - 50% chance of playing,2020-01-15T13:30:21.603499Z,52,0,0,0,111457.jpg,2.1,0,0,Kolasinac,0.6,False,None,d,1,3,67.0,34,55112,28,121524,838,0.2,6.5,Kolasinac,3
2,3,216,100,100,3,154043,0,0,-4,4,155.4,1,2,2.7,3.2,2,Ainsley,2.7,19,0,44.9,4,False,261.8,1210,,2019-09-22T18:00:10.824841Z,46,0,0,0,154043.jpg,2.6,1,0,Maitland-Niles,2.7,False,None,a,1,3,37.0,36,584526,1074,593425,2316,0.6,7.8,Maitland-Niles,3
0,5,286,75,100,3,39476,0,0,-1,1,31.8,1,2,2.4,3.7,0,Sokratis,3.2,25,2,57.1,5,False,431.6,1606,Illness - 75% chance of playing,2020-01-18T17:00:22.046513Z,49,0,0,0,39476.jpg,2.9,0,0,Papastathopoulos,1.5,False,None,d,1,3,106.0,52,137878,213,170004,4205,0.7,10.6,Sokratis,5
0,1,54,0,0,1,38411,0,0,0,0,40.8,0,2,0.0,0.0,0,Nacho,0.0,4,0,10.0,6,False,47.2,270,Joined Real Sociedad on a permanent deal on 31/8,2019-08-31T11:30:14.661839Z,50,0,0,0,38411.jpg,3.3,0,0,Monreal,0.3,False,None,u,1,3,12.0,10,28106,2,88567,36,0.0,2.0,Monreal,0
0,0,0,0,0,0,51507,0,0,0,0,0.0,0,2,0.0,0.0,0,Laurent,0.0,0,0,0.0,7,False,0.0,0,Joined Bordeaux on a permanent deal on 6/8.,2019-08-08T11:00:09.045030Z,50,0,0,0,51507.jpg,0.0,0,0,Koscielny,0.1,False,None,u,1,3,0.0,0,559,2,12616,4,0.0,0.0,Koscielny,0
0,0,0,0,0,0,233963,0,0,-1,1,0.0,0,2,0.0,0.0,0,Konstantinos,0.0,0,0,0.0,8,False,0.0,0,Joined Nuremberg on loan until the end of the season on 13/1. - Expected back 01 Jul,2020-01-13T14:30:21.309535Z,44,0,0,0,233963.jpg,0.0,0,0,Mavropanos,0.0,False,None,n,1,3,0.0,0,1063,4,4613,39,0.0,0.0,Mavropanos,0
0,0,0,0,0,0,80254,0,0,0,0,0.0,0,2,0.0,0.0,0,Carl,0.0,0,0,0.0,9,False,0.0,0,Joined Nottingham Forest on a permanent deal on 7/8.,2019-08-07T17:00:10.875251Z,45,0,0,0,80254.jpg,0.0,0,0,Jenkinson,0.0,False,None,u,1,3,0.0,0,391,3,2542,5,0.0,0.0,Jenkinson,0
0,0,9,100,100,0,156074,0,0,0,0,0.4,0,2,0.0,0.5,0,Rob,0.0,2,0,1.1,10,False,8.4,76,,2019-12-09T10:00:19.335279Z,45,0,0,0,156074.jpg,1.0,0,0,Holding,0.1,False,None,a,1,3,2.0,1,11072,64,13537,73,0.0,0.2,Holding,0
3,24,484,0,0,4,54694,0,0,-3,3,304.1,2,4,0.0,0.0,0,Pierre-Emerick,4.0,31,14,176.3,11,True,606.0,1943,Suspended until 02 Feb,2020-01-08T14:00:18.333339Z,107,0,0,0,54694.jpg,5.8,1,0,Aubameyang,13.2,False,None,s,1,3,854.0,127,1720359,1057,2656565,23834,0.4,11.9,Aubameyang,3
3,6,187,100,100,2,59966,0,0,-2,2,244.9,1,4,1.8,2.3,2,Alexandre,1.8,16,5,112.2,12,False,280.8,1097,,2019-09-01T18:30:14.246208Z,93,0,0,0,59966.jpg,3.6,0,0,Lacazette,2.3,False,None,a,1,3,594.0,58,266390,2854,364969,8230,0.2,6.2,Lacazette,5
0,0,3,100,100,0,205533,0,0,-2,2,10.3,0,4,0.2,0.7,1,Edward,0.2,1,0,1.9,13,False,0.2,16,,2019-08-08T15:30:15.638344Z,43,0,0,0,205533.jpg,1.0,0,0,Nketiah,0.6,False,None,a,1,3,8.0,1,50839,682,119723,397,0.0,0.2,Nketiah,0
0,5,442,None,None,4,80201,0,0,0,0,0.0,1,1,3.8,4.3,2,Bernd,3.8,32,0,63.5,14,False,636.6,2070,,None,50,0,0,1,80201.jpg,3.4,0,85,Leno,5.3,False,None,a,1,3,0.0,79,407376,990,448135,6028,0.8,15.8,Leno,2
2,1,168,100,100,2,37605,0,0,-3,3,468.2,0,3,2.0,2.5,2,Mesut,2.0,17,0,73.7,15,False,141.8,1064,,2019-12-20T10:30:11.550604Z,72,0,0,0,37605.jpg,2.6,0,0,Özil,1.2,False,None,a,1,3,127.0,34,105480,1027,149747,3843,0.3,4.7,Özil,0
0,0,3,0,0,1,57249,0,0,-2,2,33.9,0,3,0.0,0.0,0,Henrikh,0.0,0,0,8.6,16,False,5.4,110,Joined Roma on loan until the end of the season on 2/9. - Expected back 01 Jul,2019-09-02T23:30:14.832021Z,68,0,0,0,57249.jpg,1.3,0,0,Mkhitaryan,0.8,False,None,n,1,3,46.0,4,22878,12,115718,70,0.0,0.6,Mkhitaryan,1
1,0,214,100,100,4,84450,0,0,-4,4,202.6,0,3,1.8,2.3,1,Granit,1.8,21,0,54.2,18,False,259.0,1454,,2019-12-29T14:30:26.292159Z,51,0,0,0,84450.jpg,2.1,0,0,Xhaka,0.6,False,None,a,1,3,78.0,36,37323,270,102843,349,0.4,7.1,Xhaka,5
0,0,202,100,75,3,198849,0,0,-3,3,156.0,0,3,1.8,1.7,2,Lucas,1.8,18,1,57.5,19,False,227.6,1208,,2020-01-11T15:00:20.592287Z,47,0,0,0,198849.jpg,1.9,0,0,Torreira,1.2,False,None,a,1,3,190.0,37,81254,892,149804,783,0.4,7.9,Torreira,3
0,0,0,0,0,0,153256,0,0,-2,2,0.0,0,3,0.0,0.0,0,Mohamed,0.0,0,0,0.0,20,False,0.0,0,Joined Besiktas on loan until the end of the season on 31/8. - Expected back 01 Jul,2019-08-31T11:30:14.714406Z,43,0,0,0,153256.jpg,0.0,0,0,Elneny,0.6,False,None,n,1,3,0.0,0,122252,161,112357,704,0.0,0.0,Elneny,0
2,2,240,None,None,2,242166,0,0,-1,1,226.1,0,3,0.5,1.0,0,Matteo,0.5,26,0,67.2,21,False,307.0,1455,,None,44,0,0,0,242166.jpg,2.1,0,0,Guendouzi,5.9,False,None,a,1,3,138.0,40,846543,1014,849244,5949,0.1,9.1,Guendouzi,5
