code,event,finished,finished_provisional,id,kickoff_time,minutes,provisional_start_time,started,team_a,team_a_score,team_h,team_h_score,stats,team_h_difficulty,team_a_difficulty
1059973,,False,False,271,,0,False,,15,,2,,[],3,2
1059976,,False,False,275,,0,False,,1,,11,,[],4,5
1059702,1.0,True,True,1,2019-08-09T19:00:00Z,90,False,True,14,1.0,10,4.0,"[{'identifier': 'goals_scored', 'a': [{'value': 1, 'element': 278}], 'h': [{'value': 1, 'element': 183}, {'value': 1, 'element': 188}, {'value': 1, 'element': 191}]}, {'identifier': 'assists', 'a': [{'value': 1, 'element': 283}], 'h': [{'value': 1, 'element': 182}, {'value': 1, 'element': 187}, {'value': 1, 'element': 188}, {'value': 1, 'element': 191}]}, {'identifier': 'own_goals', 'a': [{'value': 1, 'element': 277}], 'h': []}, {'identifier': 'penalties_saved', 'a': [], 'h': []}, {'identifier': 'penalties_missed', 'a': [], 'h': []}, {'identifier': 'yellow_cards', 'a': [{'value': 1, 'element': 283}, {'value': 1, 'element': 288}], 'h': []}, {'identifier': 'red_cards', 'a': [], 'h': []}, {'identifier': 'saves', 'a': [{'value': 4, 'element': 280}], 'h': [{'value': 2, 'element': 189}, {'value': 2, 'element': 526}]}, {'identifier': 'bonus', 'a': [{'value': 1, 'element': 278}], 'h': [{'value': 3, 'element': 188}, {'value': 2, 'element': 191}]}, {'identifier': 'bps', 'a': [{'value': 32, 'element': 278}, {'value': 19, 'element': 280}, {'value': 18, 'element': 273}, {'value': 16, 'element': 274}, {'value': 16, 'element': 283}, {'value': 15, 'element': 276}, {'value': 12, 'element': 286}, {'value': 11, 'element': 290}, {'value': 10, 'element': 287}, {'value': 3, 'element': 434}, {'value': 2, 'element': 277}, {'value': 1, 'element': 285}, {'value': -3, 'element': 288}], 'h': [{'value': 46, 'element': 188}, {'value': 40, 'element': 191}, {'value': 27, 'element': 183}, {'value': 26, 'element': 187}, {'value': 24, 'element': 182}, {'value': 18, 'element': 197}, {'value': 15, 'element': 181}, {'value': 12, 'element': 198}, {'value': 11, 'element': 199}, {'value': 10, 'element': 184}, {'value': 7, 'element': 189}, {'value': 7, 'element': 526}, {'value': 3, 'element': 192}, {'value': 3, 'element': 200}]}]",2,5
1059709,1.0,True,True,8,2019-08-10T11:30:00Z,90,False,True,11,5.0,19,0.0,"[{'identifier': 'goals_scored', 'a': [{'value': 3, 'element': 214}, {'value': 1, 'element': 210}, {'value': 1, 'element': 211}], 'h': []}, {'identifier': 'assists', 'a': [{'value': 3, 'element': 217}, {'value': 1, 'element': 203}, {'value': 1, 'element': 215}], 'h': []}, {'identifier': 'own_goals', 'a': [], 'h': []}, {'identifier': 'penalties_saved', 'a': [], 'h': []}, {'identifier': 'penalties_missed', 'a': [], 'h': []}, {'identifier': 'yellow_cards', 'a': [{'value': 1, 'element': 203}, {'value': 1, 'element': 214}], 'h': [{'value': 1, 'element': 382}, {'value': 1, 'element': 390}]}, {'identifier': 'red_cards', 'a': [], 'h': []}, {'identifier': 'saves', 'a': [{'value': 3, 'element': 212}], 'h': [{'value': 4, 'element': 388}]}, {'identifier': 'bonus', 'a': [{'value': 3, 'element': 214}, {'value': 2, 'element': 217}, {'value': 1, 'element': 215}], 'h': []}, {'identifier': 'bps', 'a': [{'value': 55, 'element': 214}, {'value': 45, 'element': 217}, {'value': 37, 'element': 215}, {'value': 33, 'element': 203}, {'value': 33, 'element': 207}, {'value': 31, 'element': 211}, {'value': 27, 'element': 210}, {'value': 26, 'element': 202}, {'value': 26, 'element': 206}, {'value': 26, 'element': 212}, {'value': 15, 'element': 443}, {'value': 11, 'element': 219}, {'value': 3, 'element': 220}, {'value': 3, 'element': 222}], 'h': [{'value': 18, 'element': 388}, {'value': 16, 'element': 391}, {'value': 15, 'element': 395}, {'value': 15, 'element': 457}, {'value': 11, 'element': 380}, {'value': 7, 'element': 376}, {'value': 7, 'element': 393}, {'value': 6, 'element': 382}, {'value': 3, 'element': 381}, {'value': 3, 'element': 394}, {'value': 3, 'element': 399}, {'value': 2, 'element': 389}, {'value': -2, 'element': 386}]}]",4,2
1059703,1.0,True,True,2,2019-08-10T14:00:00Z,90,False,True,15,1.0,3,1.0,"[{'identifier': 'goals_scored', 'a': [{'value': 1, 'element': 298}], 'h': [{'value': 1, 'element': 61}]}, {'identifier': 'assists', 'a': [], 'h': [{'value': 1, 'element': 67}]}, {'identifier': 'own_goals', 'a': [], 'h': []}, {'identifier': 'penalties_saved', 'a': [], 'h': []}, {'identifier': 'penalties_missed', 'a': [], 'h': []}, {'identifier': 'yellow_cards', 'a': [{'value': 1, 'element': 301}], 'h': [{'value': 1, 'element': 63}, {'value': 1, 'element': 75}]}, {'identifier': 'red_cards', 'a': [], 'h': []}, {'identifier': 'saves', 'a': [{'value': 2, 'element': 471}], 'h': [{'value': 2, 'element': 494}]}, {'identifier': 'bonus', 'a': [{'value': 3, 'element': 298}, {'value': 1, 'element': 297}], 'h': [{'value': 2, 'element': 61}]}, {'identifier': 'bps', 'a': [{'value': 26, 'element': 298}, {'value': 20, 'element': 297}, {'value': 16, 'element': 295}, {'value': 16, 'element': 302}, {'value': 12, 'element': 293}, {'value': 12, 'element': 471}, {'value': 11, 'element': 291}, {'value': 9, 'element': 301}, {'value': 9, 'element': 423}, {'value': 3, 'element': 441}, {'value': 3, 'element': 501}, {'value': 2, 'element': 453}, {'value': 1, 'element': 294}], 'h': [{'value': 24, 'element': 61}, {'value': 19, 'element': 59}, {'value': 15, 'element': 476}, {'value': 13, 'element': 65}, {'value': 13, 'element': 82}, {'value': 12, 'element': 58}, {'value': 11, 'element': 494}, {'value': 10, 'element': 63}, {'value': 10, 'element': 67}, {'value': 6, 'element': 68}, {'value': 3, 'element': 69}]}]",3,3
1059704,1.0,True,True,3,2019-08-10T14:00:00Z,90,False,True,16,0.0,5,3.0,"[{'identifier': 'goals_scored', 'a': [], 'h': [{'value': 2, 'element': 90}, {'value': 1, 'element': 96}]}, {'identifier': 'assists', 'a': [], 'h': [{'value': 2, 'element': 447}]}, {'identifier': 'own_goals', 'a': [], 'h': []}, {'identifier': 'penalties_saved', 'a': [], 'h': []}, {'identifier': 'penalties_missed', 'a': [], 'h': []}, {'identifier': 'yellow_cards', 'a': [], 'h': []}, {'identifier': 'red_cards', 'a': [], 'h': []}, {'identifier': 'saves', 'a': [{'value': 1, 'element': 319}], 'h': [{'value': 3, 'element': 93}]}, {'identifier': 'bonus', 'a': [], 'h': [{'value': 3, 'element': 90}, {'value': 2, 'element': 447}, {'value': 1, 'element': 93}, {'value': 1, 'element': 96}]}, {'identifier': 'bps', 'a': [{'value': 13, 'element': 304}, {'value': 13, 'element': 307}, {'value': 10, 'element': 308}, {'value': 10, 'element': 319}, {'value': 10, 'element': 321}, {'value': 8, 'element': 305}, {'value': 8, 'element': 313}, {'value': 8, 'element': 328}, {'value': 7, 'element': 320}, {'value': 5, 'element': 306}, {'value': 2, 'element': 325}, {'value': 2, 'element': 508}, {'value': -5, 'element': 437}], 'h': [{'value': 58, 'element': 90}, {'value': 43, 'element': 447}, {'value': 28, 'element': 93}, {'value': 28, 'element': 96}, {'value': 27, 'element': 83}, {'value': 23, 'element': 84}, {'value': 23, 'element': 85}, {'value': 15, 'element': 97}, {'value': 10, 'element': 102}, {'value': 7, 'element': 101}, {'value': 3, 'element': 430}, {'value': 2, 'element': 451}, {'value': -1, 'element': 91}]}]",2,3
1059705,1.0,True,True,4,2019-08-10T14:00:00Z,90,False,True,8,0.0,7,0.0,"[{'identifier': 'goals_scored', 'a': [], 'h': []}, {'identifier': 'assists', 'a': [], 'h': []}, {'identifier': 'own_goals', 'a': [], 'h': []}, {'identifier': 'penalties_saved', 'a': [], 'h': []}, {'identifier': 'penalties_missed', 'a': [], 'h': []}, {'identifier': 'yellow_cards', 'a': [{'value': 1, 'element': 152}], 'h': [{'value': 1, 'element': 134}, {'value': 1, 'element': 136}]}, {'identifier': 'red_cards', 'a': [{'value': 1, 'element': 158}], 'h': []}, {'identifier': 'saves', 'a': [{'value': 2, 'element': 148}], 'h': [{'value': 2, 'element': 131}]}, {'identifier': 'bonus', 'a': [{'value': 3, 'element': 142}, {'value': 2, 'element': 143}, {'value': 1, 'element': 148}], 'h': []}, {'identifier': 'bps', 'a': [{'value': 32, 'element': 142}, {'value': 26, 'element': 143}, {'value': 25, 'element': 148}, {'value': 20, 'element': 144}, {'value': 17, 'element': 141}, {'value': 7, 'element': 150}, {'value': 6, 'element': 422}, {'value': 6, 'element': 497}, {'value': 5, 'element': 147}, {'value': 4, 'element': 152}, {'value': 4, 'element': 496}, {'value': 3, 'element': 151}, {'value': 2, 'element': 154}, {'value': 1, 'element': 158}], 'h': [{'value': 24, 'element': 128}, {'value': 24, 'element': 131}, {'value': 23, 'element': 126}, {'value': 20, 'element': 123}, {'value': 20, 'element': 127}, {'value': 15, 'element': 138}, {'value': 14, 'element': 135}, {'value': 9, 'element': 129}, {'value': 8, 'element': 468}, {'value': 5, 'element': 136}, {'value': 1, 'element': 130}, {'value': 1, 'element': 133}, {'value': -2, 'element': 134}]}]",2,2
1059708,1.0,True,True,7,2019-08-10T14:00:00Z,90,False,True,4,3.0,18,0.0,"[{'identifier': 'goals_scored', 'a': [{'value': 1, 'element': 46}, {'value': 1, 'element': 502}], 'h': []}, {'identifier': 'assists', 'a': [{'value': 1, 'element': 42}, {'value': 1, 'element': 49}, {'value': 1, 'element': 54}], 'h': []}, {'identifier': 'own_goals', 'a': [], 'h': [{'value': 1, 'element': 368}]}, {'identifier': 'penalties_saved', 'a': [], 'h': []}, {'identifier': 'penalties_missed', 'a': [], 'h': []}, {'identifier': 'yellow_cards', 'a': [{'value': 1, 'element': 42}], 'h': []}, {'identifier': 'red_cards', 'a': [], 'h': []}, {'identifier': 'saves', 'a': [{'value': 3, 'element': 47}], 'h': [{'value': 1, 'element': 366}]}, {'identifier': 'bonus', 'a': [{'value': 3, 'element': 42}, {'value': 2, 'element': 47}, {'value': 1, 'element': 46}, {'value': 1, 'element': 502}], 'h': []}, {'identifier': 'bps', 'a': [{'value': 41, 'element': 42}, {'value': 29, 'element': 47}, {'value': 27, 'element': 46}, {'value': 27, 'element': 502}, {'value': 26, 'element': 37}, {'value': 26, 'element': 54}, {'value': 23, 'element': 475}, {'value': 21, 'element': 38}, {'value': 16, 'element': 49}, {'value': 15, 'element': 55}, {'value': 11, 'element': 57}, {'value': 8, 'element': 45}, {'value': 3, 'element': 39}], 'h': [{'value': 16, 'element': 357}, {'value': 13, 'element': 439}, {'value': 10, 'element': 358}, {'value': 9, 'element': 366}, {'value': 7, 'element': 353}, {'value': 7, 'element': 368}, {'value': 7, 'element': 373}, {'value': 6, 'element': 362}, {'value': 3, 'element': 364}, {'value': 3, 'element': 369}, {'value': 1, 'element': 363}, {'value': 1, 'element': 365}, {'value': 1, 'element': 370}]}]",2,2
1059707,1.0,True,True,6,2019-08-10T16:30:00Z,90,False,True,2,1.0,17,3.0,"[{'identifier': 'goals_scored', 'a': [{'value': 1, 'element': 31}], 'h': [{'value': 2, 'element': 338}, {'value': 1, 'element': 442}]}, {'identifier': 'assists', 'a': [{'value': 1, 'element': 445}], 'h': [{'value': 1, 'element': 345}, {'value': 1, 'element': 349}]}, {'identifier': 'own_goals', 'a': [], 'h': []}, {'identifier': 'penalties_saved', 'a': [], 'h': []}, {'identifier': 'penalties_missed', 'a': [], 'h': []}, {'identifier': 'yellow_cards', 'a': [], 'h': [{'value': 1, 'element': 346}]}, {'identifier': 'red_cards', 'a': [], 'h': []}, {'identifier': 'saves', 'a': [{'value': 3, 'element': 94}], 'h': [{'value': 3, 'element': 340}]}, {'identifier': 'bonus', 'a': [{'value': 2, 'element': 445}], 'h': [{'value': 3, 'element': 338}, {'value': 1, 'element': 442}]}, {'identifier': 'bps', 'a': [{'value': 31, 'element': 445}, {'value': 23, 'element': 31}, {'value': 22, 'element': 29}, {'value': 15, 'element': 94}, {'value': 13, 'element': 24}, {'value': 12, 'element': 28}, {'value': 12, 'element': 455}, {'value': 10, 'element': 22}, {'value': 4, 'element': 26}, {'value': 4, 'element': 465}, {'value': 3, 'element': 470}, {'value': 2, 'element': 428}, {'value': 1, 'element': 36}], 'h': [{'value': 50, 'element': 338}, {'value': 26, 'element': 442}, {'value': 20, 'element': 337}, {'value': 19, 'element': 345}, {'value': 17, 'element': 331}, {'value': 15, 'element': 346}, {'value': 14, 'element': 333}, {'value': 14, 'element': 347}, {'value': 13, 'element': 332}, {'value': 13, 'element': 340}, {'value': 13, 'element': 349}, {'value': 10, 'element': 343}, {'value': 3, 'element': 352}, {'value': 3, 'element': 527}]}]",2,4
1059706,1.0,True,True,5,2019-08-11T13:00:00Z,90,False,True,20,0.0,9,0.0,"[{'identifier': 'goals_scored', 'a': [], 'h': []}, {'identifier': 'assists', 'a': [], 'h': []}, {'identifier': 'own_goals', 'a': [], 'h': []}, {'identifier': 'penalties_saved', 'a': [], 'h': []}, {'identifier': 'penalties_missed', 'a': [], 'h': []}, {'identifier': 'yellow_cards', 'a': [{'value': 1, 'element': 402}, {'value': 1, 'element': 414}], 'h': []}, {'identifier': 'red_cards', 'a': [], 'h': []}, {'identifier': 'saves', 'a': [{'value': 1, 'element': 411}], 'h': [{'value': 2, 'element': 168}]}, {'identifier': 'bonus', 'a': [{'value': 3, 'element': 405}], 'h': [{'value': 3, 'element': 159}, {'value': 1, 'element': 162}]}, {'identifier': 'bps', 'a': [{'value': 32, 'element': 405}, {'value': 23, 'element': 411}, {'value': 22, 'element': 404}, {'value': 20, 'element': 403}, {'value': 18, 'element': 402}, {'value': 16, 'element': 401}, {'value': 13, 'element': 420}, {'value': 11, 'element': 415}, {'value': 10, 'element': 409}, {'value': 10, 'element': 414}, {'value': 4, 'element': 410}, {'value': 3, 'element': 407}, {'value': -1, 'element': 487}], 'h': [{'value': 32, 'element': 159}, {'value': 30, 'element': 162}, {'value': 29, 'element': 164}, {'value': 23, 'element': 161}, {'value': 23, 'element': 168}, {'value': 21, 'element': 448}, {'value': 15, 'element': 176}, {'value': 15, 'element': 180}, {'value': 9, 'element': 171}, {'value': 7, 'element': 265}, {'value': 5, 'element': 166}, {'value': 3, 'element': 172}, {'value': 2, 'element': 174}]}]",3,4
