h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,0.842407,2.23456,0.842407,2.23456,"{'att': 236, 'def': 11}","{'att': 208, 'def': 35}",5,11,1,4,0.4405,l,2019-08-09 20:00:00,0,0,1,0,-1.392153
h,2.09572,0.920429,2.09572,0.920429,"{'att': 195, 'def': 14}","{'att': 350, 'def': 20}",9,6,3,1,2.2375,w,2019-08-17 15:00:00,1,0,0,3,1.175291
h,1.07904,1.89428,1.07904,1.89428,"{'att': 290, 'def': 29}","{'att': 302, 'def': 22}",5,12,2,3,0.7872000000000001,l,2019-08-24 12:30:00,0,0,1,0,-0.81524
a,1.1674,2.20657,1.1674,2.20657,"{'att': 236, 'def': 27}","{'att': 298, 'def': 38}",5,12,0,2,0.6576,l,2019-08-31 15:00:00,0,0,1,0,-1.0391700000000001
h,1.7413,2.34436,1.7413,2.34436,"{'att': 258, 'def': 14}","{'att': 191, 'def': 24}",6,14,3,2,0.9923,w,2019-09-14 16:30:00,1,0,0,3,-0.6030599999999999
a,0.801428,2.39312,0.801428,2.39312,"{'att': 149, 'def': 10}","{'att': 292, 'def': 25}",9,7,0,2,0.3365,l,2019-09-21 14:00:00,0,0,1,0,-1.591692
a,0.712129,1.80497,0.712129,1.0438,"{'att': 164, 'def': 18}","{'att': 294, 'def': 23}",10,11,0,2,0.5259,l,2019-09-28 14:00:00,0,0,1,0,-0.33167100000000005
h,1.84838,3.67827,1.84838,2.76412,"{'att': 145, 'def': 24}","{'att': 220, 'def': 25}",13,9,1,5,0.40170000000000006,l,2019-10-05 15:00:00,0,0,1,0,-0.9157400000000002
a,0.402873,0.675554,0.402873,0.675554,"{'att': 213, 'def': 18}","{'att': 254, 'def': 20}",5,7,0,0,0.9885,d,2019-10-19 15:00:00,0,1,0,1,-0.272681
h,0.8924,4.51232,0.8924,2.98998,"{'att': 225, 'def': 26}","{'att': 247, 'def': 26}",6,6,1,3,0.0461,l,2019-10-27 16:30:00,0,0,1,0,-2.0975800000000002
a,0.455082,2.65496,0.455082,2.65496,"{'att': 289, 'def': 19}","{'att': 216, 'def': 31}",5,15,0,2,0.17709999999999998,l,2019-11-02 15:00:00,0,0,1,0,-2.199878
h,0.62104,1.36017,0.62104,1.36017,"{'att': 144, 'def': 19}","{'att': 342, 'def': 22}",11,3,0,2,0.7555000000000001,l,2019-11-08 20:00:00,0,0,1,0,-0.7391300000000001
a,1.80849,0.812693,1.80849,0.812693,"{'att': 189, 'def': 23}","{'att': 137, 'def': 23}",4,15,2,0,2.1512000000000002,w,2019-11-23 15:00:00,1,0,0,3,0.9957969999999999
h,0.810596,1.96157,0.810596,1.20044,"{'att': 296, 'def': 12}","{'att': 205, 'def': 26}",2,10,2,2,0.4955,d,2019-12-01 14:00:00,0,1,0,1,-0.38984399999999997
a,0.896647,2.00232,0.896647,2.00232,"{'att': 166, 'def': 12}","{'att': 335, 'def': 36}",3,9,1,2,0.523,l,2019-12-04 19:30:00,0,0,1,0,-1.1056730000000001
h,0.585805,0.712899,0.585805,0.712899,"{'att': 198, 'def': 16}","{'att': 278, 'def': 25}",7,2,1,2,1.1511,l,2019-12-08 14:00:00,0,0,1,0,-0.12709399999999993
a,1.16408,1.06421,1.16408,1.06421,"{'att': 253, 'def': 22}","{'att': 211, 'def': 30}",7,5,1,1,1.4792,d,2019-12-14 15:00:00,0,1,0,1,0.0998699999999999
