assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,1,27,0,12.3,497,0.14,0.19,0.05,2.02,8,2,1,7.2,48.6,2023-08-13T13:00:00Z,90,4,0,0,0,0,1,0,43765,1,2,2,11.0,8,0,0,0,45,False,0
0,0,2,0,0.1,497,0.00,0.00,0.00,0.26,18,0,0,0.1,0.4,2023-08-19T16:30:00Z,2,14,0,0,0,0,2,0,164903,0,0,2,0.0,1,69317,78731,9414,45,True,0
0,0,0,0,0.0,497,0.00,0.00,0.00,0.00,22,0,0,0.0,0.0,2023-08-26T11:30:00Z,0,3,0,0,0,0,3,0,183985,0,2,0,0.0,0,12254,36949,24695,45,False,0
0,0,3,0,1.7,497,0.00,0.00,0.00,0.12,34,1,0,0.5,2.8,2023-09-02T14:00:00Z,4,6,0,0,0,0,4,0,149525,0,5,2,0.0,1,-35710,6121,41831,45,False,0
0,0,2,0,0.6,497,0.00,0.00,0.00,0.01,48,0,0,0.2,1.0,2023-09-16T14:00:00Z,1,17,0,0,0,0,5,0,129828,0,1,2,0.0,1,-23352,4182,27534,45,True,0
0,0,0,0,0.0,497,0.00,0.00,0.00,0.00,51,0,0,0.0,0.0,2023-09-24T13:00:00Z,0,1,0,0,0,0,6,0,118779,0,2,2,0.0,0,-12117,1729,13846,45,False,0
0,0,0,0,0.0,497,0.00,0.00,0.00,0.00,68,0,0,0.0,0.0,2023-09-30T16:30:00Z,0,11,0,0,0,0,7,0,108736,0,1,2,0.0,0,-10488,1778,12266,45,True,0
0,0,3,0,0.5,497,0.00,0.00,0.00,0.13,77,0,0,0.7,6.6,2023-10-07T11:30:00Z,14,12,0,0,0,0,8,0,100905,0,1,0,0.0,1,-8606,2068,10674,45,False,0
0,0,7,0,0.4,497,0.00,0.00,0.00,0.86,90,0,0,1.6,15.2,2023-10-23T19:00:00Z,34,10,0,0,0,0,9,0,96863,0,0,2,0.0,1,-5143,1764,6907,45,True,0
0,0,13,0,3.7,497,0.28,0.30,0.02,0.37,96,1,0,1.7,9.4,2023-10-27T19:00:00Z,45,8,0,0,0,0,10,0,94157,0,2,1,4.0,1,-3122,2267,5389,44,False,0
0,0,9,0,1.2,497,0.00,0.00,0.00,2.94,110,3,0,2.2,18.6,2023-11-06T20:00:00Z,45,7,0,0,0,0,11,0,91247,0,4,1,2.0,0,-3129,1676,4805,44,True,0
